"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
"Table 2.1a   Installed Capacity (MW) by plant and prime mover, 2021",NA,NA,NA,Data are for 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant ID,PCE ID,RCA CPCN,Utility Name,Plant Name,Intertie,AEA Energy Region,Total Capacity,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Solar PV,Batteries,Flywheels,Data Source,Notes
P1,NA,NA,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,12.5,12.5,0,0,0,0,0,0,EIA860,NA
P10,NA,1,Alaska Electric Light & Power Company,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,14.3,0,0,14.3,0,0,0,0,EIA860,NA
P100,331740,683,Alutiiq Power Company,Karluk,Karluk_grid,Kodiak,0.2,0,0.2,0,0,0,0,0,AEA PH Assessment,"Craig; Klawock; Thorne Bay, Kasaan; Hollis; Hydaburg; Coffman Cove; Naukati Bay"
P101,NA,8,Chugach Electric Assn Inc,Anchorage 1,Railbelt_grid,Railbelt,77.900000000000006,75.900000000000006,2,0,0,0,0,0,EIA860,NA
P102,NA,8,Chugach Electric Assn Inc,Eklutna Hydro Project,Railbelt_grid,Railbelt,44.4,0,0,44.4,0,0,0,0,EIA860,NA
P103,NA,8,Chugach Electric Assn Inc,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,346.9,346.9,0,0,0,0,0,0,EIA860,NA
P105,331760,5,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,2.2000000000000002,0,2.2000000000000002,0,0,0,0,0,EIA860,NA
P106,331770,747,Arctic Village Electric Company,Arctic Village,Arctic Village_grid,Yukon-Koyukuk/Upper Tanana,0.39500000000000002,0,0.39500000000000002,0,0,0,0,0,AEA PH Assessment,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
P107,331750,291,"Atka, City of",Atka,Atka_grid,Aleutians,0.54100000000000004,0,0.25700000000000001,0.28399999999999997,0,0,0,0,AEA,"Dillingham, Aleknagik"
P108,331780,337,Atmautluak Tribal Utilities,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,1.1040000000000001,0,1.1040000000000001,0,0,0,0,0,AEA PH Assessment,NA
P109,NA,520,Aurora Energy LLC Chena,Aurora Energy LLC Chena,Railbelt_grid,Railbelt,27.5,27.5,0,0,0,0,0,0,EIA860,NA
P11,NA,1,Alaska Electric Light & Power Company,Lemon Creek,Juneau_grid,Southeast,61.7,37.200000000000003,24.500000000000004,0,0,0,0,0,EIA860,"In addition to Wasilla, the MEA service area includes 28 other communities."
