"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.h  Electricity Sales by Certificated Utilities (MWh), by AEA Energy Region, 2020",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,6989.1930000000002,40811.74,6844.8680000000004,54645.800999999999,9.3151412536263897E-3
Bering Straits,17216.362000000001,13277.306,19214.462,49708.130000000005,8.4734461556089848E-3
Bristol Bay,14389.64,26788.190999999999,10274.601999999999,51452.432999999997,8.7707870040691291E-3
Copper River/Chugach,21570.672577523081,82947.208558385508,3566.3339999999998,108083.23299999999,1.8424299106597652E-2
Kodiak,38618.235000000001,21665.328000000001,81213.817999999999,141497.38099999999,2.4120208083932941E-2
Lower Yukon-Kuskokwim,34125.516999999993,25589.003000000001,34468.313999999998,94182.833999999988,1.60547816359549E-2
North Slope,26524.165657554295,104921.41834244572,1480.25,132925.834,2.2659067985225313E-2
Northwest Arctic,13322.197,11813.324999999999,8401.1890000000021,33536.711000000003,5.7168015552932589E-3
Railbelt,1554445,1829899,971563,4355907,0.74252528556878439
Southeast,317797.40503460128,321096.60578645399,173314.18017894466,812854.19099999988,0.13856236836508634
Yukon-Koyukuk/Upper Tanana,12394.844000000001,9800.1059999999979,9353.14,31548.090000000004,5.3778132858207754E-3
Total,2041765.4846921556,2367913.9961289,1319694.1571789447,5866341.6379999993,1
Percent of Total,0.34804749035861654,0.40364406682188875,0.22496033109126345,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
