"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Table 2.4a   Generation, Fuel Use, CO2 Emissions, and Efficiency, by plant, fuel, and prime mover, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuel Types: AB=Agricultural By-Products, DFO=Distillate Fuel Oil, JF=Jet Fuel, NG=Natural Gas, OTH=Other, RFO=Residual Fuel Oil, SUB=Sub-bituminous Coal, WAT=Water at a Conventional Hydroelectric Turbine, WC=Waste Coal, WDS=Wood Solids, WND=Wind, WO=Waste/Other Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, GT=Gas Turbine, HY=Hydroelectric Turbine, IC=Internal Combustion Engine, ST=Steam Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fuel Type,Prime Mover,"Generation (PCE=gross, EIA=net)  MWh",Generation MMBtu,Fuel Use,Fuel Unit,"Estimated Heat Content, MMBtu per unit",Total Fuel MMBtu,Emission Factor kgCO2 per MMBtu,CO2 Metric Tons from Fuel,Efficiency (Max = 1.00),Data Source,Number of monthly records,Communities connected to plant,Notes
P1,0,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,NG,IC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,No Data
P1,0,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,NG,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,No Data
P10,1,Alaska Electric Light&Power Co,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,WAT,HY,72443.999999999985,247178.92799999996,635116,NA,0,0.39013379162231776,0,0,-,EIA923,12,"Juneau, Douglas",NA
P100,683,Alutiiq Power Company,Karluk,Karluk_grid,Kodiak,DFO,IC,199.304,680.02524800000003,2982.5940000000001,gallons,221.12951916,0.22855255230849392,74.14,21613,0.13800000000000001,PCE,12,Karluk,NA
P101,121,Chugach Electric Assn Inc,Anchorage 1,Railbelt_grid,Railbelt,NG,GT,7519.4989999999989,25656.530587999994,113093,MCF,5983.7506299999995,0.22741409662578582,52.91,111973,1.0100024112955801,EIA923,12,0,NA
P101,121,Chugach Electric Assn Inc,Anchorage 1,Railbelt_grid,Railbelt,DFO,GT,122.501,417.973412,1845,gallons,136.78829999999999,0.22709494325203256,74.14,13818,0.13352149370386451,EIA923,12,0,NA
P101,121,Chugach Electric Assn Inc,Anchorage 1,Railbelt_grid,Railbelt,DFO,IC,4,13.648,87,gallons,6.4501800000000005,0.15725517241379311,74.14,630,0.1380952380952381,EIA923,12,0,NA
P101,NA,Anchorage Municipal Light & Power,Anchorage 1,Railbelt_grid,Railbelt,NG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,No Data
P102,121,Chugach Electric Assn Inc,Eklutna Hydro Project,Railbelt_grid,Railbelt,WAT,HY,170181.00000000006,580657.57200000016,1491977,NA,0,0.39013340976435978,0,0,-,EIA923,12,0,NA
P103,121,Chugach Electric Assn Inc,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,NG,CT,356937,1217869.044,4002705,MCF,211783.12154999998,0.30500164791060047,52.91,3963074,1.0100000656056385,EIA923,12,0,NA
P103,121,Chugach Electric Assn Inc,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,NG,CA,91076,310751.31199999998,0,MCF,0,-,52.91,0,-,EIA923,12,0,NA
P103,121,Chugach Electric Assn Inc,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,NG,GT,-520.00000000000011,-1774.2400000000002,11301,MCF,597.93590999999992,-0.15738040881337939,52.91,11190,1.0099195710455764,EIA923,12,0,NA
