"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Table 1.e   Carbon Dioxide Emissions by Operators/Utilities (Metric Tons), by fuel type and AEA Energy Region, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,71311.196900239986,0,0,0,0,0,0,71311.196900239986,2.5236071340439543E-2
Bering Straits,34431.348651479995,0,0,0,0,0,0,34431.348651479995,1.2184790168812493E-2
Bristol Bay,37780.694029319995,0,0,0,0,0,0,37780.694029319995,1.3370078350375144E-2
Copper River/Chugach,37833.713156600003,0,0,0,0,0,0,37833.713156600003,1.3388841104845776E-2
Kodiak,1734.8903831599998,0,0,0,0,0,0,1734.8903831599998,6.1395432106568543E-4
Lower Yukon-Kuskokwim,70859.755825320011,0,0,0,0,0,0,70859.755825320011,2.5076312429246076E-2
North Slope,24083.295221480003,81193.040500000003,0,0,0,0,0,105276.33572148001,3.7255876134626935E-2
Northwest Arctic,24121.073555040002,0,0,0,0,0,0,24121.073555040002,8.5361227900093012E-3
Railbelt,403330.95542000001,1165121.4119399998,828096.74213666643,0,0,0,0,2396549.1094966661,0.84810642545702652
Southeast,17548.167981959999,0,0,0,0,0,0,17548.167981959999,6.2100601074789874E-3
Yukon-Koyukuk/Upper Tanana,28318.308883919999,0,0,0,0,0,0,28318.308883919999,1.0021467796073453E-2
Total,751353.40000852,1246314.4524399997,828096.74213666643,0,0,0,0,2825764.5945851863,1
Percent of Total,0.26589384036033492,0.44105388496558567,0.29305227467407935,0,0,0,0,1,NA
