"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Table 2.3b   Generation (MWh) and Fuel Use by operator, plant, and fuel type, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Utility Solar,Storage (MWH),Other,Oil (gallons),Gas (Mcf),Coal (short tons),Data Source,Number of monthly records,Communities connected to plant,Notes
P190,687,"Koyukuk, City of",Koyukuk,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,123.15600000000001,0,0,0,0,0,0,0,14583,0,0,PCE,5,Koyukuk,NA
P191,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,1870.2270000000001,0,0,0,0,0,0,0,159407,0,0,PCE,12,Kwethluk,NA
P192,376,Kwigillingok Power Company,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,1102.58,0,0,0,246.17099999999996,0,0,0,89033,0,0,PCE,23,Kwigillingok,NA
P193,353,Larsen Bay Utility Company,Larsen Bay,Larsen Bay_grid,Kodiak,17.900000000000002,0,0,468.81899999999996,0,0,0,0,1450,0,0,PCE,12,Larsen Bay,NA
P194,330,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,412.97800000000001,0,0,0,0,0,0,0,39762,0,0,PCE,12,Levelock,NA
P195,570,Lime Village Electric Utility,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,13.978999999999999,0,0,0,0,0,0,0,1472,0,0,PCE,1,Lime Village,NA
P196,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,1204.0230000000001,0,0,0,0,0,0,0,80932,0,0,PCE,11,Manokotak,NA
P159,32,Homer Electric Assn Inc,Soldotna,Railbelt_grid,Railbelt,0,35259,0,0,0,0,0,0,0,356020,0,EIA923,12,0,NA
P198,44,Mcgrath Light & Power,McGrath,McGrath_grid,Yukon-Koyukuk/Upper Tanana,2230.2699999999995,0,0,0,0,0,0,0,163997,0,0,PCE,12,McGrath,NA
P199,0,Metlakatla Power & Light,Centennial,Metlakatla_grid,Southeast,1035,0,0,0,0,0,0,0,90636,0,0,EIA923,12,Metlakatla,NA
P2,449,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,250.90299999999999,0,0,0,0,0,0,0,25300,0,0,PCE,12,Akhiok,NA
P20,2,Alaska Power and Telephone Co,Craig (AK),Prince of Wales Is._grid,Southeast,299,0,0,0,0,0,0,0,29778,0,0,EIA923,12,Craig; Klawock,NA
P200,0,Metlakatla Power & Light,Chester Lake,Metlakatla_grid,Southeast,0,0,0,5415.0000000000009,0,0,0,0,0,0,0,EIA923,12,Metlakatla,NA
P201,0,Metlakatla Power & Light,Purple Lake,Metlakatla_grid,Southeast,0,0,0,11178,0,0,0,0,0,0,0,EIA923,12,Metlakatla,NA
P202,343,Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk_grid,Lower Yukon-Kuskokwim,251.559,0,0,0,0,0,0,0,23075,0,0,PCE,12,Chuathbaluk,NA
P203,343,Middle Kuskokwim Electric,Crooked Creek,Crooked Creek_grid,Lower Yukon-Kuskokwim,303.31199999999995,0,0,0,0,0,0,0,26845,0,0,PCE,12,Crooked Creek,NA
P204,343,Middle Kuskokwim Electric,Red Devil,Red Devil_grid,Lower Yukon-Kuskokwim,65.506,0,0,0,0,0,0,0,9635,0,0,PCE,12,Red Devil,NA
P205,343,Middle Kuskokwim Electric,Sleetmute,Sleetmute_grid,Lower Yukon-Kuskokwim,254.67500000000001,0,0,0,0,0,0,0,23208,0,0,PCE,11,Sleetmute,NA
P206,343,Middle Kuskokwim Electric,Stony River,Stony River_grid,Lower Yukon-Kuskokwim,135.30799999999999,0,0,0,0,0,0,0,15131,0,0,PCE,12,Stony River,NA
P207,22,Naknek Electric Association,"Naknek, South Naknek, King Salmon",Naknek_grid,Bristol Bay,21413.670999999995,0,0,0,0,0,0,0,1450593,0,0,PCE,12,"Naknek, South Naknek, King Salmon",NA
P208,319,Napakiak Ircinraq,Napakiak,Bethel_grid,Lower Yukon-Kuskokwim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bethel; Napakiak,No Data
P209,625,Napaskiak Electric Utility,Napaskiak,Napaskiak_grid,Lower Yukon-Kuskokwim,877.80600000000004,0,0,0,0,0,0,0,67639,0,0,PCE,12,Napaskiak,NA
P21,2,Alaska Power and Telephone Co,False Island,Prince of Wales Is._grid,Southeast,734.00000000000011,0,0,0,0,0,0,0,53508,0,0,EIA923,12,Craig; Klawock,NA
P210,365,Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak_grid,Lower Yukon-Kuskokwim,1445.44,0,0,0,0,0,0,0,114340,0,0,PCE,12,Chefornak,NA
P211,659,Native Village of Perryville,Perryville,Perryville_grid,Bristol Bay,382.05699999999996,0,0,0,11.548999999999999,1.1580000000000001,0,0,31819,0,0,PCE,27,Perryville,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,293.84300000000002,0,0,0,0,0,0,0,36767,0,0,PCE,12,Nelson Lagoon,NA
P213,661,New Koliganek Village Council,Koliganek,Koliganek_grid,Bristol Bay,695.20100000000002,0,0,0,0,0,0,0,57229,0,0,PCE,12,Koliganek,NA
P214,416,"Nikolai, City of",Nikolai,Nikolai_grid,Yukon-Koyukuk/Upper Tanana,398.05700000000002,0,0,0,0,0,0,0,38491,0,0,PCE,11,Nikolai,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,29118.527000000002,0,0,0,2399.9369999999999,0,0,0,1861031,0,0,PCE,24,Nome,NA
P216,254,North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass_grid,North Slope,4094.4319999999998,0,0,0,0,0,0,0,305907,0,0,PCE,12,Anaktuvuk Pass,NA
P217,254,North Slope Borough Power & Light,NSB Atqasuk Utility,Atqasuk_grid,North Slope,2909,0,0,0,0,0,0,0,264852,0,0,EIA923,12,Atqasuk,NA
P218,254,North Slope Borough Power & Light,Kaktovik,Kaktovik_grid,North Slope,3884.4290000000005,0,0,0,0,0,0,0,279440,0,0,PCE,10,Kaktovik,NA
P219,254,North Slope Borough Power & Light,NSB Nuiqsut Utility,Nuiqsut_grid,North Slope,1201.2920000000001,3888.7080000000001,0,0,0,0,0,0,165690,74579,0,EIA923,24,Nuiqsut,NA
P22,2,Alaska Power and Telephone Co,Haines,UpperLynnCanal_grid,Southeast,124,0,0,0,0,0,0,0,32886,0,0,EIA923,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P220,254,North Slope Borough Power & Light,NSB Point Hope Utility,Point Hope_grid,North Slope,6244,0,0,0,0,0,0,0,513072,0,0,EIA923,12,Point Hope,NA
P221,254,North Slope Borough Power & Light,Point Lay,Point Lay_grid,North Slope,3347.5120000000006,0,0,0,0,0,0,0,250591,0,0,PCE,11,Point Lay,NA
P222,254,North Slope Borough Power & Light,Wainwright,Wainwright_grid,North Slope,7519.4599999999991,0,0,0,0,0,0,0,566601,0,0,PCE,12,Wainwright,NA
P223,408,Nunam Iqua Electric Company,Nunam Iqua,Nunam Iqua_grid,Lower Yukon-Kuskokwim,830.84699999999998,0,0,0,0,0,0,0,63489,0,0,PCE,12,Nunam Iqua,NA
P224,45,Nushagak Electric Cooperative,"Dillingham, Aleknagik",Dillingham_grid,Bristol Bay,18565.575000000001,0,0,0,0,0,0,0,1247163,0,0,PCE,12,"Dillingham, Aleknagik",NA
P225,357,"Ouzinkie, City of",Ouzinkie,Ouzinkie_grid,Kodiak,572.51900000000001,0,0,113.60000000000001,0,0,0,0,45696,0,0,PCE,19,Ouzinkie,NA
P226,0,"PB Energy, Inc",Dry Spruce Bay (Creek),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,No Data
P227,662,Pedro Bay Village Council,Pedro Bay,Pedro Bay_grid,Bristol Bay,183.29400000000001,0,0,0,0,0,0,0,16578,0,0,PCE,11,Pedro Bay,NA
P228,24,Pelican Utility,Pelican,Pelican_grid,Southeast,843,0,0,262,0,0,0,0,68208,0,0,EIA923,24,Pelican,NA
P229,212,Petersburg Borough - (AK),Petersburg,SEAPA_grid,Southeast,868.28,0,0,13272.999999999998,0,0,0,0,63630,0,0,EIA923,24,"Ketchikan, Petersburg, Wrangell",NA
P23,2,Alaska Power and Telephone Co,Hydaburg,Prince of Wales Is._grid,Southeast,2,0,0,0,0,0,0,0,2562,0,0,EIA923,12,Craig; Klawock,NA
P230,425,Pilot Point Electric Utility,Pilot Point,Pilot Point_grid,Bristol Bay,498.55600000000004,0,0,0,0,0,0,0,48793,0,0,PCE,12,Pilot Point,NA
P231,0,"Platinum, City of",Platinum,Platinum_grid,Lower Yukon-Kuskokwim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platinum,No Data
P232,399,Port Heiden Utilities,Port Heiden,Port Heiden_grid,Bristol Bay,615.48400000000015,0,0,0,0,0,0,0,50843,0,0,PCE,12,Port Heiden,NA
P233,395,Puvurnaq Power Company,Kongiganak,Kongiganak_grid,Lower Yukon-Kuskokwim,814.46,0,0,0,509.71900000000005,0,0,0,67955,0,0,PCE,24,Kongiganak,NA
P234,759,Rampart Village Council,Rampart,Rampart_grid,Yukon-Koyukuk/Upper Tanana,264.65499999999997,0,0,0,0,0,0,0,25052,0,0,PCE,12,Rampart,NA
P123,8,Chugach Electric Assn Inc,Southcentral Power Project,Railbelt_grid,Railbelt,0,822673,0,0,0,0,0,0,0,6506184,0,EIA923,24,0,NA
P236,364,"Ruby, City of",Ruby,Ruby_grid,Yukon-Koyukuk/Upper Tanana,492.84199999999993,0,0,0,0,0,0,0,39097,0,0,PCE,9,Ruby,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,527.947,0,0,0,0,0,0,0,43889,0,0,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,3042.3150000000001,0,0,0,0,0,0,0,218656,0,0,PCE,12,Saint Paul,NA
P257,NA,Tesoro Alaska Company LLC,Tesoro Kenai Cogeneration Plant,Railbelt_grid,Railbelt,4209.9150000000009,64054.084999999999,0,0,0,0,0,0,124740,268152,0,EIA923,15,0,NA
P24,2,Alaska Power and Telephone Co,Klawock Power Generation Station,Prince of Wales Is._grid,Southeast,483.99999999999994,0,0,0,0,0,0,0,39690,0,0,EIA923,12,Craig; Klawock,NA
P240,100,"Sitka, City & Borough of",Blue Lake Hydro,Sitka_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sitka,No Data
P241,100,"Sitka, City & Borough of",Green Lake,Sitka_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sitka,No Data
P242,100,"Sitka, City & Borough of",Jarvis Street,Sitka_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sitka,No Data
P244,0,Southeast Alaska Power Agency,Tyee Lake Hydroelectric Facility,SEAPA_grid,Southeast,0,0,0,89657,0,0,0,0,0,0,0,EIA923,12,"Ketchikan, Petersburg, Wrangell",NA
P247,394,Takotna Community Assoc Inc,Takotna,Takotna_grid,Yukon-Koyukuk/Upper Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Takotna,No Data
P248,447,Tanalian Electric Cooperative,Port Alsworth,Port Alsworth_grid,Bristol Bay,887.78200000000004,0,0,0,0,0,0,0,65889,0,0,PCE,12,Port Alsworth,NA
P249,92,Tanana Power Company Inc,Tanana,Tanana_grid,Yukon-Koyukuk/Upper Tanana,1246.9929999999999,0,0,0,0,0,0,0,89201,0,0,PCE,12,Tanana,NA
P25,2,Alaska Power & Telephone Company,"Northway, Northway Village, Northway Junction",Northway_grid,Yukon-Koyukuk/Upper Tanana,1102.4000000000001,0,0,0,0,0,0,0,86487,0,0,PCE,12,"Northway, Northway Village, Northway Junction",NA
P250,586,Tatitlek Village Ira Council,Tatitlek,Tatitlek_grid,Copper River/Chugach,424.79099999999988,0,0,0,0,0,0,0,34881,0,0,PCE,12,Tatitlek,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1983.991,0,0,0,0,0,0,0,165287,0,0,PCE,12,Adak,NA
P252,749,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,3265.1080000000002,0,0,0,347,0,0,0,250602,0,0,EIA923,12,Sand Point,NA
P253,72,TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs_grid,Yukon-Koyukuk/Upper Tanana,558.74,0,0,0,0,0,0,0,44345,0,0,PCE,12,Manley Hot Springs,NA
P254,227,TDX North Slope Generating Inc.,TNSG North Plant,Deadhorse_grid,North Slope,0,55954.999999999993,0,0,0,0,0,0,0,739814,0,EIA923,12,Deadhorse,NA
P255,227,TDX North Slope Generating Inc.,TNSG South Plant,Deadhorse_grid,North Slope,0,-533.00000000000011,0,0,0,0,0,0,0,727,0,EIA923,12,Deadhorse,NA
P256,363,"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs_grid,Southeast,403.14900000000006,0,0,0,0,0,0,0,32047,0,0,PCE,12,Tenakee Springs,NA
P267,452,University of Alaska,University of Alaska Fairbanks,Railbelt_grid,Railbelt,1903.7750000000001,6.0540000000000003,43541.171000000002,0,0,0,0,0,142506,48,17710,EIA923,20,0,NA
P259,344,Tuntutuliak Community,Tuntutuliak,Tuntutuliak_grid,Lower Yukon-Kuskokwim,1188.83,0,0,0,107.71199999999999,0,0,0,106219,0,0,PCE,22,Tuntutuliak,NA
P26,2,Alaska Power & Telephone Company,Skagway,Haines_grid,Southeast,1430.144,0,0,2131.9749999999999,0,0,0,0,104097,0,0,PCE,24,"Haines, Covenant Life; Klukwan; Chilkat Valley",NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,183.66300000000001,0,0,0,0,0,0,0,18886,0,0,PCE,12,Nikolski,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,3528,0,0,0,774.1690000000001,0,0,0,227333,0,0,PCE,24,Unalakleet,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,42197,0,0,0,0,0,0,0,2744322,0,0,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,2587.2000000000003,0,0,0,0,0,0,0,229026,0,0,EIA923,12,Unalaska,NA
P265,375,Ungusraq Power Company,Newtok,Newtok_grid,Lower Yukon-Kuskokwim,51.658000000000001,0,0,0,0,0,0,0,0,0,0,PCE,1,Newtok,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,30453.614999999998,0,0,0,0,0,0,119.38499999999999,2363508,0,0,EIA923,24,Unalaska,coded by EIA as OBL (Other biomass liquids) and ORW (Other Renewables)
P137,726,Doyon Utilities - Ft. Wainwright,Utility Plants Section,Railbelt_grid,Railbelt,0,0,68739,0,0,0,0,0,0,0,41288,EIA923,12,0,NA
P235,NA,Renewable IPP,Willow Solar,Railbelt_grid,Railbelt,NA,NA,NA,NA,NA,1308,NA,NA,NA,NA,NA,MEA COPA & FERC1 (ann rept to CA),NA,0,NA
P27,2,Alaska Power & Telephone Company,Slana,Slana_grid,Yukon-Koyukuk/Upper Tanana,1392.4650000000001,0,0,0,0,0,0,0,93434,0,0,PCE,12,Slana,NA
P270,663,Venetie Village Electric,Venetie,Venetie_grid,Yukon-Koyukuk/Upper Tanana,723,0,0,0,0,0,0,0,59068,0,0,PCE,9,Venetie,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,18835,0,0,0,0,0,0,0,544194,0,0,EIA923,12,Unalaska,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,873.346,0,0,0,0,0,0,0,65789,0,0,PCE,12,0,NA
P273,111,City of Wrangell - (AK),Wrangell,SEAPA_grid,Southeast,584,0,0,0,0,0,0,0,39732,0,0,EIA923,12,"Ketchikan, Petersburg, Wrangell",NA
P28,2,Alaska Power and Telephone Co,Thorne Bay Plant,Prince of Wales Is._grid,Southeast,8,0,0,0,0,0,0,0,6510,0,0,EIA923,12,Craig; Klawock,NA
P29,2,Alaska Power & Telephone Company,"Tok, Tanacross",Tok_grid,Yukon-Koyukuk/Upper Tanana,9987.4399999999987,0,0,0,0,0,0,0,700784,0,0,PCE,12,"Tok; Tanacross; Dot Lake, Dot Lake Village",NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unalaska,No Data
P292,160,Cordova Electric Cooperative,"Cordova, Eyak",Cordova_grid,Copper River/Chugach,8030.5599999999986,0,0,16984.937000000002,0,0,0,0,591061,0,0,PCE,24,"Cordova, Eyak",NA
P3,412,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,1910.3439999999996,0,0,0,0,0,0,0,135170,0,0,PCE,12,Akiachak,NA
P30,2,Alaska Power & Telephone Company,"Allakaket, Alatna",Allakaket_grid,Yukon-Koyukuk/Upper Tanana,667.39399999999989,0,0,0,0,0,0,0,55148,0,0,PCE,12,"Allakaket, Alatna",NA
P31,2,Alaska Power & Telephone Company,"Bettles, Evansville",Bettles_grid,Yukon-Koyukuk/Upper Tanana,489.10000000000008,0,0,0,0,0,0,0,41650,0,0,PCE,12,"Bettles, Evansville",NA
P32,2,Alaska Power & Telephone Company,Chistochina,Slana_grid,Copper River/Chugach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slana,No Data
P33,2,Alaska Power & Telephone Company,Coffman Cove,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Craig; Klawock,No Data
P34,2,Alaska Power & Telephone Company,"Eagle, Eagle Village",Eagle_grid,Yukon-Koyukuk/Upper Tanana,849.04000000000008,0,0,0,0,26.427,0,0,65142,0,0,PCE,24,"Eagle, Eagle Village",NA
P35,2,Alaska Power & Telephone Company,Gustavus,Gustavus_grid,Southeast,122.36,0,0,2305.6570000000002,0,0,0,0,9159,0,0,PCE,19,Gustavus,NA
P36,2,Alaska Power & Telephone Company,Healy Lake,Healy Lake_grid,Yukon-Koyukuk/Upper Tanana,85.861000000000004,0,0,0,0,0,0,0,9305,0,0,PCE,12,Healy Lake,NA
P37,2,Alaska Power & Telephone Company,Hollis,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Craig; Klawock,No Data
P38,2,Alaska Power & Telephone Company,Mentasta Lake,Slana_grid,Copper River/Chugach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slana,No Data
P39,2,Alaska Power & Telephone Company,Tetlin,Tok_grid,Yukon-Koyukuk/Upper Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tok; Tanacross; Dot Lake, Dot Lake Village",No Data
P4,635,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,997.52200000000005,0,0,0,0,0,0,0,80506,0,0,PCE,10,Akiak,NA
P40,2,Alaska Power & Telephone Company,Whale Pass,Whale_Pass_grid,Southeast,438.02000000000004,0,0,0,0,0,0,0,38160,0,0,PCE,12,Whale Pass,NA
P41,2,Alaska Power & Telephone Company,Dewey Lakes ,UpperLynnCanal_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",No Data
P42,2,Alaska Power & Telephone Company,Lutak,UpperLynnCanal_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",No Data
P43,2,Alaska Power & Telephone Company,Naukati Bay,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Craig; Klawock,No Data
