"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.j   Customers Served by Certificated Utilities (Accounts), by AEA Energy Region, 2020",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,1464,178.91666666666666,696.58333333333326,23017.27108264167,1.9454306604970668E-2
Bering Straits,3315.6666666666665,202.33333333333334,947,21673.150407666668,1.831824944028081E-2
Bristol Bay,3144.7916666666665,260.83333333333337,1446.5666666666668,26261.867380666667,2.2196654773200469E-2
Copper River/Chugach,1239.2499999999998,71.083333333333329,780.74999999999989,29556.753440583332,2.4981508086519742E-2
Kodiak,5159.5119047619046,1112.202380952381,215.33333333333331,24093.290984758336,2.0363763725828703E-2
Lower Yukon-Kuskokwim,6616.2696969696981,422.65303030303033,2135.6257575757577,44843.737818308335,3.7902139732290278E-2
North Slope,765.58333333333337,181,442.08333333333331,25659.380345858335,2.1687429876009235E-2
Northwest Arctic,2095.0833333333335,125.83333333333334,371.16666666666674,16825.094828566671,1.4220649888400071E-2
Railbelt,249352,40207,562,841167.8,0.71095901111273396
Southeast,27204.25,4012.5833333333335,2444.7499999999991,111520.78350017499,9.4257894745616397E-2
Yukon-Koyukuk/Upper Tanana,3341.4060606060607,319.30101010101015,1017.0161616161616,18526.152642000001,1.5658392014149713E-2
Total,303697.81266233767,47093.739754689756,11058.875252525251,1183145.2824312251,1
Percent of Total,0.25668683057948238,3.9803852032370558E-2,9.3470137748430659E-3,1,NA
The regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
