"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Table 1.f   Generation by Fuel Type by Operators/Utilities (MWh), by AEA Energy Region, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Utility Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,107596.109,0,0,3930.3300000000008,347,0,0,119.38499999999999,111992.82399999999,1.7889380645340791E-2
Bering Straits,50146.270999999986,0,0,0,3876.9070000000002,0,0,0,54023.177999999985,8.6294921441841688E-3
Bristol Bay,53163.188999999998,0,0,4100.6040000000003,11.548999999999999,1.1580000000000001,0,0,57276.5,9.1491675442782108E-3
Copper River/Chugach,50844.920999999995,0,0,88096.937000000005,0,0,-71,0,138870.85800000001,2.2182793062768644E-2
Kodiak,1841.1279999999999,0,0,127001.41900000002,24682,0,-516,0,153008.54700000002,2.4441102934180118E-2
Lower Yukon-Kuskokwim,94165.317999999999,0,0,0,7304.9059999999999,0,0,0,101470.224,1.6208533694123072E-2
North Slope,29205.417999999998,110443.41499999999,0,0,0,0,0,0,139648.83299999998,2.2307064336681323E-2
Northwest Arctic,32571.558000000001,0,0,0,4042.328,194.27499999999998,-57,0,36751.161,5.8705145991068443E-3
Railbelt,576868.39900000009,2569261.6379999998,721788.94299999997,697670,97138,1720.3,-2810,0,4661637.28,0.74463524316907215
Southeast,19620.172000000002,0,0,748994.33199999994,0,0,0,0,768614.50399999996,0.12277605779086179
Yukon-Koyukuk/Upper Tanana,36968.743000000002,0,0,0,0,33.677999999999997,0,0,37002.421000000002,5.9106500794028714E-3
Total,1052991.226,2679705.0529999998,721788.94299999997,1669793.622,137402.69,1949.4110000000001,-3454,119.38499999999999,6260296.3300000001,1
Percent of Total,0.16820149885780247,0.42804763732326384,0.11529629029557455,0.26672756910853768,2.1948272534888139E-2,3.1139276756887962E-4,-5.5173107117119488E-4,1.9070183535545193E-5,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Note: generation is net generation (net of station service) for entities reporting to EIA; and gross generation for entitites reporting to PCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
