"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.i   Revenue Received by Certificated Utilities ($000), by AEA Energy Region, 2020",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercialb,Otherb,Region Totala,Percent of Statewide Total
Aleutians,3346.1118923833337,16142.463864233332,0,23017.27108264167,1.9454306604970668E-2
Bering Straits,7722.5006223999999,5433.6096651750004,0,21673.150407666668,1.831824944028081E-2
Bristol Bay,7559.3430884250001,13292.735483875002,0,26261.867380666667,2.2196654773200469E-2
Copper River/Chugach,2455.8418888916663,5846.9130523833328,0,29556.753440583332,2.4981508086519742E-2
Kodiak,7067.6729709166666,3948.6281008000001,12739,24093.290984758336,2.0363763725828703E-2
Lower Yukon-Kuskokwim,17241.403158908335,11569.980639716669,0,44843.737818308335,3.7902139732290278E-2
North Slope,1567.1779198916665,16586.904447333334,0,25659.380345858335,2.1687429876009235E-2
Northwest Arctic,6828.6330648999992,5226.6632330583334,0,16825.094828566671,1.4220649888400071E-2
Railbelt,356063.6,329641.8,155462.39999999999,841167.8,0.71095901111273396
Southeast,37297.273579933317,28710.664763583332,15085.7,111520.78350017499,9.4257894745616397E-2
Yukon-Koyukuk/Upper Tanana,7031.550005183336,5818.80436405,0,18526.152642000001,1.5658392014149713E-2
Total,454181.10819183331,442219.1676142083,183287.1,1183145.2824312251,1
Percent of Total,0.38387602514760005,0.37376573628007853,0.1549151255738995,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
