"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Table 2.2a   Generation and Total Disposition of Electric Energy (MWh), 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK sales reporting ID,PCE ID,RCA CPCN,Utility Name,Index Community,Intertie name,Energy Region,"Generation (PCE = gross, EIA = net)",Purchased Power,Net Wheeled Power,Total Disposition (= Total Sources),Sales to Consumers,Sales for Resale,Furnished without Payment,Used by facility,Unaccountable / Energy Loss,Source,Communities reported,Number of monthly records,Notes
SR-1,0,1,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Juneau_grid,Southeast,128506,276902,0,405408,384981,.,.,4740,15687,EIA861,"Juneau, Douglas, Greens Creek (Industrial)",12,NA
SR-10,0,227,TDX North Slope Generating Co,TDX North Slope Generating Co,Deadhorse_grid,North Slope,55422,.,0,55422,53030,.,.,.,2392,EIA861,Deadhorse,12,NA
SR-100,331420,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,1243.2629999999999,0,0,1243.2629999999999,1189.769,0,0,20.635999999999999,32.857999999999947,PCE,Koyuk,12,NA
SR-101,332140,687,"Koyukuk, City of",Koyukuk,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,114.268,0,0,114.268,215.57599999999999,0,0.60599999999999998,8.8879999999999999,-110.80199999999999,PCE,Koyukuk,12,NA
SR-102,332150,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,1819.8779999999999,0,0,1819.8779999999999,1530.798,0,120.14100000000001,50.348999999999997,118.58999999999992,PCE,Kwethluk,12,NA
SR-103,332160,376,Kwigillingok Power Company,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,1279.9280000000001,0,0,1279.9280000000001,1092.5609999999999,0,39.366999999999997,68.822999999999993,79.177000000000135,PCE,Kwigillingok,12,NA
SR-104,332170,353,Larsen Bay Utility Company,Larsen Bay,Larsen Bay_grid,Kodiak,455.51900000000001,0,0,455.51900000000001,370.67899999999997,0,0,31.2,53.640000000000043,PCE,Larsen Bay,12,NA
SR-105,332180,330,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,380.625,0,0,380.625,323.62099999999998,0,11.801,32.353000000000002,12.850000000000023,PCE,Levelock,12,NA
SR-106,332190,570,Lime Village Electric Utility,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,13.68,0,0,13.68,10.898999999999999,0,0,0.29899999999999999,2.4820000000000011,PCE,Lime Village,12,NA
SR-107,331430,169,Alaska Village Electric Cooperative,Lower Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,0,0,0,0,721.09500000000003,0,0,0,-721.09500000000003,PCE,Lower Kalskag,12,NA
SR-108,332200,72,TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs_grid,Yukon-Koyukuk/Upper Tanana,535.16399999999999,0,0,535.16399999999999,442.53699999999998,0,0,23.576000000000001,69.050999999999988,PCE,Manley Hot Springs,12,NA
SR-109,332210,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,1114.3610000000001,0,0,1114.3610000000001,1015.283,0,46.926000000000002,89.662000000000006,-37.509999999999991,PCE,Manokotak,12,NA
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1625.066,0,0,1625.066,1058.28,0,0,358.92500000000001,207.8610000000001,PCE,Adak,12,NA
SR-110,331440,169,Alaska Village Electric Cooperative,Marshall,Marshall_grid,Lower Yukon-Kuskokwim,1460.6279999999999,0,0,1460.6279999999999,1395.979,0,0,31.17,33.478999999999814,PCE,Marshall,12,NA
SR-111,332220,44,Mcgrath Light & Power,McGrath,McGrath_grid,Yukon-Koyukuk/Upper Tanana,2135.4670000000001,0,0,2135.4670000000001,1937.578,0,5.5650000000000004,94.802999999999997,97.521000000000186,PCE,McGrath,12,NA
SR-112,331450,169,Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk_grid,Lower Yukon-Kuskokwim,853.12699999999995,0,0,853.12699999999995,799.53700000000003,0,0,43.96,9.6299999999998818,PCE,Mekoryuk,12,NA
SR-113,331160,2,Alaska Power & Telephone Company,Mentasta Lake,Slana_grid,Copper River/Chugach,0,0,0,0,409.904,0,0,0,-409.904,PCE,Mentasta Lake,12,NA
SR-114,331460,169,Alaska Village Electric Cooperative,Minto,Minto_grid,Yukon-Koyukuk/Upper Tanana,677.67,0,0,677.67,651.98900000000003,0,0,8.7010000000000005,16.979999999999905,PCE,Minto,12,NA
SR-115,331470,169,Alaska Village Electric Cooperative,Mountain Village,Mountain Village_grid,Lower Yukon-Kuskokwim,2473.9960000000001,0,0,2473.9960000000001,2486.3879999999999,0,0,46.968000000000004,-59.359999999999673,PCE,Mountain Village,12,NA
SR-116,332280,22,Naknek Electric Association,"Naknek, South Naknek, King Salmon",Naknek_grid,Bristol Bay,20853.510999999999,0,0,20853.510999999999,19479.949000000001,0,0,560.16,813.40199999999822,PCE,"Naknek, South Naknek, King Salmon",12,NA
SR-117,332290,319,Napakiak Ircinraq,Napakiak,Bethel_grid,Lower Yukon-Kuskokwim,0,731.12,0,731.12,679.67700000000002,0,66.914000000000001,0,-15.471000000000004,PCE,Napakiak,12,NA
SR-118,332300,625,Napaskiak Electric Utility,Napaskiak,Napaskiak_grid,Lower Yukon-Kuskokwim,837.01900000000001,0,0,837.01900000000001,617.63599999999997,0,49.338999999999999,40.786999999999999,129.25700000000006,PCE,Napaskiak,12,NA
SR-119,331170,2,Alaska Power & Telephone Company,Naukati Bay,Prince of Wales Is._grid,Southeast,-11.52,0,0,-11.52,647.54600000000005,0,0,11.52,-670.58600000000001,PCE,Naukati Bay,12,NA
SR-12,331010,449,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,241.512,0,0,241.512,225.31299999999999,0,0,9.391,6.8080000000000211,PCE,Akhiok,12,NA
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,280.57900000000001,0,0,280.57900000000001,238.25899999999999,0,0,13.263999999999999,29.056000000000012,PCE,Nelson Lagoon,12,NA
SR-121,331480,169,Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok_grid,Bristol Bay,1850.0650000000001,0,0,1850.0650000000001,1351.712,0,0,37.156999999999996,461.19600000000014,PCE,New Stuyahok,12,NA
SR-122,332870,375,Ungusraq Power Company,Newtok,Newtok_grid,Lower Yukon-Kuskokwim,50.069000000000003,0,0,50.069000000000003,274.536,0,1.859,1.589,-227.91499999999996,PCE,Newtok,12,NA
SR-123,331490,169,Alaska Village Electric Cooperative,Nightmute,Toksook Bay_grid,Lower Yukon-Kuskokwim,0,0,0,0,839.63599999999997,0,0,0,-839.63599999999997,PCE,Nightmute,12,NA
SR-124,332330,416,"Nikolai, City of",Nikolai,Nikolai_grid,Yukon-Koyukuk/Upper Tanana,390.61200000000002,0,0,390.61200000000002,309.32400000000001,0,22.17,7.4450000000000003,51.673000000000002,PCE,Nikolai,12,NA
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,155.96100000000001,0,0,155.96100000000001,145.09899999999999,0,0,27.702000000000002,-16.839999999999975,PCE,Nikolski,12,NA
SR-126,331500,169,Alaska Village Electric Cooperative,Noatak,Noatak_grid,Northwest Arctic,1822.896,0,0,1822.896,1687.193,0,0,47.856999999999999,87.846000000000004,PCE,Noatak,12,NA
SR-127,332340,150,Nome Joint Utility Systems,Nome,Nome_grid,Bering Straits,30160.124,0,0,30160.124,28769.172999999999,0,0,1358.34,32.611000000000786,PCE,Nome,12,NA
SR-128,331510,169,Alaska Village Electric Cooperative,Noorvik,Noorvik_grid,Northwest Arctic,1931.7090000000001,0,0,1931.7090000000001,1824.799,0,0,37.381,69.528999999999996,PCE,Noorvik,12,NA
SR-129,331180,2,Alaska Power & Telephone Company,"Northway, Northway Village, Northway Junction",Northway_grid,Yukon-Koyukuk/Upper Tanana,1089.2239999999999,0,0,1089.2239999999999,985.62699999999995,0,25.68,13.176,64.740999999999985,PCE,"Northway, Northway Village, Northway Junction",5,NA
SR-13,331020,412,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,1868.1669999999999,0,0,1868.1669999999999,1704.374,0,38.725999999999999,42.177,82.8900000000001,PCE,Akiachak,12,NA
SR-130,332380,254,North Slope Borough Power & Light,Nuiqsut,Nuiqsut_grid,North Slope,4751.6880000000001,0,0,4751.6880000000001,6227.518,0,0,242.083,-1717.9129999999996,PCE,Nuiqsut,3,NA
SR-131,331520,169,Alaska Village Electric Cooperative,Nulato,Nulato_grid,Yukon-Koyukuk/Upper Tanana,1037.067,0,0,1037.067,977.94200000000001,0,0,17.692,41.432999999999993,PCE,Nulato,12,NA
SR-132,332420,408,Nunam Iqua Electric Company,Nunam Iqua,Nunam Iqua_grid,Lower Yukon-Kuskokwim,784.65099999999995,0,0,784.65099999999995,752.27300000000002,0,6.9989999999999997,46.195999999999998,-20.817000000000121,PCE,Nunam Iqua,12,NA
SR-133,331530,169,Alaska Village Electric Cooperative,Nunapitchuk,Kasigluk_grid,Lower Yukon-Kuskokwim,0,0,0,0,1213.6690000000001,0,0,0,-1213.6690000000001,PCE,Nunapitchuk,12,NA
SR-134,331540,169,Alaska Village Electric Cooperative,Old Harbor,Old Harbor_grid,Kodiak,767.03200000000004,0,0,767.03200000000004,739.88300000000004,0,0,33.47,-6.3210000000000264,PCE,Old Harbor,12,NA
SR-135,332440,357,"Ouzinkie, City of",Ouzinkie,Ouzinkie_grid,Kodiak,649.72299999999996,0,0,649.72299999999996,586.78399999999999,0,0,36.396000000000001,26.543000000000006,PCE,Ouzinkie,12,NA
SR-136,332450,662,Pedro Bay Village Council,Pedro Bay,Pedro Bay_grid,Bristol Bay,172.84899999999999,0,0,172.84899999999999,171.059,0,0,10.445,-8.6550000000000011,PCE,Pedro Bay,12,NA
SR-137,332460,Pelican Utility,Pelican Utility,NA,Pelican_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pelican,NA,No Data
SR-138,332470,659,Native Village of Perryville,Perryville,Perryville_grid,Bristol Bay,378.40800000000002,0,0,378.40800000000002,305.12599999999998,0,51.819000000000003,16.356000000000002,5.1070000000000277,PCE,Perryville,12,NA
SR-139,332480,425,Pilot Point Electric Utility,Pilot Point,Pilot Point_grid,Bristol Bay,475.20800000000003,0,0,475.20800000000003,392.65499999999997,0,0,23.347999999999999,59.205000000000041,PCE,Pilot Point,12,NA
SR-14,331030,635,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,970.41899999999998,0,0,970.41899999999998,1003.739,0,8.3870000000000005,27.103000000000002,-68.810000000000059,PCE,Akiak,12,NA
