"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Greenhouse Gas Emissions by Fuel Type by Operators/Utilities (Tons) by AEA Energy Regions, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,78792.344312000001,0,0,0,0,0,0,78792.344312000001,2.6084799731693011E-2
Bering Straits,34708.796693999997,0,0,0,0,0,0,34708.796693999997,1.1490608873191643E-2
Bristol Bay,37709.531639999994,0,0,0,0,0,0,37709.531639999994,1.24840248046222E-2
Copper River/Chugach,34938.351762000006,0,0,0,0,0,0,34938.351762000006,1.1566604809452465E-2
Kodiak,4157.370844,0,0,0,0,0,0,4157.370844,1.3763289672751062E-3
Lower Yukon-Kuskokwim,63169.481958000004,0,0,0,0,0,0,63169.481958000004,2.0912733342524397E-2
North Slope,22275.793012000002,103564.4467,0,0,0,0,0,125840.23971200001,4.1660360276599077E-2
Northwest Arctic,23178.632862000002,0,0,0,0,0,0,23178.632862000002,7.6734611914272858E-3
Railbelt,214849.41322533326,1661834.7694399999,696510.33555999992,0,0,0,0,2573194.5182253332,0.85187544887372502
Southeast,17868.748303999993,0,0,0,0,0,0,17868.748303999993,5.9155838684048639E-3
Yukon-Koyukuk/Upper Tanana,27064.918210000003,0,0,0,0,0,0,27064.918210000003,8.9600452610848497E-3
Total,558713.38282333326,1765399.2161399999,696510.33555999992,0,0,0,0,3020622.9345233333,0.99999999999999989
Percent of Total,0.18496627845789052,0.58444872279915572,0.23058499874295368,0,0,0,0,1,NA
