"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Operators/Utilities Net Generation by Fuel Type (MWh), 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage (MWH),Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Number of monthly records,Communities connected to plant,Notes
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,240.27999999999997,0,0,276.17500000000001,0,0,0,0,27688,0,0,PCE,24,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,752.97600000000011,0,0,0,0,0,0,0,58804,0,0,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,2598.7959999999998,0,0,0,0,0,0,0,191062,0,0,PCE,12,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,2404.4550000000004,0,0,2222,0,0,0,0,171292,0,0,PCE,24,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,334.78300000000002,0,0,0,0,0,0,0,34033,0,0,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,661.94899999999996,0,0,0,0,0,0,0,55654,0,0,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,886.34699999999998,0,0,0,668.64300000000003,0,0,0,64720,0,0,PCE,14,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,2060.3130000000001,0,0,0,0,0,0,0,152461,0,0,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,486.87,0,0,0,1026.6109999999999,0,0,0,34505,0,0,PCE,14,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,206.75699999999998,0,0,0,0,0,0,0,21400,0,0,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,46622,0,0,0,0,0,0,0,3092796,0,0,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,68,0,0,0,0,0,0,0,4998,0,0,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,25376.087,0,0,0,0,0,0,6345.9129999999986,2504838,0,0,EIA923,24,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,18767,0,0,0,0,0,0,0,1244208,0,0,EIA923,12,Unalaska,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,661.25199999999984,0,0,0,0,0,0,0,42633,0,0,PCE,12,Akutan,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,0,0,0,Unalaska,NA
P135,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,111.673,0,0,0,0,0,0,0,0,0,0,PCE,3,Diomede,NA
P153,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,829.90099999999995,0,0,0,0,0,0,0,63850,0,0,PCE,12,Golovin,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,30761.977999999996,0,0,0,985.50100000000009,0,0,0,1965361,0,0,PCE,24,Nome,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,3305.0939999999996,0,0,0,1149.7139999999999,0,0,0,231987,0,0,PCE,24,Unalakleet,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,782.2,0,0,0,0,0,0,0,66555,0,0,PCE,12,0,NA
P48,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,1101.1119999999999,0,0,0,0,0,0,0,79036,0,0,PCE,12,Brevig Mission,NA
P50,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,1215.857,0,0,0,0,0,0,0,92947,0,0,PCE,12,Elim,NA
P52,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,1561.5830000000001,0,0,0,422.77799999999991,0,0,0,115547,0,0,PCE,23,Gambell,NA
P58,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,1260.3600000000001,0,0,0,0,0,0,0,92607,0,0,PCE,12,Koyuk,NA
