"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Net Generation by Fuel Type by Operators/Utilities (MWh) by AEA Energy Regions, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,102127.86499999999,0,0,2498.1750000000002,1695.2539999999999,0,0,6345.9129999999986,112667.20699999999,1.7712394160550551E-2
Bering Straits,50035.337999999982,0,0,0,3204.7710000000002,0,0,0,53240.108999999982,8.3698692891062305E-3
Bristol Bay,52816.265999999996,0,0,3908.0070000000001,13.834999999999999,0,0,0,56738.107999999993,8.9197891700633566E-3
Copper River/Chugach,42383.245000000003,0,0,74580,0,0,0,0,116963.245,1.838777362908307E-2
Kodiak,2507.712,0,0,134916.56699999998,23323,0,0,0,160747.27899999998,2.5271054832165938E-2
Lower Yukon-Kuskokwim,61875.722999999998,0,0,0,3912.0279999999998,0,0,0,65787.751000000004,1.0342482144322205E-2
North Slope,29377.701999999997,130548.045,0,0,0,0,0,0,159925.747,2.5141901913699565E-2
Northwest Arctic,31297.286000000004,0,0,0,4673.4360000000006,0,0,0,35970.722000000002,5.6549516338288862E-3
Railbelt,325634.84499999997,3213640.0430000001,558292.18099999998,547735,124091.99999999999,0,0,0,4769394.0690000001,0.7497957028181238
Southeast,20252.67901,0,0,774201.2919999999,0,0,0,0,794453.97100999986,0.12489598572319024
Yukon-Koyukuk/Upper Tanana,35027.926999999989,0,0,0,0,8.6490000000000009,0,0,35036.575999999986,5.5080946858661849E-3
Total,753336.58800999995,3344188.088,558292.18099999998,1537839.0409999997,160914.32399999999,8.6490000000000009,0,6345.9129999999986,6360924.7840099996,1
Percent of Total,0.11843192831075861,0.52573929130659924,8.7769027296695404E-2,0.24176343742749437,2.5297315950741011E-2,1.3597079502876267E-6,0,9.9763999976108233E-4,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
