"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.i   Revenue Received by Certificated Utilities ($000), by AEA Energy Region, 2021",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercialb,Otherb,Region Totala,Percent of Statewide Total
Aleutians,3477.0652026045454,18758.443394093181,4161.8132273598485,26397.321824057577,2.1874334927446719E-2
Bering Straits,7562.918441374999,5488.2918099999997,8482.7829263583317,21533.993177733333,1.7844301866479534E-2
Bristol Bay,7157.3472695250002,14016.630713758337,5646.5224675416666,26820.500450825006,2.2225005009727999E-2
Copper River/Chugach,7861.7566507166666,26194.705271591665,3658.9886587999999,37715.450581108329,3.1253185586382203E-2
Kodiak,7177.8917193749994,3954.4497968999999,13604.679389691666,24737.020905966667,2.0498514357286873E-2
Lower Yukon-Kuskokwim,16707.130302224999,10577.63322593333,15569.000236575004,42853.763764733332,3.551108660717036E-2
North Slope,2883.3466968832199,18534.193819783446,194.95039166666663,21612.490908333333,1.7909349588427752E-2
Northwest Arctic,6566.2451344499996,5079.474258733333,4680.9466537499993,16326.666046933331,1.3529211930647909E-2
Railbelt,352519.4,332435.3,166260,851214.7,0.7053653233108178
Southeast,49802.983881262073,44219.724141271254,24443.806617408336,118466.51463994167,9.8168148882424353E-2
Yukon-Koyukuk/Upper Tanana,7206.6589574083328,6149.9887881416671,5736.3317648750008,19092.979510425001,1.5821537933188596E-2
Total,468922.74425582483,485408.83522020624,252439.82233402654,1206771.4018100575,1
Percent of Total,0.38857628176511261,0.40223760232644978,0.20918611590843772,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.5a,NA,NA,NA,NA,NA
