"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.j   Customers Served by Certificated Utilities (Accounts), by AEA Energy Region, 2021",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,1462.6643939393941,182.619696969697,676.04469696969704,2321.3287878787878,6.655961533742847E-3
Bering Straits,3322.3333333333335,214.5,956.99999999999989,4493.8333333333339,1.2885198323435392E-2
Bristol Bay,3082.8750000000005,253.90833333333333,1424.4,4761.1833333333334,1.3651772763617221E-2
Copper River/Chugach,4336.5833333333339,945.08333333333326,791.66666666666674,6073.333333333333,1.7414109220264273E-2
Kodiak,5153.166666666667,1132.0833333333333,185.16666666666666,6470.4166666666661,1.8552668913383911E-2
Lower Yukon-Kuskokwim,6534,402.66666666666674,2194.166666666667,9130.8333333333321,2.6180899386173934E-2
North Slope,2287.1666666666665,683.83333333333337,458.66666666666669,3429.6666666666665,9.8339061343193802E-3
Northwest Arctic,2051.1666666666665,124.25,426.08333333333337,2601.5,7.4592983210511818E-3
Railbelt,226365,33998,571,260934,0.74817780054013805
Southeast,33592.604897461228,7670.6196972572225,2575.5254052815485,43838.750000000015,0.12569914060041615
Yukon-Koyukuk/Upper Tanana,3330.6388888888891,316.08333333333331,1057.7777777777778,4704.4999999999991,1.3489244263457727E-2
Total,291518.19984695618,45923.647727560252,11317.497880029023,348759.34545454546,1
Percent of Total,0.8358720809818424,0.13167718177618148,3.2450737241976092E-2,1,NA
The regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.5a,NA,NA,NA,NA,NA
