"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"Table 2.3a   Generation (MWh) by plant and prime mover, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Generation,Data source,Number of monthly records,Communities connected to plant,Notes
P001,NA,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P002,449,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,0,286.83100000000002,0,0,0,0,0,286.83100000000002,PCE,12,Akhiok,NA
P003,412,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,0,2003.7009999999998,0,0,0,0,0,2003.7009999999998,PCE,12,Akiachak,NA
P004,635,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,0,224.69400000000002,0,0,0,0,0,224.69400000000002,PCE,2,Akiak,NA
P005,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0,515.40499999999997,168.137,0,0,0,0,683.54199999999992,PCE,24,Akutan,NA
P006,1,Alaska Electric Light & Power Co.,Annex Creek,Juneau_grid,Southeast,0,0,25983.000000000004,0,0,0,0,25983.000000000004,EIA923,12,"Juneau, Douglas",NA
P007,1,Alaska Electric Light & Power Co.,Auke Bay,Juneau_grid,Southeast,-326,-28,0,0,0,0,0,-353.99999999999989,EIA923,24,"Juneau, Douglas",NA
P008,1,Alaska Electric Light & Power Co.,Gold Creek,Juneau_grid,Southeast,0,5,5419,0,0,0,0,5424,EIA923,13,"Juneau, Douglas",NA
P009,1,Alaska Electric Light & Power Co.,Industrial Plant,Juneau_grid,Southeast,-125,0,0,0,0,0,0,-125,EIA923,12,"Juneau, Douglas",NA
P010,1,Alaska Electric Light & Power Co.,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,0,0,87445.999999999985,0,0,0,0,87445.999999999985,EIA923,12,"Juneau, Douglas",NA
P011,1,Alaska Electric Light & Power Co.,Lemon Creek,Juneau_grid,Southeast,-295,-549.00000000000011,0,0,0,0,0,-843.99999999999989,EIA923,24,"Juneau, Douglas",NA
P012,1,Alaska Electric Light & Power Co.,Salmon Creek 1,Juneau_grid,Southeast,0,0,24589.999999999996,0,0,0,0,24589.999999999996,EIA923,12,"Juneau, Douglas",NA
P013,1,Alaska Electric Light & Power Co.,Snettisham,Juneau_grid,Southeast,0,0,289785,0,0,0,0,289785,EIA923,12,"Juneau, Douglas",NA
P014,742,Alaska Environmental Power,Delta Wind Farm,Railbelt_grid,Railbelt,0,0,0,0,3654,0,0,3654,EIA923,12,0,NA
P015,2,Alaska Power and Telephone Co,Black Bear Lake,Prince of Wales Is._grid,Southeast,0,0,22727,0,0,0,0,22727,EIA923,12,Craig; Klawock,NA
P016,2,Alaska Power and Telephone Co,Goat Lake Hydro,UpperLynnCanal_grid,Southeast,0,0,14472.999999999998,0,0,0,0,14472.999999999998,EIA923,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P017,2,Alaska Power and Telephone Co,Kasidaya Creek Hydro,UpperLynnCanal_grid,Southeast,0,0,6902,0,0,0,0,6902,EIA923,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P018,2,Alaska Power and Telephone Co,South Fork,Prince of Wales Is._grid,Southeast,0,0,6206.0000000000009,0,0,0,0,6206.0000000000009,EIA923,12,Craig; Klawock,NA
P019,2,Alaska Power & Telephone Company,Viking,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P020,2,Alaska Power and Telephone Co,Craig (AK),Prince of Wales Is._grid,Southeast,0,323.99999999999994,0,0,0,0,0,323.99999999999994,EIA923,12,Craig; Klawock,NA
P021,2,Alaska Power and Telephone Co,False Island,Prince of Wales Is._grid,Southeast,0,696,0,0,0,0,0,696,EIA923,12,Craig; Klawock,NA
P022,2,Alaska Power and Telephone Co,Haines,UpperLynnCanal_grid,Southeast,0,1390,0,0,0,0,0,1390,EIA923,12,"Haines, Covenant Life; Klukwan; Chilkat Valley; Skagway",NA
P023,2,Alaska Power and Telephone Co,Hydaburg,Prince of Wales Is._grid,Southeast,0,12,0,0,0,0,0,12,EIA923,12,Craig; Klawock,NA
P024,2,Alaska Power and Telephone Co,Klawock Power Generation Station,Prince of Wales Is._grid,Southeast,0,600,0,0,0,0,0,600,EIA923,12,Craig; Klawock,NA
P025,2,Alaska Power & Telephone Company,"Northway, Northway Village, Northway Junction",Northway_grid,Yukon-Koyukuk/Upper Tanana,0,1096,0,0,0,0,0,1096,PCE,12,"Northway, Northway Village, Northway Junction",NA
P026,2,Alaska Power & Telephone Company,Skagway,Haines_grid,Southeast,0,1483.1790000000001,2501.3969999999999,0,0,0,0,3984.5759999999996,PCE,23,"Haines, Covenant Life; Klukwan; Chilkat Valley",NA
P027,2,Alaska Power & Telephone Company,Slana,Slana_grid,Copper River/Chugach,0,1424.009,0,0,0,0,0,1424.009,PCE,12,Slana,NA
P028,2,Alaska Power and Telephone Co,Thorne Bay Plant,Prince of Wales Is._grid,Southeast,0,20.000000000000004,0,0,0,0,0,20.000000000000004,EIA923,12,Craig; Klawock,NA
P029,2,Alaska Power & Telephone Company,"Tok, Tanacross",Tok_grid,Yukon-Koyukuk/Upper Tanana,0,10384,0,0,0,0,0,10384,PCE,12,"Tok; Tanacross; Dot Lake, Dot Lake Village",NA
P030,2,Alaska Power & Telephone Company,"Allakaket, Alatna",Allakaket_grid,Yukon-Koyukuk/Upper Tanana,0,662.06399999999985,0,0,0,0,0,662.06399999999985,PCE,12,"Allakaket, Alatna",NA
P031,2,Alaska Power & Telephone Company,"Bettles, Evansville",Bettles_grid,Yukon-Koyukuk/Upper Tanana,0,517.5,0,0,0,0,0,517.5,PCE,12,"Bettles, Evansville",NA
P032,160,Alaska Power & Telephone Company,Chistochina,Slana_grid,Copper River/Chugach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P033,2,Alaska Power & Telephone Company,Coffman Cove,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P034,2,Alaska Power & Telephone Company,"Eagle, Eagle Village",Eagle_grid,Yukon-Koyukuk/Upper Tanana,0,866.178,0,10.474,0,0,0,876.65200000000004,PCE,18,"Eagle, Eagle Village",NA
P035,2,Alaska Power & Telephone Company,Gustavus,Gustavus_grid,Southeast,0,533.56700000000001,2189.357,0,0,0,0,2722.9239999999995,PCE,23,Gustavus,NA
P036,2,Alaska Power & Telephone Company,Healy Lake,Healy Lake_grid,Yukon-Koyukuk/Upper Tanana,0,104.89100000000001,0,0,0,0,0,104.89100000000001,PCE,12,Healy Lake,NA
P037,2,Alaska Power & Telephone Company,Hollis,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P038,160,Alaska Power & Telephone Company,Mentasta Lake,Slana_grid,Copper River/Chugach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P039,2,Alaska Power & Telephone Company,Tetlin,Tok_grid,Yukon-Koyukuk/Upper Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P040,2,Alaska Power & Telephone Company,Whale Pass,Whale_Pass_grid,Southeast,0,485.26500000000004,0,0,0,0,0,485.26500000000004,PCE,12,Whale Pass,NA
P041,2,Alaska Power & Telephone Company,Dewey Lakes ,UpperLynnCanal_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P042,2,Alaska Power & Telephone Company,Lutak,UpperLynnCanal_grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P043,2,Alaska Power & Telephone Company,Naukati Bay,Prince of Wales Is._grid,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data
P045,169,Alaska Village Electric Cooperative,Alakanuk,Alakanuk_grid,Lower Yukon-Kuskokwim,0,0,0,0,0,0,0,0,EIA923,12,Alakanuk,NA
P046,169,Alaska Village Electric Cooperative,Ambler,Ambler_grid,Northwest Arctic,0,1330.93,0,0,0,0,0,1330.93,PCE,12,Ambler,NA
P047,169,Alaska Village Electric Cooperative,Bethel,Bethel_grid,Lower Yukon-Kuskokwim,0,41601.5,0,0,1340.5679999999998,0,0,42942.067999999999,PCE,24,Bethel; Napakiak,NA
P048,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,0,1321.1279999999999,0,0,0,0,0,1321.1279999999999,PCE,12,Brevig Mission,NA
P049,169,Alaska Village Electric Cooperative,Chevak,Chevak_grid,Lower Yukon-Kuskokwim,0,1794.7900000000002,0,0,842.51700000000005,0,0,2637.3069999999998,PCE,24,Chevak,NA
P050,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,0,1371.3229999999999,0,0,0,0,0,1371.3229999999999,PCE,12,Elim,NA
P051,169,Alaska Village Electric Cooperative,Emmonak,Emmonak_grid,Lower Yukon-Kuskokwim,0,5355.7089999999989,0,0,563.27699999999993,0,0,5918.9859999999999,PCE,24,Emmonak,NA
