"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9
"Table 1.d   Installed Capacity (MW) of Utilities & Operators, by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,0,56.067,1.5890000000000002,1.385,0,0,59.040999999999997,1.8797664557091191E-2
Bering Straits,0,33.466999999999999,0,3.1000000000000005,0,0,36.567,1.1642319741521207E-2
Bristol Bay,0,40.284800000000011,1.0270000000000001,0.41400000000000003,0,0.125,41.850800000000014,1.332459307677567E-2
Copper River/Chugach,5.3,30.409999999999997,25.7,0,0,1,62.41,1.987029767463392E-2
Kodiak,0,39.076000000000008,34.199999999999996,9,0,5,87.27600000000001,2.7787215187491592E-2
Lower Yukon-Kuskokwim,0,60.3,0,6.08,1.2E-2,0.88500000000000001,67.277000000000001,2.1419868877685409E-2
North Slope,42.7,32.5,0,0,0,0,75.2,2.3942419245833534E-2
Northwest Arctic,0,23.53,0,3.8600000000000008,1.1415,1.9890000000000003,30.520500000000002,9.7172155131976384E-3
Railbelt,1589.1,233.49999999999997,191.45999999999998,44.5,1.903,89.5,2149.9629999999997,0.68451217432220735
Southeast,112.60000000000001,155.61199999999999,234.208,0,0,1,503.41999999999996,0.16028048798853081
Yukon-Koyukuk/Upper Tanana,0,26.940000000000005,0,0,0.15359999999999999,0.25,27.343600000000006,8.7057438150315684E-3
Total,1749.6999999999998,731.68680000000006,488.18399999999997,68.338999999999999,3.2100999999999997,99.748999999999995,3140.8688999999999,1
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.1a,NA,NA,NA,NA,NA,NA,NA,NA
