"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.h  Electricity Sales by Certificated Utilities (MWh), by AEA Energy Region, 2021",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,6911.4369999999999,42148.557999999997,7628.1570000000011,56688.151999999995,9.6012825268298723E-3
Bering Straits,17510.619000000002,13880.499000000002,19916.640000000003,51307.758000000002,8.6900042248019595E-3
Bristol Bay,13939.611999999999,28872.608,10978.153,53790.373,9.1104851750425965E-3
Copper River/Chugach,21816.410000000003,86189.233000000007,3772.2379999999998,111776.88100000001,1.8931670491725363E-2
Kodiak,39443.314999999995,21934.874,86890.103000000003,148268.29200000002,2.5112227353301438E-2
Lower Yukon-Kuskokwim,34374.027999999991,24849.035999999989,35701.151000000013,94924.215000000011,1.6077331412259518E-2
North Slope,17981.350838291251,106739.00716170874,1359.0740000000001,126079.432,2.1354096133778273E-2
Northwest Arctic,13611.213,12513.169,8550.875,34675.256999999998,5.8729545310885279E-3
Railbelt,1539332,1843371,966795,4349498,0.73667526060615762
Southeast,342017.25471585797,318775.25328414224,184657.67399999997,845450.20799999998,0.14319405418922601
Yukon-Koyukuk/Upper Tanana,12296.856,10144.692999999997,9326.9319999999989,31768.481000000003,5.3806333557888221E-3
Total,2059234.0955541492,2509417.9304458508,1335575.997,5904227.0489999996,1
Percent of Total,0.34877285010625092,0.42502056740363187,0.22620674745667288,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.5a,NA,NA,NA,NA,NA
