"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Table 1.f   Generation by Fuel Type by Operators/Utilities (MWh), by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Utility Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,106356.58199999999,0,0,3961.1370000000002,0,0,0,0,110317.719,1.6473799127561903E-2
Bering Straits,52435.453999999998,0,0,0,3092.9919999999997,0,0,0,55528.445999999996,8.2920900972369462E-3
Bristol Bay,56018.92,0,0,3693.355,18.141999999999999,0,0,0,59730.417000000001,8.9195724891983005E-3
Copper River/Chugach,55212.749000000003,0,0,96491.682000000001,0,0,-85,0,151619.43100000001,2.2641404053407161E-2
Kodiak,1974.72,0,0,132333,25237.999999999996,0,-537,0,159008.72,2.3744850206798916E-2
Lower Yukon-Kuskokwim,92853.093999999997,0,0,0,7908.817,0,0,0,100761.91099999999,1.5046825628467445E-2
North Slope,30938.783999999996,101314.97899999999,0,0,0,0,0,0,132253.76299999998,1.9749519345357187E-2
Northwest Arctic,33947.578000000009,0,0,0,2883.9839999999999,665.96300000000008,0,0,37497.525000000009,5.5995238138556039E-3
Railbelt,482672.33500000002,3022151.9920000001,752894.45299999998,567393,102061,1577,-3433,0,4925316.78,0.73549997234197717
Southeast,19973.041000000001,0,0,907980.83600000001,0,0,0,0,927953.87699999998,0.13857180793722071
Yukon-Koyukuk/Upper Tanana,36550.337999999996,0,0,0,0,17.11,0,0,36567.447999999997,5.4606349589186596E-3
Total,968933.59499999997,3123466.9709999999,752894.45299999998,1711853.01,141202.935,2260.0730000000003,-4055,0,6696556.0370000005,1
Percent of Total,0.14469132934099568,0.4664288559286493,0.11243009822363709,0.25563185024385987,2.1085903592805249E-2,3.374978104435446E-4,-6.0553514039085154E-4,0,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Note: generation is net generation (net of station service) for entities reporting to EIA; and gross generation for entitites reporting to PCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 data:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,107596.109,0,0,3930.3300000000008,0,0,119.38499999999999,NA,NA,NA
Bering Straits,50146.270999999986,0,0,0,3876.9070000000002,0,0,NA,NA,NA
Bristol Bay,52781.131999999998,0,0,4100.6040000000003,0,0,0,NA,NA,NA
Copper River/Chugach,50844.920999999995,0,0,88096.937000000005,0,0,-71,NA,NA,NA
Kodiak,1823.2280000000001,0,0,126532.60000000002,24682,0,-516,NA,NA,NA
Lower Yukon-Kuskokwim,91644.353999999992,0,0,0,7304.9059999999999,0,0,NA,NA,NA
North Slope,29205.417999999998,110443.41499999999,0,0,0,0,0,NA,NA,NA
Northwest Arctic,32571.558000000005,0,0,0,4054.683,181.92,0,NA,NA,NA
Railbelt,576868.39900000009,2569261.6379999998,721788.94299999997,697670,97138,1177,-2810,NA,NA,NA
Southeast,19620.172000000002,0,0,748994.33199999994,0,0,0,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,36968.743000000002,0,0,0,0,33.677999999999997,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,1392.598,NA,NA,NA,NA
