"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Table 2.3b   Generation (MWh) and Fuel Use by operator, plant, and fuel type, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage (MWH),Other,Oil (gallons),Gas (Mcf),Coal (short tons),Data Source,Number of monthly records,Communities connected to plant,Notes
P001,NA,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data
P002,449,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,286.83100000000002,0,0,0,0,0,0,0,24270,0,0,PCE,12,Akhiok,NA
P003,412,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,2003.7009999999998,0,0,0,0,0,0,0,143144,0,0,PCE,12,Akiachak,NA
P004,635,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,224.69400000000002,0,0,0,0,0,0,0,17068,0,0,PCE,2,Akiak,NA
P005,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,515.40499999999997,0,0,168.137,0,0,0,0,43356,0,0,PCE,24,Akutan,NA
P006,1,Alaska Electric Light & Power Co.,Annex Creek,Juneau_grid,Southeast,0,0,0,25983.000000000004,0,0,0,0,0,0,0,EIA923,12,"Juneau, Douglas",NA
P007,1,Alaska Electric Light & Power Co.,Auke Bay,Juneau_grid,Southeast,-354,0,0,0,0,0,0,0,15876,0,0,EIA923,24,"Juneau, Douglas",NA
P008,1,Alaska Electric Light & Power Co.,Gold Creek,Juneau_grid,Southeast,5,0,0,5419,0,0,0,0,378,0,0,EIA923,13,"Juneau, Douglas",NA
P009,1,Alaska Electric Light & Power Co.,Industrial Plant,Juneau_grid,Southeast,-125,0,0,0,0,0,0,0,17472,0,0,EIA923,12,"Juneau, Douglas",NA
P010,1,Alaska Electric Light & Power Co.,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,0,0,0,87445.999999999985,0,0,0,0,0,0,0,EIA923,12,"Juneau, Douglas",NA
P011,1,Alaska Electric Light & Power Co.,Lemon Creek,Juneau_grid,Southeast,-844,0,0,0,0,0,0,0,29274,0,0,EIA923,24,"Juneau, Douglas",NA
P012,1,Alaska Electric Light & Power Co.,Salmon Creek 1,Juneau_grid,Southeast,0,0,0,24589.999999999996,0,0,0,0,0,0,0,EIA923,12,"Juneau, Douglas",NA
P013,1,Alaska Electric Light & Power Co.,Snettisham,Juneau_grid,Southeast,0,0,0,289785,0,0,0,0,0,0,0,EIA923,12,"Juneau, Douglas",NA
P014,742,Alaska Environmental Power,Delta Wind Farm,Railbelt_grid,Railbelt,0,0,0,0,3654,0,0,0,0,0,0,EIA923,12,0,NA
P015,2,Alaska Power and Telephone Co,Black Bear Lake,Prince of Wales Is._grid,Southeast,0,0,0,22727,0,0,0,0,0,0,0,EIA923,12,Craig; Klawock,NA
