Alaska Energy Statistics,...2,...3,2021,"Early Release, Subject to Revision",...6,...7,...8,...9,...10,...11,...12
Available in the internet at:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prepared by:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Neil McMahon, DOWL; Alaska Center for Energy and Power staff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funding Provided by:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Denali Commission; University of Alaska Fairbanks, Alaska Center for Energy & Power,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Published:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,11/1/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Main Sources of Data:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska Energy Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Power Cost Equalization Program Data , Calendar Year 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.akenergyauthority.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA - Various Infrastructure datasets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Information Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EIA final data files from survey forms 860, 861 and 923.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.eia.gov/electricity/data/eia860/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.eia.gov/electricity/data/eia923/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.eia.gov/electricity/data/eia861/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contents:,NA,NA,NA,"Early Release, Subject to Revision",NA,NA,NA,NA,NA,NA,NA
NA,Summary Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,Figures
NA,"Table 1.a   Communities Participating in Power Cost Equalization Program, by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,Figure A.  PCE Eligible Communities
NA,"Table 1.b   Distribution of Rates in PCE Communities ($/kWh), 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,Figure B.  Residential Electricity Rates in Power Cost Equalization Communities
NA,"Table 1.c   Average Consumption per Residential Customer per Month in PCE Communities, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure C.  Installed Capacity by Prime Mover by Certified Utilities (MW), 2021"
NA,"Table 1.d   Installed Capacity (MW) of Utilities & Operators, by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure D.  Installed Capacity by Prime Mover by Certified Utilities (kW), 1962-2021"
NA,Table 1.bonus   Net Metered Solar Capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure E.  Generation by Fuel Type by Utilities & Operators (MWh), 2021"
NA,"Table 1.e   Carbon Dioxide Emissions by Operators/Utilities (Metric Tons), by fuel type and AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure F.  Generation by Fuel Type by Utilities & Operators (GWh), 1971-2021"
NA,"Table 1.f   Generation by Fuel Type by Operators/Utilities (MWh), by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure G.  Distribution of Fuel Used for Power Generation in Alaska (MMBtu), 2021"
NA,"Table 1.g   Fuel Use for Power Generation by Operators/Utilities, by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure H.  Fuel Oil Used for Electricity Generation, by Energy Regions (%), 2021"
NA,"Table 1.h  Electricity Sales by Certificated Utilities (MWh), by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure I.  Distribution of Sales, Revenue and Customers by Customer Type for Certified Utilities (%), 2021"
NA,"Table 1.i   Revenue Received by Certificated Utilities ($000), by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure J.  Wind Net Generation in Alaska, 2008-2021"
NA,"Table 1.j   Customers Served by Certificated Utilities (Accounts), by AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Detailed Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Installed Capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.1a   Installed Capacity (MW) by plant and prime mover, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Generation and Disposition of Electric Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.2a   Generation and Total Disposition of Electric Energy (MWh), 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.3a   Generation (MWh) by plant and prime mover, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.3b   Generation (MWh) and Fuel Use by operator, plant, and fuel type, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.3c   Generation, Fuel Use, Fuel Cost, and Efficiency, by operator, plant, fuel, and prime mover, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.4a   Generation, Fuel Use, CO2 Emissions, and Efficiency, by plant, fuel, and prime mover, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Revenue, Customers and Prices",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.5a   Revenue, Sales and Customers by customer type for certificated utilities ($000, MWh, Accounts), 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.5b   Average Annual Energy Use and Rates by Customer Type for certificated utilities (kWh/Customer, $/Customer, $/kWh), 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Table 2.5c   Average Residential Rates and PCE Payments ($/kWh), 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Historical Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Installed Capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Installed Capacity by Prime Mover by Operators/Utilities in Alaska (kW, %), 1963-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Net Generation,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Generation by Fuel Type by Operators/Utilities in Alaska (GWh), 1963-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Revenue, Customers and Prices",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Sales, Revenue, and Customers by Customer Type by Certificated Utilities in Alaska (MWh, $000, Accounts), 1963-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Average Annual Energy Use and Rates by Customer Type by Certified Utilities in Alaska (kWh/Customer, $/Customer, $/kWh), 1962-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
