"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Table 2.4a   Generation, Fuel Use, CO2 Emissions, and Efficiency, by plant, fuel, and prime mover, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuel Types: AB=Agricultural By-Products, DFO=Distillate Fuel Oil, JF=Jet Fuel, NG=Natural Gas, OTH=Other, RFO=Residual Fuel Oil, SUB=Sub-bituminous Coal, WAT=Water at a Conventional Hydroelectric Turbine, WC=Waste Coal, WDS=Wood Solids, WND=Wind, WO=Waste/Other Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, GT=Gas Turbine, HY=Hydroelectric Turbine, IC=Internal Combustion Engine, ST=Steam Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fuel Type,Prime Mover,"Generation (PCE=gross, EIA=net)  MWh",Generation MMBtu,Fuel Use,Fuel Unit,"Estimated Heat Content, MMBtu per unit",Total Fuel MMBtu,Emission Factor kgCO2 per MMBtu,CO2 Metric Tons from Fuel,Efficiency (Max = 1.00),Data Source,Number of monthly records,Communities connected to plant,Notes
P006,1,Alaska Electric Light & Power Co.,Annex Creek,Juneau_grid,Southeast,WAT,HY,25983.000000000004,88653.996000000014,0,NA,-,229794,NA,NA,0.38583799451625544,EIA923,12,"Juneau, Douglas",NA
P007,1,Alaska Electric Light & Power Co.,Auke Bay,Juneau_grid,Southeast,DFO,GT,-326,-1112.3119999999999,14742,gallons,0.13498846832180167,1990,73.959999999999994,147.18039999999999,-0.55895075376884418,EIA923,12,"Juneau, Douglas",NA
P007,1,Alaska Electric Light & Power Co.,Auke Bay,Juneau_grid,Southeast,DFO,IC,-28,-95.536000000000001,1134,gallons,0.13315696649029982,151,73.959999999999994,11.167959999999999,-0.6326887417218543,EIA923,12,"Juneau, Douglas",NA
P008,1,Alaska Electric Light & Power Co.,Gold Creek,Juneau_grid,Southeast,WAT,HY,5419,18489.628000000001,0,NA,-,47926,NA,NA,0.38584365609348914,EIA923,12,"Juneau, Douglas",NA
P008,1,Alaska Electric Light & Power Co.,Gold Creek,Juneau_grid,Southeast,DFO,IC,5,17.059999999999999,378,gallons,0.13492063492063491,51,73.959999999999994,3.7719599999999995,0.33450980392156859,EIA923,1,"Juneau, Douglas",NA
P009,1,Alaska Electric Light & Power Co.,Industrial Plant,Juneau_grid,Southeast,DFO,GT,-125,-426.5,17472,gallons,0.1349587912087912,2358,73.959999999999994,174.39767999999998,-0.18087362171331636,EIA923,12,"Juneau, Douglas",NA
P010,1,Alaska Electric Light & Power Co.,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,WAT,HY,87445.999999999985,298365.75199999992,0,NA,-,773372,NA,NA,0.38584189787723794,EIA923,12,"Juneau, Douglas",NA
P011,1,Alaska Electric Light & Power Co.,Lemon Creek,Juneau_grid,Southeast,DFO,GT,-295,-1006.54,15204,gallons,0.13503025519600106,2053,73.959999999999994,151.83987999999997,-0.49027764247442762,EIA923,12,"Juneau, Douglas",NA
