"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
Table 1.bonus   Net Metered Solar Capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,capacity factor:,0.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Year,Installed Capacity (kW),Additions,NA,NA,Installed Capacity (MW),Cumula-tive CAGR,Y/Y growth,Estimated energy (MWh)
NA,NA,2010,182,NA,NA,2010,0.182,NA,NA,159.5412
NA,NA,2011,381,199,NA,2011,0.38100000000000001,1.0934065934065935,1.0934065934065935,333.9846
NA,NA,2012,490,108,NA,2012,0.49,0.64082530828473394,0.28608923884514437,429.53399999999999
NA,NA,2013,625,135,NA,2013,0.625,0.50869995175576332,0.27551020408163263,547.875
NA,NA,2014,804,179,NA,2014,0.80400000000000005,0.44976017402039981,0.28639999999999999,704.78640000000007
NA,NA,2015,1251,448,NA,2015,1.2509999999999999,0.4704057228943046,0.55597014925373101,1096.6265999999998
NA,NA,2016,1659,408,NA,2016,1.659,0.445314965744108,0.32613908872901698,1454.2794000000001
NA,NA,2017,2214,555,NA,2017,2.214,0.42894388908078152,0.33453887884267619,1940.7924
NA,NA,2018,3233,1019,NA,2018,3.2330000000000001,0.43282051005798494,0.46025293586269211,2834.0478000000003
NA,NA,2019,5636,2403,NA,2019,5.6360000000000001,0.46438580605715107,0.74327250231982678,4940.5176000000001
NA,NA,2020,8544,2908,NA,2020,8.5440000000000005,0.46946411603502769,0.5159687721788504,7489.6704
NA,NA,2021,11313,2769,NA,2021,11.313000000000001,0.45561337100916943,0.3240870786516854,9916.975800000002
NA,NA,2022,13314,2001,NA,2022,13.314,0.4300561731503949,0.17687616016971619,11982
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Source: C. Pike, ACEP, annual net-metered capacity report",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,https://www.uaf.edu/acep/files/research/solar-tech/2023NetMeteringUpdate_Final.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"capacity factor: personal communication, C. Pike, on or about 8/2/2023",NA,NA,NA,NA,NA,NA,NA,NA,NA
