"Table 1.e   Net Generation by Certified Utilities (MWh), 2012 by AEA Energy Regions",...2,...3
AEA Energy Region,Region Total,Percent of Statewide Total
Aleutians,67073,1.00420633892806
Bering Straits,55971,0.83798895227800296
Bristol Bay,55918,0.837195444667442
Copper River/Chugach,120639,1.80618801189663
Kodiak,155892,2.3339903476536499
Lower Yukon-Kuskokwim,100527,1.5050743314511199
North Slope,82279,1.2318681639506499
Northwest Arctic,37664,0.56389944611671605
Railbelt,5042565,75.496484985862807
Southeast,924533,13.842560604143801
Yukon-Koyukuk/Upper Tanana,36104,0.54054337305113398
Total,6679165,100
