"Table 1.i   Revenue by Certified Utilities ($000), 2012 by AEA Energy Regions",...2,...3,...4,...5,...6
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,5068,22626,5830,33525,3.1596239175755199
Bering Straits,8287,9164,6215,23665,2.2303504849940201
Bristol Bay,8317,14072,6486,28874,2.72128205804849
Copper River/Chugach,8094,22477,2310,32882,3.0990232261810098
Kodiak,7071,4402,15105,26576,2.5047029152419702
Lower Yukon-Kuskokwim,20134,23749,10875,54753,5.1602949547803902
North Slope,2235,7305,233,9774,0.92116820791597698
Northwest Arctic,7331,6603,5254,19186,1.80821907479803
Railbelt,276119,249968,183696,709783,66.894775334481906
Southeast,41945,39456,20830,102242,9.6359811657197998
Yukon-Koyukuk/Upper Tanana,7711,6151,5920,19784,1.86457866026291
Total,392312,405973,262754,1061044,NA
Percent of Total,36.9741499881249,38.261655501562601,24.763723276320299,100,NA
