"Certified Utilities Net Generation and Total Disposition (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Utility Name,Community Name,Net Generation,Purchased Power,Net Wheeled Power,Total Disposition,Sales to Consumers,Sales for Resale,Furnished without Payment,Used by Facility,Unaccountable / Energy Loss,Source,Notes
Akiachak Native Community,Akiachak,1964,0,NA,1964,1727,NA,59,35,143,pce,NA
Akiak City Council,Akiak,1209,0,NA,1209,994,NA,11,26,178,pce,NA
"Akutan, City of",Akutan,732,0,NA,732,478,NA,6,46,202,pce,NA
Alaska Electric Light & Power Company,Juneau,141905,282736,0,424641,399144,NA,NA,4617,20880,eia,NA
Alaska Environmental Power LLC,NA,989,0,0,989,0,989,0,0,0,AEA,Independent Power Producer sells power to Golden Valley Electric Association.
Alaska Power & Telephone Company,"Allakaket, Alatna",729,0,NA,729,634,NA,0,39,56,pce,NA
Alaska Power & Telephone Company,"Bettles, Evansville",584,0,NA,584,532,NA,0,1,51,pce,NA
Alaska Power & Telephone Company,Chistochina,0,346,NA,346,344,NA,0,2,0,pce,NA
Alaska Power & Telephone Company,Coffman Cove,15,809,NA,824,800,NA,0,4,20,pce,NA
Alaska Power & Telephone Company,Craig,3152,25915,NA,29067,11401,14733,0,200,2733,pce,NA
Alaska Power & Telephone Company,"Dot Lake, Dot Lake Village",0,349,NA,349,348,NA,0,1,0,pce,NA
Alaska Power & Telephone Company,"Eagle, Eagle Village",782,0,NA,782,683,NA,0,12,87,pce,NA
Alaska Power & Telephone Company,"Haines, Covenant Life",192,14331,NA,14523,12389,NA,0,323,1811,pce,NA
Alaska Power & Telephone Company,Healy Lake,80,0,NA,80,63,NA,0,2,15,pce,NA
Alaska Power & Telephone Company,Hollis,0,911,NA,911,902,NA,0,10,-1,pce,NA
Alaska Power & Telephone Company,Hydaburg,0,1319,NA,1319,1297,NA,0,22,0,pce,NA
Alaska Power & Telephone Company,Klawock,0,8527,NA,8527,8494,NA,0,33,0,pce,NA
Alaska Power & Telephone Company,Mentasta Lake,0,369,NA,369,369,NA,0,1,-1,pce,NA
Alaska Power & Telephone Company,Naukati Bay,425,0,NA,425,389,NA,0,9,27,pce,NA
Alaska Power & Telephone Company,"Northway, Northway Village, Northway Junction",1290,0,NA,1290,1189,NA,0,19,82,pce,NA
Alaska Power & Telephone Company,Skagway,3407,9592,NA,12999,12002,NA,0,126,871,pce,NA
Alaska Power & Telephone Company,Slana,1372,0,NA,1372,513,716,0,19,124,pce,NA
Alaska Power & Telephone Company,Tetlin,0,340,NA,340,340,NA,0,0,0,pce,NA
Alaska Power & Telephone Company,"Thorne Bay, Kasaan",0,3425,NA,3425,3359,NA,0,66,0,pce,NA
Alaska Power & Telephone Company,"Tok, Tanacross",10290,0,NA,10290,8378,689,0,139,1084,pce,NA
Alaska Power & Telephone Company,Whale Pass,300,0,NA,300,264,NA,0,12,24,pce,NA
Alaska Village Electric Cooperative,Alakanuk,2069,0,NA,2069,1948,NA,0,37,84,pce,NA
Alaska Village Electric Cooperative,Ambler,1350,0,NA,1350,1271,NA,0,38,41,pce,NA
Alaska Village Electric Cooperative,Anvik,432,0,NA,432,405,NA,0,14,13,pce,NA
Alaska Village Electric Cooperative,Brevig Mission,1237,0,NA,1237,1158,NA,0,52,27,pce,NA
Alaska Village Electric Cooperative,Chevak,2679,0,NA,2679,2497,NA,0,89,93,pce,NA
Alaska Village Electric Cooperative,Eek,831,0,NA,831,794,NA,0,13,24,pce,NA
Alaska Village Electric Cooperative,Ekwok,554,0,NA,554,464,NA,0,50,40,pce,NA
Alaska Village Electric Cooperative,Elim,1198,0,NA,1198,1140,NA,0,16,42,pce,NA
Alaska Village Electric Cooperative,Emmonak,3437,0,NA,3437,3267,NA,0,66,104,pce,NA
Alaska Village Electric Cooperative,Gambell,2005,0,NA,2005,1837,NA,0,85,83,pce,NA
Alaska Village Electric Cooperative,Goodnews Bay,846,0,NA,846,802,NA,0,15,29,pce,NA
Alaska Village Electric Cooperative,Grayling,588,0,NA,588,547,NA,0,24,17,pce,NA
Alaska Village Electric Cooperative,Holy Cross,652,0,NA,652,616,NA,0,34,2,pce,NA
Alaska Village Electric Cooperative,Hooper Bay,3441,0,NA,3441,3259,NA,0,62,120,pce,NA
Alaska Village Electric Cooperative,Huslia,1055,0,NA,1055,1011,NA,0,22,22,pce,NA
Alaska Village Electric Cooperative,Kalskag,1447,0,NA,1447,860,501,0,36,50,pce,NA
Alaska Village Electric Cooperative,Kaltag,774,0,NA,774,718,NA,0,20,36,pce,NA
Alaska Village Electric Cooperative,Kasigluk,3107,0,NA,3107,1704,1217,0,97,89,pce,NA
Alaska Village Electric Cooperative,Kiana,1537,0,NA,1537,1443,NA,0,37,57,pce,NA
Alaska Village Electric Cooperative,Kivalina,1244,0,NA,1244,1177,NA,0,35,32,pce,NA
Alaska Village Electric Cooperative,Kotlik,2088,0,NA,2088,1942,NA,0,54,92,pce,NA
Alaska Village Electric Cooperative,Koyuk,1340,0,NA,1340,1288,NA,0,16,36,pce,NA
Alaska Village Electric Cooperative,Lower Kalskag,0,500,NA,500,501,NA,0,0,-1,pce,NA
Alaska Village Electric Cooperative,Marshall,1663,0,NA,1663,1576,NA,0,35,52,pce,NA
Alaska Village Electric Cooperative,Mekoryuk,1028,0,NA,1028,906,NA,0,67,55,pce,NA
Alaska Village Electric Cooperative,Minto,667,0,NA,667,632,NA,0,15,20,pce,NA
Alaska Village Electric Cooperative,Mountain Village,2899,0,NA,2899,2733,NA,0,45,121,pce,NA
Alaska Village Electric Cooperative,New Stuyahok,1481,0,NA,1481,1394,NA,0,38,49,pce,NA
Alaska Village Electric Cooperative,Nightmute,0,615,NA,615,615,NA,0,0,0,pce,NA
Alaska Village Electric Cooperative,Noatak,1907,0,NA,1907,1781,NA,0,42,84,pce,NA
Alaska Village Electric Cooperative,Noorvik,2038,0,NA,2038,1954,NA,0,34,50,pce,NA
Alaska Village Electric Cooperative,Nulato,1086,0,NA,1086,1012,NA,0,21,53,pce,NA
Alaska Village Electric Cooperative,Nunapitchuk,0,1217,NA,1217,1217,NA,0,0,0,pce,NA
Alaska Village Electric Cooperative,Old Harbor,883,0,NA,883,840,NA,0,29,14,pce,NA
Alaska Village Electric Cooperative,Pilot Station,1833,0,NA,1833,1735,NA,0,19,79,pce,NA
Alaska Village Electric Cooperative,Pitkas Point,0,332,NA,332,332,NA,0,0,0,pce,NA
Alaska Village Electric Cooperative,Quinhagak,1971,0,NA,1971,1821,NA,0,52,98,pce,NA
Alaska Village Electric Cooperative,Russian Mission,1056,0,NA,1056,987,NA,0,21,48,pce,NA
Alaska Village Electric Cooperative,"Saint Mary's, Andreafsky",3319,0,NA,3319,2846,332,0,48,93,pce,NA
Alaska Village Electric Cooperative,Saint Michael,1844,0,NA,1844,1746,NA,0,45,53,pce,NA
Alaska Village Electric Cooperative,Savoonga,2178,0,NA,2178,2089,NA,0,30,59,pce,NA
Alaska Village Electric Cooperative,Scammon Bay,1682,0,NA,1682,1569,NA,0,33,80,pce,NA
Alaska Village Electric Cooperative,Selawik,3285,0,NA,3285,3113,NA,0,52,120,pce,NA
Alaska Village Electric Cooperative,Shageluk,369,0,NA,369,339,NA,0,10,20,pce,NA
Alaska Village Electric Cooperative,Shaktoolik,1028,0,NA,1028,934,NA,0,66,28,pce,NA
Alaska Village Electric Cooperative,Shishmaref,1642,0,NA,1642,1593,NA,0,42,7,pce,NA
Alaska Village Electric Cooperative,Shungnak,1616,0,NA,1616,1244,331,0,42,-1,pce,NA
Alaska Village Electric Cooperative,Stebbins,1445,0,NA,1445,1362,NA,0,31,52,pce,NA
Alaska Village Electric Cooperative,Teller,857,0,NA,857,775,NA,0,37,45,pce,NA
Alaska Village Electric Cooperative,Togiak,3071,0,NA,3071,2922,NA,0,38,111,pce,NA
Alaska Village Electric Cooperative,Toksook Bay,3365,0,NA,3365,1605,1515,0,178,67,pce,NA
Alaska Village Electric Cooperative,Tununak,0,899,NA,899,899,NA,0,0,0,pce,NA
Alaska Village Electric Cooperative,Wales,618,0,NA,618,559,NA,0,33,26,pce,NA
Alutiiq Power Company,Karluk,269,0,NA,269,234,NA,9,3,23,pce,NA
Anchorage Municipal Light & Power,Anchorage,1157851,116925,0,1274776,1100665,157854,NA,NA,16257,eia,NA
Aniak Light & Power,Aniak,2759,0,NA,2759,2288,NA,79,42,350,pce,NA
"Atka, City of",Atka,444,0,NA,444,372,NA,4,33,35,pce,NA
Atmautluak Tribal Utilities,Atmautluak,760,0,NA,760,528,NA,116,19,97,pce,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,51103,NA,0,51103,49580,NA,NA,NA,1523,eia,NA
Beaver Joint Utilities,Beaver,334,0,NA,334,275,NA,0,5,54,pce,NA
Bethel Utilities Corporation,"Bethel, Oscarville",44842,0,NA,44842,41692,NA,0,664,2486,pce,NA
"Buckland, City of",Buckland,1603,0,NA,1603,1485,NA,9,41,68,pce,NA
Chalkyitsik Village Council,Chalkyitsik,303,0,NA,303,206,NA,44,12,41,pce,NA
Chenega Ira Council,Chenega Bay,310,0,NA,310,275,NA,0,11,24,pce,NA
"Chignik, City of",Chignik,989,0,NA,989,889,NA,0,24,76,pce,NA
Chignik Lagoon Power Utility,Chignik Lagoon,463,0,NA,463,441,NA,6,16,0,pce,NA
