"Certified Utilities Net Generation by Fuel Type (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Utility Name,Plant Name,Community Name,Oil,Gas,Coal,Hydro,Wind,Oil (gallons),Gas (mcf),Coal (short tons),Source,Notes
Akiachak Native Community,Akiachak,Akiachak,1928,0,0,NA,0,136679,0,0,pce,NA
Akiak City Council,Akiak,Akiak,1182,0,0,NA,0,90189,0,0,pce,NA
"Akutan, City of",Akutan,Akutan,320,0,0,365,0,38330,0,0,pce,NA
Alaska Electric Light & Power Company,Annex Creek,Juneau,0,0,0,21935,0,0,0,0,eia,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,592,0,0,0,0,88704,0,0,eia,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,0,0,0,3987,0,0,0,0,eia,NA
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,0,0,0,84467,0,0,0,0,eia,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,230,0,0,0,0,19782,0,0,eia,NA
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,0,0,0,28396,0,0,0,0,eia,NA
Alaska Electric Light & Power Company,Snettisham,Juneau,0,0,0,290422,0,0,0,0,eia,NA
Alaska Environmental Power LLC,Delta Wind Farm,Fairbanks,0,0,0,0,989,0,0,0,AEA,Independent Power Producer sells power to Golden Valley Electric Association.
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",690,0,0,NA,0,59054,0,0,pce,NA
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",582,0,0,NA,0,43642,0,0,pce,NA
Alaska Power & Telephone Company,Black Bear Lake,Craig,0,0,0,19497,0,0,0,0,eia,"Communities in the POW service area include: Coffman Cove, Craig, Hollis, Hydaburg, Kasaan, Klawock, Naukati Bay, Thorne Bay, Whales Pass."
