"Table 1.g   Fuel Use for Power Generation by Certified Utilities, 2012 by AEA Energy Regions",...2,...3,...4
AEA Energy Region,Oil,Gas,Coal
NA,(Gallons),(Mcf),(Short Tons)
Aleutians,4398182,0,0
Bering Straits,3686912,0,0
Bristol Bay,3716995,0,0
Copper River/Chugach,5462214,0,0
Kodiak,616864,0,0
Lower Yukon-Kuskokwim,7325240,0,0
North Slope,2221340,767833,0
Northwest Arctic,2555571,0,0
Railbelt,39663918,38069783,425095
Southeast,2053950,0,0
Yukon-Koyukuk/Upper Tanana,2777730,0,0
Total (Physical Units),74478916,38837616,425095
Conversion Factor,0.13900000000000001,1.0249999999999999,19.536000000000001
Total MMBtu,10352569.323999999,39808556.399999999,8304655.9199999999
