"Certified Utilities Revenue, Sales and Customers by Customer Type, 2012",...2,...3,...4,...5,...6,...7,...8,...9
Utility Name,Community Name,Residential Rate ($/kWh),PCE Residential Reimbursement Rate ($/kWh),Residential Rate after PCE ($/kWh),Percent of Residential Rate Covered by PCE Reimbursement,Source,PCE Community,Notes
Lime Village Electric Utility,Lime Village,1.7,0.81,0.88,0.48,pce,YES,NA
Middle Kuskokwim Electric,Crooked Creek,1.1599999999999999,0.8,0.37,0.68,pce,YES,NA
Middle Kuskokwim Electric,Sleetmute,1.1599999999999999,0.8,0.36,0.69,pce,YES,NA
Middle Kuskokwim Electric,Chuathbaluk,1.1399999999999999,0.8,0.34,0.7,pce,YES,NA
Middle Kuskokwim Electric,Stony River,1.1599999999999999,0.79,0.36,0.69,pce,YES,NA
Middle Kuskokwim Electric,Red Devil,1.1499999999999999,0.79,0.36,0.69,pce,YES,NA
TDX Adak Generating LLC,Adak,1.08,0.73,0.35,0.68,pce,YES,NA
Alaska Power & Telephone Company,"Allakaket, Alatna",0.96,0.72,0.25,0.74,pce,YES,NA
TDX Manley Generating LLC,Manley Hot Springs,0.9,0.66,0.25,0.73,pce,YES,NA
Alaska Village Electric Cooperative,Shungnak,0.89,0.66,0.23,0.74,pce,YES,NA
"Nikolai, City of",Nikolai,0.87,0.65,0.22,0.75,pce,YES,NA
Takotna Community Assoc Inc,Takotna,1.02,0.6,0.42,0.59,pce,YES,NA
Egegik Light & Power Co,Egegik,0.86,0.6,0.26,0.7,pce,YES,NA
Alaska Power & Telephone Company,Healy Lake,0.93,0.59,0.34,0.64,pce,YES,NA
Napakiak Ircinraq,Napakiak,0.83,0.59,0.24,0.71,pce,YES,NA
Alaska Village Electric Cooperative,Noatak,0.81,0.59,0.22,0.72,pce,YES,NA
Chalkyitsik Village Council,Chalkyitsik,0.95,0.57999999999999996,0.37,0.61,pce,YES,NA
Beaver Joint Utilities,Beaver,0.86,0.57999999999999996,0.27,0.68,pce,YES,NA
Ungusraq Power Company,Newtok,0.8,0.57999999999999996,0.22,0.72,pce,YES,NA
Kokhanok Village Council,Kokhanok,0.9,0.56999999999999995,0.33,0.63,pce,YES,NA
Kobuk Valley Electric Company,Kobuk,0.86,0.56999999999999995,0.28999999999999998,0.66,pce,YES,AVEC began providing service to Kobuk in July 2012.
"Saint George, City of",Saint George,0.86,0.56999999999999995,0.28999999999999998,0.66,pce,YES,NA
"Atka, City of",Atka,0.76,0.56999999999999995,0.19,0.75,pce,YES,NA
Hughes Power & Light,Hughes,0.71,0.56999999999999995,0.14000000000000001,0.8,pce,YES,NA
Chignik Lake Electric Utility,Chignik Lake,0.86,0.54,0.32,0.63,pce,YES,NA
Alaska Power & Telephone Company,"Bettles, Evansville",0.75,0.54,0.21,0.72,pce,YES,NA
Venetie Village Electric,Venetie,0.9,0.53,0.37,0.59,pce,YES,NA
Circle Electric Utility,Circle,0.79,0.53,0.26,0.67,pce,YES,NA
Pelican Utility,Pelican,0.69,0.53,0.16,0.77,pce,YES,NA
Igiugig Electric Company,Igiugig,0.81,0.52,0.28999999999999998,0.64,pce,YES,NA
Tanalian Electric Cooperative,Port Alsworth,0.69,0.52,0.17,0.75,pce,YES,NA
Gold Country Energy,Central,0.77,0.51,0.26,0.66,pce,YES,NA
G & K Inc,Cold Bay,0.72,0.51,0.21,0.71,pce,YES,NA
Pedro Bay Village Council,Pedro Bay,0.91,0.5,0.41,0.56000000000000005,pce,YES,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,0.84,0.5,0.34,0.59,pce,YES,NA
Tatitlek Village Ira Council,Tatitlek,0.77,0.5,0.27,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Ekwok,0.74,0.5,0.24,0.68,pce,YES,NA
Levelock Electrical Coop,Levelock,0.7,0.5,0.2,0.71,pce,YES,NA
Aniak Light & Power,Aniak,0.76,0.49,0.28000000000000003,0.64,pce,YES,NA
Alaska Power & Telephone Company,Chistochina,0.7,0.49,0.21,0.71,pce,YES,NA
Alaska Power & Telephone Company,Mentasta Lake,0.7,0.49,0.2,0.71,pce,YES,NA
Alaska Power & Telephone Company,Slana,0.7,0.49,0.21,0.71,pce,YES,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,0.65,0.49,0.15,0.76,pce,YES,NA
Alaska Village Electric Cooperative,Wales,0.7,0.48,0.22,0.69,pce,YES,NA
Alaska Village Electric Cooperative,Eek,0.69,0.47,0.22,0.68,pce,YES,NA
Alaska Power & Telephone Company,"Northway, Northway Village, Northway Junction",0.68,0.47,0.2,0.7,pce,YES,NA
"Tenakee Springs, City of",Tenakee Springs,0.75,0.46,0.28999999999999998,0.61,pce,YES,NA
Alaska Village Electric Cooperative,Kiana,0.67,0.46,0.22,0.68,pce,YES,NA
Alaska Power & Telephone Company,"Eagle, Eagle Village",0.66,0.46,0.2,0.69,pce,YES,NA
Tuntutuliak Community,Tuntutuliak,0.65,0.46,0.19,0.71,pce,YES,NA
Diomede Joint Utilities,Diomede,0.6,0.46,0.14000000000000001,0.77,pce,YES,NA
Umnak Power Company,Nikolski,0.6,0.46,0.14000000000000001,0.76,pce,YES,NA
Tanana Power Company Inc,Tanana,0.76,0.45,0.31,0.59,pce,YES,NA
Alaska Village Electric Cooperative,Ambler,0.67,0.45,0.22,0.68,pce,YES,NA
Alaska Village Electric Cooperative,Kivalina,0.67,0.45,0.22,0.68,pce,YES,NA
Alaska Village Electric Cooperative,Teller,0.67,0.45,0.22,0.68,pce,YES,NA
Alaska Village Electric Cooperative,Scammon Bay,0.66,0.45,0.22,0.67,pce,YES,NA
TDX Corporation,Sand Point,0.67,0.44,0.23,0.65,pce,YES,NA
Alaska Village Electric Cooperative,Shageluk,0.66,0.44,0.22,0.67,pce,YES,NA
Alaska Village Electric Cooperative,Anvik,0.65,0.43,0.22,0.67,pce,YES,NA
Alaska Village Electric Cooperative,Kotlik,0.65,0.43,0.22,0.67,pce,YES,NA
Alaska Village Electric Cooperative,Noorvik,0.65,0.43,0.22,0.67,pce,YES,NA
Alaska Village Electric Cooperative,Selawik,0.65,0.43,0.22,0.66,pce,YES,NA
Kwigillingok Power Company,Kwigillingok,0.61,0.43,0.18,0.7,pce,YES,NA
Tuluksak Traditional,Tuluksak,0.6,0.43,0.17,0.72,pce,YES,NA
"Ruby, City of",Ruby,0.84,0.42,0.42,0.5,pce,YES,NA
Chignik Lagoon Power Utility,Chignik Lagoon,0.75,0.42,0.33,0.56000000000000005,pce,YES,NA
Alaska Village Electric Cooperative,Grayling,0.64,0.42,0.22,0.66,pce,YES,NA
Alaska Village Electric Cooperative,Kalskag,0.64,0.42,0.22,0.66,pce,YES,NA
Alaska Village Electric Cooperative,Lower Kalskag,0.64,0.42,0.22,0.66,pce,YES,NA
Alaska Village Electric Cooperative,Saint Michael,0.64,0.42,0.22,0.66,pce,YES,NA
Alaska Village Electric Cooperative,Goodnews Bay,0.63,0.42,0.22,0.66,pce,YES,NA
Alaska Village Electric Cooperative,Minto,0.63,0.42,0.22,0.66,pce,YES,NA
Alaska Village Electric Cooperative,New Stuyahok,0.63,0.42,0.22,0.66,pce,YES,NA
Inside Passage Electric,Angoon,0.63,0.42,0.22,0.66,pce,YES,NA
Inside Passage Electric,Chilkat Valley,0.63,0.42,0.22,0.66,pce,YES,NA
Inside Passage Electric,Hoonah,0.63,0.42,0.22,0.66,pce,YES,NA
Inside Passage Electric,Kake,0.63,0.42,0.22,0.66,pce,YES,NA
Inside Passage Electric,Klukwan,0.63,0.42,0.22,0.66,pce,YES,NA
Napaskiak Electric Utility,Napaskiak,0.7,0.41,0.28999999999999998,0.57999999999999996,pce,YES,NA
Alutiiq Power Company,Karluk,0.65,0.41,0.23,0.64,pce,YES,NA
Alaska Village Electric Cooperative,Alakanuk,0.63,0.41,0.22,0.66,pce,YES,NA
