"Certified Utilities Net Generation by Prime Mover (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
Alaska Power & Telephone Company,Haines,Haines,0,-37,0,0,-37,NA,NA,eia,"The Upper Lynn Canal service area includes:
Haines, Skagway and Covenant Life."
Alaska Power & Telephone Company,Healy Lake,Healy Lake,0,77,NA,0,77,1,78,pce,NA
Alaska Power & Telephone Company,Hydaburg,Hydaburg,0,34,0,0,34,NA,NA,eia,"Communities in the POW service area include: Coffman Cove, Craig, Hollis, Hydaburg, Kasaan, Klawock, Naukati Bay, Thorne Bay, Whales Pass."
Alaska Power & Telephone Company,Kasidaya Creek,Skagway,0,0,6915,0,6915,NA,NA,eia,"The Upper Lynn Canal service area includes:
Haines, Skagway and Covenant Life."
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,0,415,NA,0,415,9,424,pce,NA
Alaska Power & Telephone Company,Northway,"Northway, Northway Village, Northway Junction",0,1270,NA,0,1270,19,1289,pce,NA
Alaska Power & Telephone Company,Skagway,Skagway,0,-45,3331,0,3286,NA,NA,eia,"The Upper Lynn Canal service area includes:
Haines, Skagway and Covenant Life."
Alaska Power & Telephone Company,Slana,Slana,0,1352,NA,0,1352,19,1371,pce,NA
Alaska Power & Telephone Company,South Fork,Klawock,0,0,6614,0,6614,NA,NA,eia,"Communities in the POW service area include: Coffman Cove, Craig, Hollis, Hydaburg, Kasaan, Klawock, Naukati Bay, Thorne Bay, Whales Pass."
Alaska Power & Telephone Company,Thorne Bay Plant,Thorne Bay,0,31,0,0,31,NA,NA,eia,"Communities in the POW service area include: Coffman Cove, Craig, Hollis, Hydaburg, Kasaan, Klawock, Naukati Bay, Thorne Bay, Whales Pass."
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",0,10151,NA,0,10151,139,10290,pce,NA
Alaska Power & Telephone Company,Viking,Craig,0,-34,0,0,-34,NA,NA,eia,"Communities in the POW service area include: Coffman Cove, Craig, Hollis, Hydaburg, Kasaan, Klawock, Naukati Bay, Thorne Bay, Whales Pass."
Alaska Power & Telephone Company,Whale Pass,Whale Pass,0,287,NA,0,287,11,298,pce,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,0,2031,NA,0,2031,37,2068,pce,NA
Alaska Village Electric Cooperative,Ambler,Ambler,0,1312,NA,0,1312,37,1349,pce,NA
Alaska Village Electric Cooperative,Anvik,Anvik,0,417,NA,0,417,13,430,pce,NA
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,0,1185,NA,0,1185,51,1236,pce,NA
Alaska Village Electric Cooperative,Chevak,Chevak,0,1767,NA,822,2589,88,2677,pce,NA
Alaska Village Electric Cooperative,Eek,Eek,0,818,NA,0,818,12,830,pce,NA
Alaska Village Electric Cooperative,Ekwok,Ekwok,0,503,NA,0,503,50,553,pce,NA
Alaska Village Electric Cooperative,Elim,Elim,0,1182,NA,0,1182,16,1198,pce,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,0,2866,NA,504,3370,65,3435,pce,NA
Alaska Village Electric Cooperative,Gambell,Gambell,0,1465,NA,453,1918,85,2003,pce,NA
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,0,830,NA,0,830,15,845,pce,NA
Alaska Village Electric Cooperative,Grayling,Grayling,0,563,NA,0,563,24,587,pce,NA
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,0,617,NA,0,617,34,651,pce,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,0,2740,NA,637,3377,62,3439,pce,NA
Alaska Village Electric Cooperative,Huslia,Huslia,0,1033,NA,0,1033,21,1054,pce,NA
Alaska Village Electric Cooperative,Kaltag,Kaltag,0,753,NA,0,753,19,772,pce,NA
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",0,2492,NA,517,3009,97,3106,pce,NA
Alaska Village Electric Cooperative,Kiana,Kiana,0,1500,NA,0,1500,36,1536,pce,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,0,1208,NA,0,1208,35,1243,pce,NA
Alaska Village Electric Cooperative,Kotlik,Kotlik,0,2034,NA,0,2034,54,2088,pce,NA
Alaska Village Electric Cooperative,Koyuk,Koyuk,0,1324,NA,0,1324,15,1339,pce,NA
Alaska Village Electric Cooperative,Marshall,Marshall,0,1627,NA,0,1627,35,1662,pce,NA
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,0,775,NA,184,959,67,1026,pce,NA
Alaska Village Electric Cooperative,Minto,Minto,0,652,NA,0,652,14,666,pce,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,0,2853,NA,0,2853,45,2898,pce,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,0,1443,NA,0,1443,38,1481,pce,NA
Alaska Village Electric Cooperative,Noatak,Noatak,0,1864,NA,0,1864,42,1906,pce,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,0,2003,NA,0,2003,33,2036,pce,NA
