"Certified Utilities Net Generation, Fuel Use, Fuel Cost and Efficiency",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Alaska Village Electric Cooperative,Koyuk,Koyuk,DFO,IC,1324,98265,13628,3.59,13,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Marshall,Marshall,DFO,IC,1627,125810,17448,3.83,13,0.28999999999999998,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,DFO,IC,775,62096,8612,3.53,13,0.27,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Minto,Minto,DFO,IC,652,51163,7095,3.95,13,0.3,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,DFO,IC,2853,216093,29969,3.97,13,0.31,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,DFO,IC,1443,110246,15290,4.58,13,0.35,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Noatak,Noatak,DFO,IC,1864,142201,19721,7.81,13,0.6,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,DFO,IC,2003,157028,21778,4.47,12,0.37,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Nulato,Nulato,DFO,IC,1064,80900,11220,3.3,13,0.25,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,DFO,IC,853,61025,8463,4.12,14,0.28999999999999998,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,DFO,IC,1814,136281,18900,3.21,13,0.25,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,DFO,IC,1381,117029,16230,3.54,12,0.3,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,DFO,IC,1034,82270,11410,3.83,12,0.32,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky",DFO,IC,3271,250683,34767,4.5199999999999996,13,0.35,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,DFO,IC,1798,135380,18775,3.67,13,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,DFO,IC,1904,140744,19519,3.49,13,0.27,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,DFO,IC,1649,129013,17892,3.7,13,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Selawik,Selawik,DFO,IC,3137,238531,33081,3.98,13,0.31,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Shageluk,Shageluk,DFO,IC,359,31493,4367,3.88,11,0.35,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,DFO,IC,813,64437,8936,3.54,13,0.27,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,DFO,IC,1600,121173,16805,4.12,13,0.32,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Shungnak,Shungnak,DFO,IC,1574,117448,16288,5.79,13,0.45,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Stebbins,Stebbins,DFO,IC,1414,103397,14340,3.71,13,0.28999999999999998,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Teller,Teller,DFO,IC,819,68052,9438,3.41,12,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Togiak,Togiak,DFO,IC,3032,232906,32301,4.43,13,0.34,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,DFO,IC,2546,199050,27606,3.57,13,0.27,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Upper Kalskag,Kalskag,DFO,IC,1411,107179,14864,3.69,13,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Wales,Wales,DFO,IC,585,50856,7053,4.12,12,0.34,0.14000000000000001,pce,NA
Alutiiq Power Company,Karluk,Karluk,DFO,IC,266,23455,3252,3.9,11,0.35,0.14000000000000001,pce,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,DFO,GT,51,4914,646,NA,10.4,NA,0.14000000000000001,eia,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,DFO,IC,0,0,0,NA,NA,NA,0.14000000000000001,eia,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,NG,GT,54581,676564,690096,NA,80.680000000000007,NA,1.02,eia,NA
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,WAT,HY,71126,0,0,NA,NA,NA,NA,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,DFO,CA,282,0,0,NA,NA,NA,0.14000000000000001,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,DFO,CT,916,98826,12988,NA,9.27,NA,0.14000000000000001,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,CA,191617,0,0,NA,NA,NA,1.02,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,CT,631612,8638750,8811525,NA,73.11,NA,1.02,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,NG,GT,182660,2347185,2394129,NA,77.819999999999993,NA,1.02,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,OTH,CA,0,0,0,NA,NA,NA,NA,eia,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,OTH,CT,0,0,0,NA,NA,NA,NA,eia,NA
Aniak Light & Power,Aniak,Aniak,DFO,IC,2717,208808,28959,4.1900000000000004,13,0.32,0.14000000000000001,pce,NA
"Atka, City of",Atka,Atka,DFO,IC,404,49497,6864,5.3,8,0.66,0.14000000000000001,pce,NA
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,DFO,IC,741,53068,7360,4.75,14,0.34,0.14000000000000001,pce,NA
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,SUB,ST,201405,218715,3351936,NA,920.86,NA,19.579999999999998,eia,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,DFO,GT,0,0,0,NA,NA,NA,0.14000000000000001,eia,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,NG,GT,49580,757478,757478,NA,65.45,NA,1.02,eia,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,NG,IC,0,0,0,NA,NA,NA,1.02,eia,NA
Beaver Joint Utilities,Beaver,Beaver,DFO,IC,328,26579,3686,5.12,12,0.43,0.14000000000000001,pce,NA
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",DFO,IC,44177,3215329,445933,5.75,13,0.44,0.14000000000000001,pce,NA
"Buckland, City of",Buckland,Buckland,DFO,IC,1562,140885,19539,4.25,11,0.39,0.14000000000000001,pce,NA
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,DFO,IC,290,27359,3794,5.95,11,0.54,0.14000000000000001,pce,NA
Chenega Ira Council,Chenega Bay,Chenega Bay,DFO,IC,298,26348,3654,4.96,11,0.45,0.14000000000000001,pce,NA
"Chignik, City of",Chignik,Chignik,DFO,IC,965,72094,9998,3.8,13,0.28999999999999998,0.14000000000000001,pce,NA
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,DFO,IC,446,42188,5851,4.54,10,0.45,0.14000000000000001,pce,NA
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,DFO,IC,381,38789,5379,4.9400000000000004,10,0.49,0.14000000000000001,pce,NA
Chitina Electric Inc,Chitina,Chitina,DFO,IC,529,45167,6264,4.3099999999999996,12,0.36,0.14000000000000001,pce,NA
Chugach Electric Assn Inc,Beluga,Anchorage,NG,CA,301469,0,0,NA,NA,NA,1.02,eia,NA
Chugach Electric Assn Inc,Beluga,Anchorage,NG,CT,1079044,12850564,12850564,NA,83.97,NA,1.02,eia,NA
Chugach Electric Assn Inc,Beluga,Anchorage,NG,GT,629058,8383582,8383582,NA,75.03,NA,1.02,eia,NA
Chugach Electric Assn Inc,Cooper Lake,Anchorage,WAT,HY,77589,0,0,NA,NA,NA,NA,eia,NA
Chugach Electric Assn Inc,International,Anchorage,NG,GT,56163,914525,914525,NA,61.41,NA,1.02,eia,NA
Circle Electric Utility,Circle,Circle,DFO,IC,394,36430,5052,3.84,10,0.38,0.14000000000000001,pce,NA
Copper Valley Elec Assn Inc,Glennallen,Glennallen,DFO,IC,12204,876414,129375,NA,13.92,NA,0.14000000000000001,eia,NA
Copper Valley Elec Assn Inc,Solomon Gulch,Valdez,WAT,HY,44135,0,0,NA,NA,NA,NA,eia,NA
Copper Valley Elec Assn Inc,Valdez,Valdez,DFO,GT,25,3948,582,NA,6.33,NA,0.14000000000000001,eia,NA
Copper Valley Elec Assn Inc,Valdez,Valdez,DFO,IC,4401,389760,57538,NA,11.29,NA,0.14000000000000001,eia,NA
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,JF,GT,29655,3135594,373285,NA,9.4600000000000009,NA,0.14000000000000001,eia,NA
Cordova Electric Cooperative,Humpback Creek,"Cordova, Eyak",WAT,HY,3477,0,0,NA,NA,NA,NA,eia,NA
Cordova Electric Cooperative,Orca,"Cordova, Eyak",DFO,IC,10786,827988,108431,NA,13.03,NA,0.14000000000000001,eia,NA
Cordova Electric Cooperative,Power Creek,"Cordova, Eyak",WAT,HY,13297,0,0,NA,NA,NA,NA,eia,NA
Diomede Joint Utilities,Diomede,Diomede,DFO,IC,520,49274,6833,5.1100000000000003,11,0.46,0.14000000000000001,pce,NA
Egegik Light & Power Co,Egegik,Egegik,DFO,IC,608,53589,7432,4.72,11,0.43,0.14000000000000001,pce,NA
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,DFO,IC,263,24685,3423,4.9400000000000004,12,0.41,0.14000000000000001,pce,NA
"False Pass, City of",False Pass,False Pass,DFO,IC,576,48989,6794,3.68,12,0.31,0.14000000000000001,pce,NA
Fire Island Wind LLC,Fire Island,Anchorage,WND,WT,18039,0,0,0,NA,0,NA,AEA,NA
"Galena, City of",Galena,Galena,DFO,IC,5737,445606,61801,3.87,13,0.3,0.14000000000000001,pce,NA
G & K Inc,Cold Bay,Cold Bay,DFO,IC,2844,221615,30735,5.04,13,0.39,0.14000000000000001,pce,NA
Gold Country Energy,Central,Central,DFO,IC,527,47454,6581,3.6,11,0.33,0.14000000000000001,pce,NA
Golden Valley Elec Assn Inc,Delta Power,Fairbanks,DFO,GT,-32,19614,2571,NA,NA,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,Eva Creek,Fairbanks,WND,WT,13359,0,0,0,NA,0,NA,AEA,NA
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,DFO,GT,149,26544,3480,NA,5.64,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,DFO,IC,-62,5292,695,NA,NA,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,RFO,GT,10579,1747788,245524,NA,6.05,NA,0.15,eia,NA
Golden Valley Elec Assn Inc,Healy,Fairbanks,DFO,IC,17,1218,168,NA,13.96,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,Healy,Fairbanks,DFO,ST,96,9660,1312,NA,10.029999999999999,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,Healy,Fairbanks,SUB,ST,0,0,0,NA,NA,NA,19.579999999999998,eia,NA
Golden Valley Elec Assn Inc,Healy,Fairbanks,WC,ST,215310,8667960,2916273,NA,1043.27,NA,11.6,eia,NA
Golden Valley Elec Assn Inc,North Pole,Fairbanks,DFO,GT,2422,219828,28789,NA,11.02,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,North Pole,Fairbanks,JF,CA,105949,0,0,NA,NA,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,North Pole,Fairbanks,JF,CT,317643,23482284,2795510,NA,13.53,NA,0.14000000000000001,eia,NA
Golden Valley Elec Assn Inc,North Pole,Fairbanks,RFO,GT,164956,14023296,1969940,NA,11.76,NA,0.15,eia,NA
Golovin Power Utilities,Golovin,Golovin,DFO,IC,812,66509,9224,3.96,12,0.33,0.14000000000000001,pce,NA
Gustavus Electric Co,Gustavus,Gustavus,DFO,IC,184,16968,2353,4.18,13,0.32,0.14000000000000001,pce,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,DFO,IC,3446,259142,35940,5.48,13,0.42,0.14000000000000001,pce,NA
Homer Electric Assn Inc,Bernice Lake,Homer,NG,GT,78818,1180346,1239364,NA,66.78,NA,1.02,eia,NA
Homer Electric Assn Inc,Bradley Lake,Anchorage,WAT,HY,397373,0,0,NA,NA,NA,NA,eia,NA
Homer Electric Assn Inc,Nikiski Co-Generation,Homer,NG,GT,239080,3078267,3386093,NA,77.67,NA,1.02,eia,NA
Homer Electric Assn Inc,Seldovia,Homer,DFO,IC,201,15162,2240,NA,13.26,NA,0.14000000000000001,eia,NA
Hughes Power & Light,Hughes,Hughes,DFO,IC,397,36805,5104,6.23,11,0.56999999999999995,0.14000000000000001,pce,NA
Igiugig Electric Company,Igiugig,Igiugig,DFO,IC,335,29540,4096,5.6,11,0.51,0.14000000000000001,pce,NA
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",DFO,IC,-337,5727,794,4.53,13,0.35,0.14000000000000001,pce,NA
Inside Passage Electric,Angoon,Angoon,DFO,IC,1814,130428,18089,4.0999999999999996,14,0.28999999999999998,0.14000000000000001,pce,NA
Inside Passage Electric,Chilkat Valley,Chilkat Valley,DFO,IC,0,0,0,NA,NA,NA,0.14000000000000001,eia,NA
Inside Passage Electric,Hoonah,Hoonah,DFO,IC,4668,325282,45113,4.0999999999999996,14,0.28999999999999998,0.14000000000000001,pce,NA
Inside Passage Electric,Kake,Kake,DFO,IC,2970,219312,30416,4.0999999999999996,13,0.32,0.14000000000000001,pce,NA
Ipnatchiaq Electric Company,Deering,Deering,DFO,IC,734,54638,7577,4.05,13,0.31,0.14000000000000001,pce,NA
Ketchikan Public Utilities,Beaver Falls,Ketchikan,WAT,HY,47490,0,0,NA,NA,NA,NA,eia,NA
Ketchikan Public Utilities,Ketchikan,Ketchikan,WAT,HY,24125,0,0,NA,NA,NA,NA,eia,NA
Ketchikan Public Utilities,Silvis,Ketchikan,WAT,HY,13745,0,0,NA,NA,NA,NA,eia,NA
Ketchikan Public Utilities,Swan Lake,"Ketchikan, Petersburg, Wrangell",WAT,HY,80974,0,0,NA,NA,0,NA,"aea, sepa",NA
Ketchikan Public Utilities,S W Bailey,Ketchikan,DFO,IC,456,146202,20261,NA,3.12,NA,0.14000000000000001,eia,NA
"King Cove, City of",King Cove,King Cove,DFO,IC,2603,184456,25582,3.74,14,0.27,0.14000000000000001,pce,NA
Kipnuk Light Plant,Kipnuk,Kipnuk,DFO,IC,1489,104867,14544,4.16,14,0.3,0.14000000000000001,pce,NA
Kodiak Electric Assn Inc,Kodiak,Kodiak,DFO,IC,5486,416010,57449,NA,13.19,NA,0.14000000000000001,eia,NA
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,DFO,IC,141,49812,6880,NA,2.83,NA,0.14000000000000001,eia,NA
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,WND,WT,16313,0,0,0,NA,0,NA,eia,NA
Kodiak Electric Assn Inc,Port Lions,Kodiak,DFO,IC,0,1680,228,NA,0,NA,0.14000000000000001,eia,NA
Kodiak Electric Assn Inc,Terror Lake,Kodiak,WAT,HY,131121,0,0,NA,NA,NA,NA,eia,NA
Kokhanok Village Council,Kokhanok,Kokhanok,DFO,IC,317,32847,4555,5.82,10,0.57999999999999996,0.14000000000000001,pce,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,DFO,IC,19650,1393035,193200,3.45,14,0.25,0.14000000000000001,pce,NA
"Koyukuk, City of",Koyukuk,Koyukuk,DFO,IC,320,32760,4543,3.88,9,0.43,0.14000000000000001,pce,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,DFO,IC,1437,106399,14756,4.2,13,0.32,0.14000000000000001,pce,NA
Kwigillingok Power Company,Kwigillingok,Kwigillingok,DFO,IC,1097,84688,11745,4.63,13,0.36,0.14000000000000001,pce,NA
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,DFO,IC,199,20968,2908,4.12,10,0.41,0.14000000000000001,pce,NA
Levelock Electrical Coop,Levelock,Levelock,DFO,IC,455,44628,6189,4.16,11,0.38,0.14000000000000001,pce,NA
Lime Village Electric Utility,Lime Village,Lime Village,DFO,IC,73,7307,1013,7.83,10,0.78,0.14000000000000001,pce,NA
Manokotak Power Company,Manokotak,Manokotak,DFO,IC,1374,115353,15998,3.75,12,0.31,0.14000000000000001,pce,NA
Mcgrath Light & Power,McGrath,McGrath,DFO,IC,2754,189399,26267,4.12,14,0.28999999999999998,0.14000000000000001,pce,NA
Metlakatla Power & Light,Centennial,Metlakatla,DFO,IC,-188,7140,992,NA,NA,NA,0.14000000000000001,eia,NA
Metlakatla Power & Light,Chester Lake,Metlakatla,WAT,HY,5452,0,0,NA,NA,NA,NA,eia,NA
Metlakatla Power & Light,Purple Lake,Metlakatla,WAT,HY,16157,0,0,NA,NA,NA,NA,eia,NA
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,DFO,IC,270,28525,3956,4.3600000000000003,9,0.48,0.14000000000000001,pce,NA
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,DFO,IC,298,24821,3442,4.3600000000000003,12,0.36,0.14000000000000001,pce,NA
Middle Kuskokwim Electric,Red Devil,Red Devil,DFO,IC,116,13799,1913,4.3600000000000003,8,0.55000000000000004,0.14000000000000001,pce,NA
Middle Kuskokwim Electric,Sleetmute,Sleetmute,DFO,IC,256,23914,3316,4.3600000000000003,11,0.4,0.14000000000000001,pce,NA
Middle Kuskokwim Electric,Stony River,Stony River,DFO,IC,138,15979,2216,4.3600000000000003,8,0.55000000000000004,0.14000000000000001,pce,NA
Naknek Electric Association,Naknek,"Naknek, South Naknek, King Salmon",DFO,IC,19344,1300091,180309,3.56,15,0.24,0.14000000000000001,pce,NA
Napaskiak Electric Utility,Napaskiak,Napaskiak,DFO,IC,776,75841,10518,4.4800000000000004,10,0.45,0.14000000000000001,pce,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak,DFO,IC,1846,137491,19068,4.43,13,0.34,0.14000000000000001,pce,NA
Native Village of Perryville,Perryville,Perryville,DFO,IC,417,30479,4227,4.46,13,0.34,0.14000000000000001,pce,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,DFO,IC,389,36590,5074,4.33,10,0.43,0.14000000000000001,pce,NA
New Koliganek Village Council,Koliganek,Koliganek,DFO,IC,656,61375,8512,4.62,11,0.42,0.14000000000000001,pce,NA
"Nikolai, City of",Nikolai,Nikolai,DFO,IC,409,39288,5448,6.22,11,0.56999999999999995,0.14000000000000001,pce,NA
Nome Joint Utility Systems,Snake River,Nome,DFO,IC,34531,2192041,304014,3.18,16,0.2,0.14000000000000001,pce,NA
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,DFO,IC,4045,309713,42954,5.48,13,0.42,0.14000000000000001,pce,NA
