"Certified Utilities Net Generation, Fuel Use, Fuel Cost and Efficiency",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
"Fuel Types: DFO=Distillate Fuel Oil, RFO=Residual Fuel Oil, JF=Jet Fuel, NG=Natural Gas, SUB=Sub-bituminous Coal, WC=Waste Coal, WAT=Water at a Conventional Hydroelectric Turbine, WND=Wind, OTH=Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: IC=Internal Combustion Engine, GT=Gas Turbine, ST=Steam Turbine, CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, HY=Hydroelectric Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Plant Name,Community Name,Fuel Type,Prime Mover,Net Generation MWh,Fuel Use,Estimated Fuel Consumption MMBtu,Avg. Cost ($) per Gallon (PCE only),kWh per Gallon-Mcf-Short tons,Fuel Cost ($) per kWh,"Estimated Heat Content Factor per Unit, MMBtu",Source,Notes
Akiachak Native Community,Akiachak,Akiachak,DFO,IC,1928,136679,18956,4.4000000000000004,14,0.31,0.14000000000000001,pce,NA
Akiak City Council,Akiak,Akiak,DFO,IC,1182,90189,12508,4.75,13,0.37,0.14000000000000001,pce,NA
"Akutan, City of",Akutan,Akutan,DFO,IC,320,38330,5315,3.71,9,0.41,0.14000000000000001,pce,NA
Alaska Electric Light & Power Company,Annex Creek,Juneau,WAT,HY,21935,0,0,NA,NA,NA,NA,eia,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,DFO,GT,561,85764,11664,NA,6.54,NA,0.14000000000000001,eia,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,DFO,IC,31,2940,402,NA,10.54,NA,0.14000000000000001,eia,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,DFO,IC,0,0,0,NA,NA,NA,0.14000000000000001,eia,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,WAT,HY,3987,0,0,NA,NA,NA,NA,eia,NA
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,WAT,HY,84467,0,0,NA,NA,NA,NA,eia,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,DFO,GT,20,3276,445,NA,6.11,NA,0.14000000000000001,eia,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,DFO,IC,210,16506,2245,NA,12.72,NA,0.14000000000000001,eia,NA
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,WAT,HY,28396,0,0,NA,NA,NA,NA,eia,NA
Alaska Electric Light & Power Company,Snettisham,Juneau,WAT,HY,290422,0,0,NA,NA,NA,NA,eia,NA
Alaska Environmental Power LLC,Delta Wind Farm,Fairbanks,WND,WT,989,0,0,0,NA,0,NA,AEA,Independent Power Producer sells power to Golden Valley Electric Association.
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",DFO,IC,690,59054,8190,5.93,12,0.49,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",DFO,IC,582,43642,6052,4.2,13,0.32,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Black Bear Lake,Craig,WAT,HY,19497,0,0,NA,NA,NA,NA,eia,NA
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",DFO,IC,769,59444,8244,3.82,13,0.28999999999999998,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,False Island,"Kasaan, Thorne Bay",DFO,IC,726,53508,7423,NA,13.57,NA,0.14000000000000001,eia,NA
Alaska Power & Telephone Company,Goat Lake,"Covenant Life, Haines, Skagway",WAT,HY,16298,0,0,NA,NA,NA,NA,eia,NA
Alaska Power & Telephone Company,Haines,"Covenant Life, Haines, Skagway",DFO,IC,-37,14826,2056,NA,NA,NA,0.14000000000000001,eia,NA
Alaska Power & Telephone Company,Haines,"Haines, Covenant Life",DFO,IC,-130,14805,2053,3.96,12,0.33,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Healy Lake,Healy Lake,DFO,IC,77,9356,1297,4.13,8,0.52,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Kasidaya Creek,"Covenant Life, Haines, Skagway",WAT,HY,6915,0,0,NA,NA,NA,NA,eia,NA
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,DFO,IC,415,34923,4843,3.94,12,0.33,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Northway,"Northway, Northway Village, Northway Junction",DFO,IC,1270,98043,13597,3.98,13,0.31,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Skagway,"Covenant Life, Haines, Skagway",DFO,IC,-45,5334,742,NA,NA,NA,0.14000000000000001,eia,NA
Alaska Power & Telephone Company,Skagway,"Covenant Life, Haines, Skagway",WAT,HY,3331,0,0,NA,NA,NA,NA,eia,NA
Alaska Power & Telephone Company,Slana,Slana,DFO,IC,1352,112960,15666,3.8,12,0.32,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,South Fork,Klawock,WAT,HY,6614,0,0,NA,NA,NA,NA,eia,NA
Alaska Power & Telephone Company,Thorne Bay Plant,"Kasaan, Thorne Bay",DFO,IC,31,6972,967,NA,4.45,NA,0.14000000000000001,eia,NA
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",DFO,IC,10151,733541,101734,3.81,14,0.27,0.14000000000000001,pce,NA
Alaska Power & Telephone Company,Viking,Craig,DFO,IC,-34,84,12,NA,NA,NA,0.14000000000000001,eia,NA
Alaska Power & Telephone Company,Whale Pass,Whale Pass,DFO,IC,287,25298,3508,3.99,11,0.36,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,DFO,IC,2031,156223,21666,3.97,13,0.31,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Ambler,Ambler,DFO,IC,1312,97471,13518,4.7699999999999996,13,0.37,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,DFO,IC,1185,90755,12586,2.4900000000000002,13,0.19,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Chevak,Chevak,DFO,IC,1767,145822,20224,3.42,12,0.28999999999999998,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Eek,Eek,DFO,IC,818,68444,9492,3.51,12,0.28999999999999998,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Ekwok,Ekwok,DFO,IC,503,46322,6424,4.71,11,0.43,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Elim,Elim,DFO,IC,1182,91229,12652,3.61,13,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,DFO,IC,2866,217385,30149,3.95,13,0.3,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Gambell,Gambell,DFO,IC,1465,113778,15779,3.48,13,0.27,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,DFO,IC,830,63395,8792,4.1399999999999997,13,0.32,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Grayling,Grayling,DFO,IC,563,49967,6929,3.35,11,0.3,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,DFO,IC,617,52168,7235,3.35,12,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,DFO,IC,2740,213900,29665,3.63,13,0.28000000000000003,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Huslia,Huslia,DFO,IC,1033,76984,10676,4.09,13,0.31,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Kaltag,Kaltag,DFO,IC,753,56546,7842,3.35,13,0.26,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Kasigluk,Kasigluk,DFO,IC,2492,201201,27904,4.34,12,0.36,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Kiana,Kiana,DFO,IC,1500,116833,16203,4.4400000000000004,13,0.34,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,DFO,IC,1208,97501,13522,3.96,12,0.33,0.14000000000000001,pce,NA
Alaska Village Electric Cooperative,Kotlik,Kotlik,DFO,IC,2034,158151,21933,3.47,13,0.27,0.14000000000000001,pce,NA
