"Certified Utilities Installed Capacity by Prime Mover by Plant (kW), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10
Utility Name,Plant Name,Community Name,Total Capacity,Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Source,Notes
"Akhiok, City of",Akhiok,Akhiok,360,0,360,0,0,AEA Village Assessment,NA
Akiachak Native Community,Akiachak,Akiachak,1500,0,1500,0,0,AEA Village Assessment,NA
Akiak City Council,Akiak,Akiak,920,0,920,0,0,AEA Village Assessment,NA
"Akutan, City of",Akutan,Akutan,407,0,407,0,0,AEA Village Assessment,NA
Alaska Electric Light & Power Company,Annex Creek,Juneau,4000,0,0,4000,0,EIA-F860,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,36200,33700,2500,0,0,EIA-F860,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,9700,0,8100,1600,0,EIA-F860,NA
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,14300,0,0,14300,0,EIA-F860,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,61700,37200,24500,0,0,EIA-F860,NA
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,8500,0,0,8500,0,EIA-F860,NA
Alaska Electric Light & Power Company,Snettisham,Juneau,78200,0,0,78200,0,EIA-F860,NA
Alaska Environmental Power LLC,Delta Wind Farm,Fairbanks,1000,0,0,0,1000,EIA-F860,NA
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",525,0,525,0,0,AEA Village Assessment,NA
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",600,0,600,0,0,AEA Village Assessment,NA
Alaska Power & Telephone Company,Black Bear Lake,Craig,4500,0,0,4500,0,EIA-F860,NA
Alaska Power & Telephone Company,Chistochina,Chistochina,200,0,200,0,0,AEA Village Assessment,Receives power from Slana via intertie.
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,660,0,660,0,0,AEA Village Assessment,Part of the Prince of Wales Island grid. Receives power from Craig.
