"Table 1.f Net Generation by Fuel Type by Certified Utilities (MWh), 2012 by AEA Energy Regions",...2,...3,...4,...5,...6,...7
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Region Total
Aleutians,64252,0,0,2821,0,67073
Bering Straits,54190,0,0,0,1781,55971
Bristol Bay,51465,0,0,4259,194,55918
Copper River/Chugach,59730,0,0,60909,0,120639
Kodiak,7483,0,0,132096,16313,155892
Lower Yukon-Kuskokwim,96460,0,0,0,4067,100527
North Slope,31282,50997,0,0,0,82279
Northwest Arctic,34544,0,0,0,3120,37664
Railbelt,603271,3444104,416715,546088,32387,5042565
Southeast,24397,0,0,900136,0,924533
Yukon-Koyukuk/Upper Tanana,36104,0,0,0,0,36104
Total,1063178,3495101,416715,1646309,57862,6679165
Percent of Total,15.9178280518598,52.328412309023697,6.2390283815416998,24.648425364547801,0.86630589302704797,100
