"Net Generation by Certified Utilities (MWh) by AEA Energy Regions, 2013",...2,...3
AEA Energy Region,Region Total,Percent of Statewide Total
Aleutians,65266,1.0514562038509789
Bering Straits,54071,0.87110116137692328
Bristol Bay,53046,0.85458808245455553
Copper River/Chugach,121301,1.9541980354752488
Kodiak,154367,2.4869019063503823
Lower Yukon-Kuskokwim,98609,1.5886226336153768
North Slope,84382,1.3594210981729125
Northwest Arctic,36335,0.58536850989681177
Railbelt,4623852,74.491739513510197
Southeast,880133,14.17922506456614
Yukon-Koyukuk/Upper Tanana,35839,0.57737779073047579
Total,6207201,100
