"Certified Utilities Net Generation and Total Disposition (MWh), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Utility Name,Community Name,Net Generation,Purchased Power,Net Wheeled Power,Total Disposition,Sales to Consumers,Sales for Resale,Furnished without Payment,Used by Facility,Unaccountable / Energy Loss,Source,Notes
"Akhiok, City of",Akhiok,70,0,NA,70,66,NA,0,1,3,PCE,NA
Akiachak Native Community,Akiachak,1909,0,NA,1909,1660,NA,52,36,161,PCE,NA
Akiak City Council,Akiak,1177,0,NA,1177,986,NA,11,31,149,PCE,NA
"Akutan, City of",Akutan,617,0,NA,617,505,NA,10,30,72,PCE,NA
Alaska Electric Light & Power Company,Juneau,148485,252009,0,400494,377005,NA,NA,4666,18823,EIA,NA
Alaska Power & Telephone Company,Allakaket,726,0,NA,726,655,NA,0,28,43,PCE,Provides power to Alatna via intertie. Includes Alatna's data.
Alaska Power & Telephone Company,Bettles,575,0,NA,575,528,NA,0,1,46,PCE,Provides power to Evansville via intertie. Includes Evansville's data.
Alaska Power & Telephone Company,Chistochina,50,0,NA,50,354,NA,0,5,-309,PCE,Receives power from Slana via intertie. Refer to Slana for fuel use and cost data.
Alaska Power & Telephone Company,Coffman Cove,18,0,NA,18,886,NA,0,19,-887,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Craig,3337,26255,NA,29592,11956,NA,0,193,17443,PCE,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Dot Lake,0,0,NA,0,359,NA,0,1,-360,PCE,Receives power from Tok via intertie. Refer to Tok for fuel use and cost data.
Alaska Power & Telephone Company,Eagle,730,0,NA,730,639,NA,0,11,80,PCE,Provides power to Eagle Village via intertie. Includes Eagle Village's data.
Alaska Power & Telephone Company,Haines,1533,13539,NA,15072,12453,NA,0,331,2288,PCE,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Healy Lake,36,0,NA,36,26,NA,0,2,8,PCE,NA
Alaska Power & Telephone Company,Hollis,0,0,NA,0,883,NA,0,9,-892,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Hydaburg,0,0,NA,0,1295,NA,0,27,-1322,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Klawock,0,0,NA,0,8607,NA,0,33,-8640,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Mentasta Lake,1,0,NA,1,362,NA,0,1,-362,PCE,NA
Alaska Power & Telephone Company,Naukati Bay,455,0,NA,455,421,NA,0,9,25,PCE,NA
Alaska Power & Telephone Company,Northway,1248,0,NA,1248,1149,NA,0,11,88,PCE,Provides power to Northway Village via intertie. Includes Northway Village's data.
Alaska Power & Telephone Company,Skagway,3441,9749,NA,13190,11987,NA,0,116,1087,PCE,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
