"Certified Utilities Net Generation, Fuel Use, Fuel Cost, and Efficiency, 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
"Fuel Types: AB=Agricultural By-Products, DFO=Distillate Fuel Oil, JF=Jet Fuel, NG=Natural Gas, OTH=Other, RFO=Residual Fuel Oil, SUB=Sub-bituminous Coal, WAT=Water at a Conventional Hydroelectric Turbine, WC=Waste Coal, WDS=Wood Solids, WND=Wind, WO=Waste/Other Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, GT=Gas Turbine, HY=Hydroelectric Turbine, IC=Internal Combustion Engine, ST=Steam Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Plant Name,Community Name,Fuel Type,Prime Mover,Net Generation MWh,Fuel Use,Estimated Fuel Consumption MMBtu,Avg. Cost ($) per Gallon (PCE only),kWh per Gallon-Mcf-Short tons,Fuel Cost ($) per kWh,"Estimated Heat Content Factor per Unit, MMBtu",Source,Notes
"Akhiok, City of",Akhiok,Akhiok,DFO,IC,69,6510,902,4.92,10,0.49,0.14000000000000001,PCE,NA
Akiachak Native Community,Akiachak,Akiachak,DFO,IC,1873,133956,18578,4.3600000000000003,14,0.31,0.14000000000000001,PCE,NA
Akiak City Council,Akiak,Akiak,DFO,IC,1146,88134,12223,5.18,13,0.4,0.14000000000000001,PCE,NA
"Akutan, City of",Akutan,Akutan,DFO,IC,500,39771,5515,4.04,13,0.31,0.14000000000000001,PCE,NA
Alaska Electric Light & Power Company,Annex Creek,Juneau,WAT,HY,25056,0,239060,NA,NA,NA,NA,EIA,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,DFO,GT,253,58002,7889,NA,4.3600000000000003,NA,0.14000000000000001,EIA,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,DFO,IC,21,2940,401,NA,7.14,NA,0.14000000000000001,EIA,NA
