"Certified Utilities Net Generation by Fuel Type (MWh), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Utility Name,Plant Name,Community Name,Oil,Gas,Coal,Hydro,Wind,Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Notes
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,682,0,0,NA,233,0,58992,0,0,pce,NA
Alaska Village Electric Cooperative,Minto,Minto,606,0,0,NA,0,0,43887,0,0,pce,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,2903,0,0,NA,0,0,215271,0,0,pce,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,1390,0,0,NA,0,0,101351,0,0,pce,NA
Alaska Village Electric Cooperative,Noatak,Noatak,1874,0,0,NA,0,0,129679,0,0,pce,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,1925,0,0,NA,0,0,150080,0,0,pce,NA
Alaska Village Electric Cooperative,Nulato,Nulato,1038,0,0,NA,0,0,77158,0,0,pce,NA
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,831,0,0,NA,0,0,59230,0,0,pce,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,1805,0,0,NA,0,0,134752,0,0,pce,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,1453,0,0,NA,568,0,123934,0,0,pce,NA
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,1019,0,0,NA,0,0,70580,0,0,pce,NA
Alaska Village Electric Cooperative,Saint Mary's,Saint Mary's,3166,0,0,NA,0,0,246874,0,0,pce,NA
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,1720,0,0,NA,0,0,130190,0,0,pce,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,1803,0,0,NA,353,0,134961,0,0,pce,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,1674,0,0,NA,0,0,121894,0,0,pce,NA
Alaska Village Electric Cooperative,Selawik,Selawik,2809,0,0,NA,54,0,206632,0,0,pce,NA
Alaska Village Electric Cooperative,Shageluk,Shageluk,376,0,0,NA,0,0,31605,0,0,pce,NA
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,737,0,0,NA,295,0,64516,0,0,pce,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,1630,0,0,NA,0,0,130221,0,0,pce,NA
Alaska Village Electric Cooperative,Shungnak,Shungnak,1737,0,0,NA,0,0,126045,0,0,pce,Provides power to Kobuk via intertie. Includes Kobuk's data.
Alaska Village Electric Cooperative,Stebbins,Stebbins,1517,0,0,NA,0,0,117657,0,0,pce,NA
Alaska Village Electric Cooperative,Teller,Teller,838,0,0,NA,0,0,61756,0,0,pce,NA
Alaska Village Electric Cooperative,Togiak,Togiak,3008,0,0,NA,0,0,230343,0,0,pce,NA
Alaska Village Electric Cooperative,Toksook Bay,Toksook Bay,2588,0,0,NA,557,0,202531,0,0,pce,Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data.
Alaska Village Electric Cooperative,Upper Kalskag,Kalskag,1327,0,0,NA,0,0,100356,0,0,pce,Provides power to Lower Kalskag via intertie. Includes Lower Kalskag's data.
Alaska Village Electric Cooperative,Wales,Wales,609,0,0,NA,0,0,47917,0,0,pce,NA
Alutiiq Power Company,Karluk,Karluk,259,0,0,NA,0,0,24075,0,0,pce,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,174,22163,0,0,0,0,14868,348154,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,0,0,0,89936,0,0,0,0,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,1513,560770,0,0,0,0,125496,6078895,0,eia,"In addition to Anchorage, the CEA service area includes eight other communities."
Aniak Light & Power,Aniak,Aniak,2548,0,0,NA,0,0,203456,0,0,pce,NA
Arctic Village Electric Company,Arctic Village,Arctic Village,517,0,0,NA,0,0,46820,0,0,pce,NA
"Atka, City of",Atka,Atka,30,0,0,443,0,0,9039,0,0,pce,NA
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,718,0,0,NA,0,0,52408,0,0,pce,NA
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,0,0,187843,0,0,0,0,0,210117,eia,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,26,50226,0,0,0,0,2772,757524,0,eia,NA
Beaver Joint Utilities,Beaver,Beaver,296,0,0,NA,0,0,31141,0,0,pce,NA
