"Certified Utilities Revenue, Sales and Customers by Customer Type, 2013",...2,...3,...4,...5,...6,...7,...8,...9
Utility Name,Community Name,Residential Rate ($/kWh),PCE Residential Reimbursement Rate ($/kWh),Residential Rate after PCE ($/kWh),Percent of Residential Rate Covered by PCE Reimbursement,PCE Community,Source,Notes
"Akhiok, City of",Akhiok,0.45,0.31,0.14000000000000001,0.69,No,PCE,NA
Akiachak Native Community,Akiachak,0.6,0.37,0.23,0.62,Yes,PCE,NA
Akiak City Council,Akiak,0.63,0.4,0.23,0.64,Yes,PCE,NA
"Akutan, City of",Akutan,0.32,0.18,0.14000000000000001,0.56000000000000005,Yes,PCE,NA
Alaska Electric Light & Power Company,Juneau,0.13,0,0.13,0,No,EIA,NA
Alaska Power & Telephone Company,Allakaket,0.87,0.64,0.23,0.74,Yes,PCE,Provides power to Alatna via intertie. Includes Alatna's data.
Alaska Power & Telephone Company,Bettles,0.72,0.5,0.22,0.7,Yes,PCE,Provides power to Evansville via intertie. Includes Evansville's data.
Alaska Power & Telephone Company,Chistochina,0.71,0.49,0.22,0.69,Yes,PCE,Receives power from Slana via intertie. Refer to Slana for fuel use and cost data.
Alaska Power & Telephone Company,Coffman Cove,0.25,7.0000000000000007E-2,0.18,0.26,Yes,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Craig,0.25,7.0000000000000007E-2,0.18,0.27,Yes,PCE,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Dot Lake Village,0.48,0.28000000000000003,0.2,0.57999999999999996,Yes,PCE,Receives power from Tok via intertie. Refer to Tok for fuel use and cost data.
Alaska Power & Telephone Company,Eagle,0.67,0.45,0.22,0.68,Yes,PCE,Provides power to Eagle Village via intertie. Includes Eagle Village's data.
Alaska Power & Telephone Company,Haines,0.25,7.0000000000000007E-2,0.18,0.27,Yes,PCE,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Healy Lake,1.81,0.74,1.07,0.41,Yes,PCE,NA
Alaska Power & Telephone Company,Hollis,0.25,7.0000000000000007E-2,0.18,0.27,Yes,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Hydaburg,0.25,7.0000000000000007E-2,0.18,0.27,Yes,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Klawock,0.25,7.0000000000000007E-2,0.18,0.27,Yes,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Mentasta Lake,0.71,0.49,0.22,0.69,Yes,PCE,NA
Alaska Power & Telephone Company,Naukati Bay,0.57999999999999996,0.37,0.21,0.64,Yes,PCE,NA
Alaska Power & Telephone Company,Northway Village,0.71,0.49,0.22,0.69,Yes,PCE,Receives power from Northway via intertie. Refer to Northway for fuel use and cost data.
Alaska Power & Telephone Company,Skagway,0.25,7.0000000000000007E-2,0.18,0.28000000000000003,Yes,PCE,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Slana,0.71,0.49,0.22,0.69,Yes,PCE,Provides power to Chistochina via intertie. Includes Chistochina's data.
Alaska Power & Telephone Company,Tetlin,0.49,0.28000000000000003,0.2,0.57999999999999996,Yes,PCE,Receives power from Tok via intertie. Refer to Tok for fuel use and cost data.
Alaska Power & Telephone Company,Thorne Bay,0.25,7.0000000000000007E-2,0.18,0.27,Yes,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data.
Alaska Power & Telephone Company,Tok,0.48,0.28000000000000003,0.2,0.57999999999999996,Yes,PCE,"Provides power to Tanacross, Tetlin, Dot Lake, and Dot Lake Village via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Whale Pass,0.59,0.38,0.21,0.64,Yes,PCE,NA
