"Customers by Certified Utilities (Accounts) by AEA Energy Regions, 2013",...2,...3,...4,...5,...6
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,1676,737,362,2776,0.84058041229621383
Bering Straits,3385,536,405,4324,1.3093190571933819
Bristol Bay,3162,995,551,4709,1.4258981129333108
Copper River/Chugach,4044,1606,148,5798,1.7556502991691092
Kodiak,4948,1120,143,6212,1.8810106344323052
Lower Yukon-Kuskokwim,6594,1623,707,8913,2.6988808410648968
North Slope,2196,831,44,3073,0.9305128267241588
Northwest Arctic,2060,230,253,2542,0.76972457062571165
Railbelt,215436,30186,666,246288,74.57668176643007
Southeast,32044,8330,765,41138,12.456699207868025
Yukon-Koyukuk/Upper Tanana,3250,695,533,4475,1.3550422712628085
Total,278795,46889,4577,330248,100
Percent of Total,84.419890506528432,14.198117778154598,1.3859281509653352,100,NA
