"Net Generation by Fuel Type by Certified Utilities (MWh) by AEA Energy Regions, 2013",...2,...3,...4,...5,...6,...7,...8
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Other,Region Total
Aleutians,62740,0,0,2526,0,0,65266
Bering Straits,51945,0,0,0,2126,0,54071
Bristol Bay,48908,0,0,4048,90,0,53046
Copper River/Chugach,47267,0,0,74034,0,0,121301
Kodiak,7427,0,0,120241,26699,0,154367
Lower Yukon-Kuskokwim,93970,0,0,0,4639,0,98609
North Slope,29468,54914,0,0,0,0,84382
Northwest Arctic,32894,0,0,0,3441,0,36335
Railbelt,399686,3230022,378907,497843,117394,0,4623852
Southeast,33330,0,0,846803,0,0,880133
Yukon-Koyukuk/Upper Tanana,35830,0,0,0,0,9,35839
Total,843465,3284936,378907,1545495,154389,9,6207201
Percent of Total,13.58849181780967,52.921373095538549,6.104313361207411,24.898420399146087,2.4872563334101794,1.4499288809883876E-4,100
