"Net Generation by Prime Mover by Certified Utilities (MWh), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Other,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
"Akhiok, City of",Akhiok,Akhiok,0,69,NA,0,0,69,1,70,PCE,NA
Akiachak Native Community,Akiachak,Akiachak,0,1873,NA,0,0,1873,35,1908,PCE,NA
Akiak City Council,Akiak,Akiak,0,1146,NA,0,0,1146,30,1176,PCE,NA
"Akutan, City of",Akutan,Akutan,0,500,86,0,0,586,29,615,PCE,NA
Alaska Electric Light & Power Company,Annex Creek,Juneau,0,0,25056,0,0,25056,NA,25056,EIA,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,253,21,0,0,0,274,NA,274,EIA,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,0,14,4690,0,0,4704,NA,4704,EIA,NA
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,0,0,82519,0,0,82519,NA,82519,EIA,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,231,200,0,0,0,431,NA,431,EIA,NA
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,0,0,30072,0,0,30072,NA,30072,EIA,NA
Alaska Electric Light & Power Company,Snettisham,Juneau,0,0,258832,0,0,258832,NA,258832,EIA,NA
Alaska Environmental Power LLC,Delta Wind Farm,Fairbanks,0,0,0,1600,0,1600,NA,1600,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Alaska Power & Telephone Company,Allakaket,Allakaket,0,697,NA,0,0,697,28,725,PCE,Provides power to Alatna via intertie. Includes Alatna's data.
Alaska Power & Telephone Company,Bettles,Bettles,0,573,NA,0,0,573,1,574,PCE,Provides power to Evansville via intertie. Includes Evansville's data.
Alaska Power & Telephone Company,Black Bear Lake,Craig,0,0,20540,0,0,20540,NA,20540,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Chistochina,Chistochina,0,47,NA,0,0,47,4,51,PCE,Receives power from Slana via intertie. Refer to Slana for fuel use and cost data.
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,0,0,NA,0,0,0,19,19,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Craig,Craig,0,1445,0,0,0,1445,NA,1445,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Eagle,Eagle,0,718,NA,0,0,718,11,729,PCE,Provides power to Eagle Village via intertie. Includes Eagle Village's data.
Alaska Power & Telephone Company,False Island,Thorne Bay,0,1501,0,0,0,1501,NA,1501,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data.
Alaska Power & Telephone Company,Goat Lake,Haines,0,0,15521,0,0,15521,NA,15521,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Haines,Haines,0,844,0,0,0,844,NA,844,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Healy Lake,Healy Lake,0,34,NA,0,0,34,1,35,PCE,NA
Alaska Power & Telephone Company,Hydaburg,Hydaburg,0,13,0,0,0,13,NA,13,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data.
Alaska Power & Telephone Company,Kasidaya Creek,Haines,0,0,7405,0,0,7405,NA,7405,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Mentasta Lake,Mentasta Lake,0,0,NA,0,0,0,1,1,PCE,NA
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,0,446,NA,0,0,446,8,454,PCE,NA
Alaska Power & Telephone Company,Northway,Northway,0,1236,NA,0,0,1236,11,1247,PCE,Provides power to Northway Village via intertie. Includes Northway Village's data.
Alaska Power & Telephone Company,Skagway,Skagway,0,188,3137,0,0,3325,115,3440,PCE,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Slana,Slana,0,1273,NA,0,0,1273,24,1297,PCE,Provides power to Chistochina via intertie. Includes Chistochina's data.
Alaska Power & Telephone Company,South Fork,Craig,0,0,5715,0,0,5715,NA,5715,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Thorne Bay Plant,Thorne Bay,0,76,0,0,0,76,NA,76,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data.
Alaska Power & Telephone Company,Tok,Tok,0,9753,NA,0,0,9753,160,9913,PCE,"Provides power to Tanacross, Tetlin, Dot Lake, and Dot Lake Village via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Viking,Craig,0,-12,0,0,0,-12,NA,-12,EIA,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Whale Pass,Whale Pass,0,299,NA,0,0,299,12,311,PCE,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,0,2266,NA,0,0,2266,63,2329,PCE,NA
Alaska Village Electric Cooperative,Ambler,Ambler,0,1257,NA,0,0,1257,31,1288,PCE,NA
Alaska Village Electric Cooperative,Anvik,Anvik,0,419,NA,0,0,419,16,435,PCE,NA
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,0,1115,NA,0,0,1115,41,1156,PCE,NA
Alaska Village Electric Cooperative,Chevak,Chevak,0,1712,NA,803,0,2515,68,2583,PCE,NA
Alaska Village Electric Cooperative,Eek,Eek,0,829,NA,0,0,829,14,843,PCE,NA
Alaska Village Electric Cooperative,Ekwok,Ekwok,0,503,NA,0,0,503,45,548,PCE,NA
Alaska Village Electric Cooperative,Elim,Elim,0,1190,NA,0,0,1190,16,1206,PCE,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,0,3187,NA,516,0,3703,62,3765,PCE,NA
Alaska Village Electric Cooperative,Gambell,Gambell,0,1454,NA,482,0,1936,93,2029,PCE,NA
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,0,727,NA,0,0,727,15,742,PCE,NA
Alaska Village Electric Cooperative,Grayling,Grayling,0,576,NA,0,0,576,34,610,PCE,NA
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,0,630,NA,0,0,630,25,655,PCE,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,0,2685,NA,563,0,3248,81,3329,PCE,NA
Alaska Village Electric Cooperative,Huslia,Huslia,0,977,NA,0,0,977,20,997,PCE,NA
Alaska Village Electric Cooperative,Kaltag,Kaltag,0,708,NA,NA,9,717,18,735,PCE,NA
Alaska Village Electric Cooperative,Kasigluk,Kasigluk,0,2411,NA,562,0,2973,112,3085,PCE,NA
Alaska Village Electric Cooperative,Kiana,Kiana,0,1525,NA,0,0,1525,36,1561,PCE,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,0,1267,NA,0,0,1267,33,1300,PCE,NA
Alaska Village Electric Cooperative,Kotlik,Kotlik,0,1966,NA,0,0,1966,44,2010,PCE,NA
Alaska Village Electric Cooperative,Koyuk,Koyuk,0,1302,NA,0,0,1302,16,1318,PCE,NA
Alaska Village Electric Cooperative,Marshall,Marshall,0,1585,NA,0,0,1585,31,1616,PCE,NA
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,0,682,NA,233,0,915,74,989,PCE,NA
Alaska Village Electric Cooperative,Minto,Minto,0,606,NA,0,0,606,12,618,PCE,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,0,2903,NA,0,0,2903,58,2961,PCE,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,0,1390,NA,0,0,1390,28,1418,PCE,NA
