"Fuel Use for Power Generation by Certified Utilities by AEA Energy Regions, 2013",...2,...3,...4
NA,Oil,Gas,Coal
AEA Energy Region,(Gallons),(Mcf),(Short Tons)
Aleutians,4305590,0,0
Bering Straits,3520839,0,0
Bristol Bay,3594869,0,0
Copper River/Chugach,4311653,0,0
Kodiak,609175,0,0
Lower Yukon-Kuskokwim,7183921,0,0
North Slope,2161074,770351,0
Northwest Arctic,2458798,0,0
Railbelt,27578544,32131899,394746
Southeast,2407106,0,0
Yukon-Koyukuk/Upper Tanana,2791963,0,0
Total (Physical Units),60923532,32902250,394746
Conversion Factor,0.13900000000000001,1.0249999999999999,19.536000000000001
Total MMBtu,8468370.9480000008,33724806.25,7711757.8560000006
