"Certified Utilities Installed Capacity by Prime Mover by Plant (kW), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
Utility Name,Plant Name,Community Name,Total Capacity,Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Other,Source,Notes
Alaska Power & Telephone Company,Thorne Bay Plant,Thorne Bay,1000,0,1000,0,0,0,EIA-F860,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data.
Alaska Power & Telephone Company,Tok,Tok,7600,0,7600,0,0,0,EIA-F860,"Provides power to Tanacross, Tetlin, Dot Lake, and Dot Lake Village via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Viking,Craig,1000,0,1000,0,0,0,EIA-F860,"Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
Alaska Power & Telephone Company,Whale Pass,Whale Pass,250,0,250,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,2100,0,2100,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Ambler,Ambler,1115,0,1115,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Anvik,Anvik,375,0,375,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,1025,0,1025,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Chevak,Chevak,2015,0,1615,0,400,0,"AEA Wind Program Manager, AEA Village Assessment",NA
Alaska Village Electric Cooperative,Eek,Eek,595,0,595,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Ekwok,Ekwok,370,0,370,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Elim,Elim,1600,0,1600,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,2800,0,2400,0,400,0,EIA-F860,NA
Alaska Village Electric Cooperative,Gambell,Gambell,1900,0,1600,0,300,0,EIA-F860,NA
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,480,0,480,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Grayling,Grayling,260,0,260,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,455,0,455,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,1900,0,1600,0,300,0,EIA-F860,NA
Alaska Village Electric Cooperative,Huslia,Huslia,796,0,796,0,0,0,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Kaltag,Kaltag,559,0,549,0,0,10,AEA Village Assessment,NA
Alaska Village Electric Cooperative,Kasigluk,Kasigluk,1900,0,1600,0,300,0,EIA-F860,NA
Alaska Village Electric Cooperative,Kiana,Kiana,1100,0,1100,0,0,0,EIA-F860,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,1100,0,1100,0,0,0,EIA-F860,NA
