"Communities Participating in Power Cost Equalization Program by AEA Energy Regions, 2013",...2,...3,...4,...5
AEA Energy Region,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,% Eligible Active in PCE program
Aleutians,12,0,1,100
Bering Straits,16,0,0,100
Bristol Bay,26,1,0,96
Copper River/Chugach,8,0,15,100
Kodiak,4,1,5,80
Lower Yukon-Kuskokwim,47,1,0,98
North Slope,7,0,2,100
Northwest Arctic,11,0,0,100
Railbelt,0,0,95,NA
Southeast,22,0,6,100
Yukon-Koyukuk/Upper Tanana,38,4,1,90
Total,191,7,125,NA
"Some utilities, both in urban and rural Alaska, serve multiple communities.",NA,NA,NA,NA
