"Revenue by Certified Utilities ($000) by AEA Energy Regions, 2013",...2,...3,...4,...5,...6
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,4579,22709,5504,32791,3.1247796330425603
Bering Straits,8182,8987,6028,23199,2.2107213170368194
Bristol Bay,7838,13985,6772,28596,2.725022060519199
Copper River/Chugach,7369,23786,2470,33621,3.2038735031723311
Kodiak,6682,4140,14549,25370,2.4176041990268593
Lower Yukon-Kuskokwim,19243,22571,12769,54578,5.200946077039335
North Slope,2316,7485,209,10008,0.95370054489005951
Northwest Arctic,7070,6093,4898,18061,1.7211016727877064
Railbelt,272610,261340,164336,698289,66.542625878370771
Southeast,43070,41511,19754,104336,9.9425759444093966
Yukon-Koyukuk/Upper Tanana,7754,6916,5869,20537,1.9570491697049515
Total,386713,419523,243158,1049386,100
Percent of Total,36.851358794571304,39.977949010183103,23.171454545801069,100,NA
