"Electricity Sales by Certified Utilities (MWh) by AEA Energy Regions, 2013",...2,...3,...4,...5,...6
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,8716,46273,9695,64687,1.0417530607042151
Bering Straits,17864,21674,12848,52388,0.84368357388922699
Bristol Bay,13991,25908,11569,51463,0.82878689324007959
Copper River/Chugach,22348,84270,5501,112120,1.8056387398728742
Kodiak,35392,22320,87947,145657,2.345736014392287
Lower Yukon-Kuskokwim,32332,39089,21466,92882,1.4958199914098491
North Slope,18195,63265,1456,82915,1.3353062443503332
Northwest Arctic,13246,13113,8244,34603,0.55726469243507903
Railbelt,1609035,2075137,1042301,4726473,76.117577165208374
Southeast,318627,323296,172570,814490,13.116970185863872
Yukon-Koyukuk/Upper Tanana,12301,10579,8877,31759,0.5114634386338085
Total,2102047,2724924,1382474,6209437,100
Percent of Total,33.852457155133386,43.883592022916083,22.264079658107491,100,NA
