AK Plant ID,Utility Name,Plant Name,Intertie Name,AEA Energy Region,ACEP Energy Region
128,"Copper Valley Elec Assn, Inc",Solomon Gulch,CopperValley_grid,Copper River/Chugach,Coastal
129,"Copper Valley Elec Assn, Inc",Valdez,CopperValley_grid,Copper River/Chugach,Coastal
130,"Copper Valley Elec Assn, Inc",Valdez Cogen,CopperValley_grid,Copper River/Chugach,Coastal
132,Cordova Electric Cooperative,Humpback Creek,Cordova_grid,Copper River/Chugach,Coastal
133,Cordova Electric Cooperative,Orca,Cordova_grid,Copper River/Chugach,Coastal
134,Cordova Electric Cooperative,Power Creek,Cordova_grid,Copper River/Chugach,Coastal
250,Tatitlek Village Ira Council,Tatitlek,Tatitlek_grid,Copper River/Chugach,Coastal
292,Cordova Electric Cooperative,"Cordova, Eyak",Cordova_grid,Copper River/Chugach,Coastal
27,Alaska Power & Telephone Company,Slana,Slana_grid,Copper River/Chugach,Coastal
32,Alaska Power & Telephone Company,Chistochina,Slana_grid,Copper River/Chugach,Coastal
38,Alaska Power & Telephone Company,Mentasta Lake,Slana_grid,Copper River/Chugach,Coastal
100,Karluk IRA Tribal Council,Karluk,Karluk_grid,Kodiak,Coastal
180,Kodiak Electric Assn Inc,ESS Battery Microgrid,Kodiak_grid,Kodiak,Coastal
181,Kodiak Electric Assn Inc,Flywheel Energy Storage System Microgrid,Kodiak_grid,Kodiak,Coastal
182,Kodiak Electric Assn Inc,Kodiak Microgrid,Kodiak_grid,Kodiak,Coastal
183,Kodiak Electric Assn Inc,Nymans Plant Microgrid,Kodiak_grid,Kodiak,Coastal
184,Kodiak Electric Assn Inc,Pillar Mountain Wind Project Microgrid,Kodiak_grid,Kodiak,Coastal
186,Kodiak Electric Assn Inc,Swampy Acres Microgrid,Kodiak_grid,Kodiak,Coastal
187,Kodiak Electric Assn Inc,Terror Lake Microgrid,Kodiak_grid,Kodiak,Coastal
2,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,Coastal
225,"Ouzinkie, City of",Ouzinkie,Ouzinkie_grid,Kodiak,Coastal
91,Alaska Village Electric Cooperative,Old Harbor,Old Harbor_grid,Kodiak,Coastal
185,Kodiak Electric Assn Inc,Port Lions Microgrid,Kodiak_grid,Kodiak,Coastal
193,Larsen Bay Utility Company,Larsen Bay,Larsen Bay_grid,Kodiak,Coastal
105,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,Rural Remote
108,Atmautluak Tribal Utilities,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,Rural Remote
178,Kipnuk Light Plant,Kipnuk,Kipnuk_grid,Lower Yukon-Kuskokwim,Rural Remote
191,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,Rural Remote
192,Kwigillingok Power Company,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,Rural Remote
195,Lime Village Electric Utility,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,Rural Remote
202,Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk_grid,Lower Yukon-Kuskokwim,Rural Remote
203,Middle Kuskokwim Electric,Crooked Creek,Crooked Creek_grid,Lower Yukon-Kuskokwim,Rural Remote
204,Middle Kuskokwim Electric,Red Devil,Red Devil_grid,Lower Yukon-Kuskokwim,Rural Remote
205,Middle Kuskokwim Electric,Sleetmute,Sleetmute_grid,Lower Yukon-Kuskokwim,Rural Remote
206,Middle Kuskokwim Electric,Stony River,Stony River_grid,Lower Yukon-Kuskokwim,Rural Remote
209,Napaskiak Electric Utility,Napaskiak,Napaskiak_grid,Lower Yukon-Kuskokwim,Rural Remote
210,Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak_grid,Lower Yukon-Kuskokwim,Rural Remote
223,Nunam Iqua Electric Company,Nunam Iqua,Nunam Iqua_grid,Lower Yukon-Kuskokwim,Rural Remote
233,Puvurnaq Power Company,Kongiganak,Kongiganak_grid,Lower Yukon-Kuskokwim,Rural Remote
259,Tuntutuliak Community,Tuntutuliak,Tuntutuliak_grid,Lower Yukon-Kuskokwim,Rural Remote
265,Ungusraq Power Company,Newtok,Newtok_grid,Lower Yukon-Kuskokwim,Rural Remote
3,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,Rural Remote
4,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,Rural Remote
45,Alaska Village Electric Cooperative,Alakanuk,Emmonak_grid,Lower Yukon-Kuskokwim,Rural Remote
47,Alaska Village Electric Cooperative,Bethel,Bethel_grid,Lower Yukon-Kuskokwim,Rural Remote
49,Alaska Village Electric Cooperative,Chevak,Chevak_grid,Lower Yukon-Kuskokwim,Rural Remote
51,Alaska Village Electric Cooperative,Emmonak,Emmonak_grid,Lower Yukon-Kuskokwim,Rural Remote
53,Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay_grid,Lower Yukon-Kuskokwim,Rural Remote
54,Alaska Village Electric Cooperative,Kasigluk,Kasigluk_grid,Lower Yukon-Kuskokwim,Rural Remote
57,Alaska Village Electric Cooperative,Kotlik,Kotlik_grid,Lower Yukon-Kuskokwim,Rural Remote
59,Alaska Village Electric Cooperative,Marshall,Marshall_grid,Lower Yukon-Kuskokwim,Rural Remote
65,Alaska Village Electric Cooperative,Pilot Station,Pilot Station_grid,Lower Yukon-Kuskokwim,Rural Remote
