Year,Coastal,Railbelt,Rural Remote
2011,9397,7707,5307
2012,9417,7731,5438
2013,9092,7468,5225
2014,8919,7162,4634
2015,8695,7104,5011
2016,8639,6917,4260
2017,9176,6976,4463
2018,8885,6595,4798
2019,8599,6398,4682
