"AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Reporting Name","Intertie Name","AEA Energy Region","PCE Community
(Y/N)","latitude","longitude"
"SR-1",0,1,"Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast",FALSE,58.3019444,-134.4197222
"SR-10",0,227,"TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope",FALSE,70.2055556,-148.5116667
"SR-100",331420,169,"Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits",TRUE,64.9319444,-161.1569444
"SR-101",332140,687,"Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana",TRUE,64.8802778,-157.7008333
"SR-102",332150,281,"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim",TRUE,60.8122222,-161.4358333
"SR-103",332160,376,"Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim",TRUE,59.8644444,-163.1341667
"SR-104",332170,353,"Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak",TRUE,57.54,-153.9786111
"SR-105",332180,330,"Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay",TRUE,59.1141667,-156.8588889
"SR-106",332190,570,"Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim",TRUE,61.3563889,-155.4355556
"SR-107",331430,169,"Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim",TRUE,61.5122222,-160.3580556
"SR-108",332200,264,"Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana",TRUE,65.0011111,-150.6338889
"SR-109",332210,321,"Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay",TRUE,58.9813889,-159.0583333
"SR-11",331005,684,"TDX Adak Generating LLC","Adak","Adak_grid","Aleutians",TRUE,51.88,-176.6580556
"SR-110",331440,169,"Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim",TRUE,61.8777778,-162.0811111
"SR-111",332220,44,"Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana",TRUE,62.9563889,-155.5958333
"SR-112",331450,169,"Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim",TRUE,60.3880556,-166.185
"SR-113",331160,2,"Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach",TRUE,62.9211111,-143.7691667
"SR-114",331460,169,"Alaska Village Electric Cooperative","Minto","Minto_grid","Yukon-Koyukuk/Upper Tanana",TRUE,65.150411,-149.349708
"SR-115",331470,169,"Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim",TRUE,62.0855556,-163.7294444
"SR-116",332280,22,"Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay",TRUE,58.7283333,-157.0138889
"SR-117",332290,319,"Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim",TRUE,60.6966667,-161.9519444
"SR-118",332300,625,"Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim",TRUE,60.7080556,-161.7661111
"SR-119",331170,2,"Alaska Power & Telephone Company","Naukati Bay","Prince of Wales Is._grid","Southeast",TRUE,55.8736111,-133.1847222
"SR-12",331010,449,"Akhiok, City of","Akhiok","Akhiok_grid","Kodiak",TRUE,56.9455556,-154.1702778
"SR-120",332320,340,"Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians",TRUE,56.0006152,-161.206974
"SR-121",331480,169,"Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay",TRUE,59.4527778,-157.3119444
"SR-122",332870,375,"Ungusraq Power Company","Newtok","Newtok_grid","Lower Yukon-Kuskokwim",TRUE,60.9427778,-164.6294444
"SR-123",331490,169,"Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim",TRUE,60.4794444,-164.7238889
"SR-124",332330,416,"Nikolai, City of","Nikolai","Nikolai_grid","Yukon-Koyukuk/Upper Tanana",TRUE,63.0133333,-154.375
"SR-125",332740,242,"Umnak Power Company","Nikolski","Nikolski_grid","Aleutians",TRUE,52.9380556,-168.8677778
"SR-126",331500,169,"Alaska Village Electric Cooperative","Noatak","Noatak_grid","Northwest Arctic",TRUE,67.5711111,-162.9652778
"SR-127",332340,150,"Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits",TRUE,64.5011111,-165.4063889
"SR-128",331510,169,"Alaska Village Electric Cooperative","Noorvik","Noorvik_grid","Northwest Arctic",TRUE,66.8383333,-161.0327778
"SR-129",331180,2,"Alaska Power & Telephone Company","Northway","Northway_grid","Yukon-Koyukuk/Upper Tanana",TRUE,62.9616667,-141.9372222
"SR-13",331020,412,"Akiachak Native Community","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim",TRUE,60.9094444,-161.4313889
"SR-130",332380,254,"North Slope Borough Power & Light","Nuiqsut","Nuiqsut_grid","North Slope",TRUE,70.2175,-150.9763889
"SR-131",331520,169,"Alaska Village Electric Cooperative","Nulato","Nulato_grid","Yukon-Koyukuk/Upper Tanana",TRUE,64.7194444,-158.1030556
"SR-132",332420,408,"Nunam Iqua Electric Company","Nunam Iqua","Nunam Iqua_grid","Lower Yukon-Kuskokwim",TRUE,62.5336111,-164.8411111
"SR-133",331530,169,"Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim",TRUE,60.8969444,-162.4594444
"SR-134",331540,169,"Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak",TRUE,57.2027778,-153.3038889
"SR-135",332440,357,"Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak",TRUE,57.9236111,-152.5022222
"SR-136",332450,662,"Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay",TRUE,59.7872222,-154.1061111
"SR-137",332460,24,"Pelican Utility","Pelican","Pelican_grid","Southeast",TRUE,57.9608333,-136.2275
"SR-138",332470,659,"Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay",TRUE,55.9139846,-159.1632767
"SR-139",332480,425,"Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay",TRUE,57.5641667,-157.5791667
"SR-14",331030,635,"Akiak City Council","Akiak","Akiak_grid","Lower Yukon-Kuskokwim",TRUE,60.9122222,-161.2138889
"SR-140",331550,169,"Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim",TRUE,61.9388889,-162.875
"SR-141",331560,169,"Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim",TRUE,62.0327778,-163.2877778
"SR-143",332390,254,"North Slope Borough Power & Light","Point Hope","Point Hope_grid","North Slope",TRUE,68.3486111,-166.7347222
"SR-144",332400,254,"North Slope Borough Power & Light","Point Lay","Point Lay_grid","North Slope",TRUE,69.743857,-163.008442
"SR-145",332590,447,"Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay",TRUE,60.2025,-154.3127778
"SR-146",332500,399,"Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay",TRUE,56.9325614,-158.6249699
"SR-147",331570,169,"Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim",TRUE,59.7488889,-161.9158333
"SR-148",332520,759,"Rampart Village Council","Rampart","Rampart_grid","Yukon-Koyukuk/Upper Tanana",TRUE,65.505,-150.17
"SR-149",332250,343,"Middle Kuskokwim Electric","Red Devil","Red Devil_grid","Lower Yukon-Kuskokwim",TRUE,61.7611111,-157.3125
"SR-15",331040,293,"Akutan, City of","Akutan","Akutan_grid","Aleutians",TRUE,54.1355556,-165.7730556
"SR-150",332530,364,"Ruby, City of","Ruby","Ruby_grid","Yukon-Koyukuk/Upper Tanana",TRUE,64.7394444,-155.4869444
"SR-151",331580,169,"Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim",TRUE,61.785,-161.3202778
"SR-152",332550,410,"Saint George, City of","Saint George","Saint George_grid","Aleutians",TRUE,56.6,-169.5416667
"SR-153",331660,169,"Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim",TRUE,62.0530556,-163.1658333
"SR-154",331670,169,"Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits",TRUE,63.4780556,-162.0391667
"SR-155",332560,339,"Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians",TRUE,57.1222222,-170.275
"SR-156",332540,749,"TDX Corporation","Sand Point","Sand Point_grid","Aleutians",TRUE,55.3397222,-160.4972222
"SR-157",331590,169,"Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits",TRUE,63.6941667,-170.4788889
"SR-158",331600,169,"Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim",TRUE,61.8427778,-165.5816667
"SR-159",331610,169,"Alaska Village Electric Cooperative","Selawik","Selawik_grid","Northwest Arctic",TRUE,66.6038889,-160.0069444
"SR-16",331240,169,"Alaska Village Electric Cooperative","Alakanuk","Emmonak_grid","Lower Yukon-Kuskokwim",TRUE,62.6888889,-164.6152778
