"Utility Name","Plant Name","Community Name","Fuel Type","Prime Mover","Net Generation MMBtu","Total Fuel MMBtu","Emission Factor","CO2 Metric Tons from Fuel","Efficiency (Max = 1.00)","Net Generation MWh","Fuel Use","Estimated Average Heat Content","Source","Notes"
"Akhiok, City of","Akhiok","Akhiok","DFO","IC","236","903","73.150000000000006","66","0.26","69","6510","0.13900000000000001","PCE",NA
"Akiachak Native Community","Akiachak","Akiachak","DFO","IC","6392","18578","73.150000000000006","1359","0.34","1873","133956","0.13900000000000001","PCE",NA
"Akiak City Council","Akiak","Akiak","DFO","IC","3911","12223","73.150000000000006","894","0.32","1146","88134","0.13900000000000001","PCE",NA
"Akutan, City of","Akutan","Akutan","DFO","IC","1708","5516","73.150000000000006","403","0.31","501","39771","0.13900000000000001","PCE",NA
"Alaska Electric Light & Power Company","Annex Creek","Juneau","WAT","HY","85491","239060",NA,NA,"0.36","25056","0",NA,"EIA",NA
"Alaska Electric Light & Power Company","Auke Bay","Juneau","DFO","GT","863","7889","73.150000000000006","577","0.11","253","58002","0.13900000000000001","EIA",NA
"Alaska Electric Light & Power Company","Auke Bay","Juneau","DFO","IC","72","401","73.150000000000006","29","0.18","21","2940","0.13900000000000001","EIA",NA
"Alaska Electric Light & Power Company","Gold Creek","Juneau","DFO","IC","48","156","73.150000000000006","11","0.31","14","1176","0.13900000000000001","EIA",NA
"Alaska Electric Light & Power Company","Gold Creek","Juneau","WAT","HY","16002","44747",NA,NA,"0.36","4690","0",NA,"EIA",NA
"Alaska Electric Light & Power Company","Lake Dorothy","Juneau","WAT","HY","281555","787313",NA,NA,"0.36","82519","0",NA,"EIA",NA
"Alaska Electric Light & Power Company","Lemon Creek","Juneau","DFO","GT","788","3907","73.150000000000006","286","0.2","231","28728","0.13900000000000001","EIA",NA
"Alaska Electric Light & Power Company","Lemon Creek","Juneau","DFO","IC","682","2226","73.150000000000006","163","0.31","200","16380","0.13900000000000001","EIA",NA
"Alaska Electric Light & Power Company","Salmon Creek 1","Juneau","WAT","HY","102606","286917",NA,NA,"0.36","30072","0",NA,"EIA",NA
"Alaska Electric Light & Power Company","Snettisham","Juneau","WAT","HY","883135","2469519",NA,NA,"0.36","258832","0",NA,"EIA",NA
"Alaska Environmental Power LLC","Delta Wind Farm","Fairbanks","WND","WT","5459","15265",NA,NA,"0.36","1600","0",NA,"EIA","In addition to Fairbanks, the GVEA service area includes 25 other communities."
"Alaska Power & Telephone Company","Allakaket","Allakaket","DFO","IC","2379","7964","73.150000000000006","583","0.3","697","57422","0.13900000000000001","PCE","Provides power to Alatna via intertie. Includes Alatna's data."
"Alaska Power & Telephone Company","Bettles","Bettles","DFO","IC","1957","6563","73.150000000000006","480","0.3","574","47322","0.13900000000000001","PCE","Provides power to Evansville via intertie. Includes Evansville's data."
"Alaska Power & Telephone Company","Chistochina","Chistochina","DFO","IC","161","573","73.150000000000006","42","0.28000000000000003","47","4132","0.13900000000000001","PCE","Receives power from Slana via intertie. Refer to Slana for fuel use and cost data."
