"","Utility Name","Community Name","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","source","Notes"
"44","Alaska Village Electric Cooperative","Kaltag","168","288","72","0.57999999999999996","53","90","13","0.57999999999999996","173","297","19","0.57999999999999996","394","676","104","0.57999999999999996","PCE",NA
"45","Alaska Village Electric Cooperative","Kasigluk","397","694","117","0.56999999999999995","210","366","22","0.56999999999999995","349","610","16","0.56999999999999995","956","1671","155","0.56999999999999995","PCE",NA
"46","Alaska Village Electric Cooperative","Kiana","402","622","124","0.65","120","185","11","0.65","416","644","18","0.65","937","1452","153","0.65","PCE",NA
"47","Alaska Village Electric Cooperative","Kivalina","336","517","88","0.65","141","217","8","0.65","323","497","16","0.65","801","1232","112","0.65","PCE",NA
"48","Alaska Village Electric Cooperative","Kotlik","472","762","134","0.62","224","361","15","0.62","470","758","18","0.62","1166","1880","167","0.62","PCE",NA
"49","Alaska Village Electric Cooperative","Koyuk","295","490","91","0.6","139","231","13","0.6","318","528","23","0.6","753","1249","127","0.6","PCE",NA
"50","Alaska Village Electric Cooperative","Lower Kalskag","172","283","85","0.61","40","65","3","0.61","87","143","9","0.61","298","492","97","0.61","PCE","Receives power from (Upper) Kalskag via intertie. Refer to (Upper) Kalskag for fuel use and cost data."
"51","Alaska Village Electric Cooperative","Marshall","348","582","113","0.6","139","232","13","0.6","433","725","25","0.6","920","1538","151","0.6","PCE",NA
"52","Alaska Village Electric Cooperative","Mekoryuk","172","309","92","0.56000000000000005","86","154","14","0.56000000000000005","220","395","21","0.56000000000000005","477","859","128","0.56000000000000005","PCE",NA
"53","Alaska Village Electric Cooperative","Minto","169","278","75","0.61","35","57","9","0.61","144","236","12","0.61","348","571","96","0.61","PCE",NA
"54","Alaska Village Electric Cooperative","Mountain Village","608","1000","195","0.61","348","572","18","0.61","734","1208","30","0.61","1689","2779","243","0.61","PCE",NA
"55","Alaska Village Electric Cooperative","New Stuyahok","375","581","109","0.64","175","271","27","0.64","315","489","18","0.64","865","1341","153","0.64","PCE",NA
"56","Alaska Village Electric Cooperative","Nightmute","161","294","58","0.55000000000000004","77","141","13","0.55000000000000004","93","171","14","0.55000000000000004","331","605","85","0.55000000000000004","PCE","Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute and Tununak fuel use and cost data."
"57","Alaska Village Electric Cooperative","Noatak","732","839","125","0.87","202","232","14","0.87","624","715","16","0.87","1558","1785","155","0.87","PCE",NA
"58","Alaska Village Electric Cooperative","Noorvik","600","923","151","0.65","106","163","10","0.65","512","788","20","0.65","1218","1874","181","0.65","PCE",NA
"59","Alaska Village Electric Cooperative","Nulato","281","463","109","0.61","33","55","9","0.61","282","466","24","0.61","596","984","143","0.61","PCE",NA
"60","Alaska Village Electric Cooperative","Nunapitchuk","361","632","134","0.56999999999999995","116","203","17","0.56999999999999995","207","363","16","0.56999999999999995","685","1197","168","0.56999999999999995","PCE","Receives power from Kasigluk. Refer to Kasigluk for fuel use and cost data."
"61","Alaska Village Electric Cooperative","Old Harbor","244","391","97","0.62","46","74","16","0.62","202","323","15","0.62","492","788","129","0.62","PCE",NA
"62","Alaska Village Electric Cooperative","Pilot Station","448","765","139","0.59","149","255","10","0.59","432","738","19","0.59","1029","1757","167","0.59","PCE",NA
"63","Alaska Village Electric Cooperative","Pitkas Point","79","134","31","0.59","15","26","4","0.59","62","105","7","0.59","157","265","41","0.59","PCE","Receives power from Saint Mary's via intertie. Refer to Saint Mary's for fuel use and cost data."
"64","Alaska Village Electric Cooperative","Quinhagak","455","876","179","0.52","244","469","18","0.52","304","584","25","0.52","1003","1929","222","0.52","PCE",NA
"65","Alaska Village Electric Cooperative","Russian Mission","229","378","73","0.61","50","82","10","0.61","315","520","15","0.61","593","980","98","0.61","PCE",NA
"66","Alaska Village Electric Cooperative","Saint Mary's","529","893","187","0.59","454","766","38","0.59","680","1148","26","0.59","1663","2807","251","0.59","PCE",NA
"67","Alaska Village Electric Cooperative","Saint Michael","386","648","101","0.6","235","395","13","0.6","372","625","18","0.6","993","1668","132","0.6","PCE",NA
"68","Alaska Village Electric Cooperative","Savoonga","487","902","169","0.54","197","365","18","0.54","455","843","22","0.54","1139","2110","208","0.54","PCE",NA
"69","Alaska Village Electric Cooperative","Scammon Bay","362","566","125","0.64","139","218","23","0.64","515","804","21","0.64","1016","1588","168","0.64","PCE",NA
"70","Alaska Village Electric Cooperative","Selawik","705","1143","195","0.62","223","361","25","0.62","783","1269","29","0.62","1711","2773","249","0.62","PCE",NA
"71","Alaska Village Electric Cooperative","Shageluk","77","116","37","0.66","70","106","5","0.66","86","130","12","0.66","233","352","54","0.66","PCE",NA
"72","Alaska Village Electric Cooperative","Shaktoolik","272","485","72","0.56000000000000005","143","254","12","0.56000000000000005","156","278","16","0.56000000000000005","572","1017","100","0.56000000000000005","PCE",NA
"73","Alaska Village Electric Cooperative","Shishmaref","476","789","147","0.6","221","366","18","0.6","280","464","24","0.6","977","1620","189","0.6","PCE",NA
"74","Alaska Village Electric Cooperative","Shungnak","311","430","66","0.72","101","140","11","0.72","305","422","13","0.72","717","993","91","0.72","PCE","Provides power to Kobuk via intertie. Includes Kobuk's data."
"75","Alaska Village Electric Cooperative","Stebbins","380","641","146","0.59","191","323","14","0.59","294","497","19","0.59","866","1461","178","0.59","PCE",NA
"76","Alaska Village Electric Cooperative","Teller","181","286","79","0.63","109","172","11","0.63","213","335","20","0.63","503","793","110","0.63","PCE",NA
"77","Alaska Village Electric Cooperative","Togiak","822","1321","259","0.62","469","753","25","0.62","521","837","33","0.62","1812","2911","318","0.62","PCE",NA
"78","Alaska Village Electric Cooperative","Toksook Bay","391","714","138","0.55000000000000004","156","286","18","0.55000000000000004","330","604","22","0.55000000000000004","877","1603","177","0.55000000000000004","PCE","Provides power to Nightmute and Tununak via intertie. Includes Nightmute's and Tununak's data."
"79","Alaska Village Electric Cooperative","Tununak","233","426","94","0.55000000000000004","69","126","11","0.55000000000000004","163","297","15","0.55000000000000004","465","850","120","0.55000000000000004","PCE","Receives power from Toksook Bay via intertie. Refer to Toksook Bay for Nightmute's and Tununak's fuel use and cost data."
"80","Alaska Village Electric Cooperative","Wales","150","218","52","0.69","75","109","11","0.69","149","217","14","0.69","375","545","77","0.69","PCE",NA
