"","Utility Name","Community Name","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","source","Notes"
"160","Nushagak Electric Cooperative","Dillingham","2502","5543","990","0.45","4946","10959","383","0.45","801","1775","100","0.45","8249","18278","1472","0.45","PCE","Provides power to Aleknagik via intertie. Includes Aleknagik's data."
"161","Ouzinkie, City of","Ouzinkie","126","306","79","0.41","98","239","20","0.41","60","146","11","0.41","283","690","110","0.41","PCE",NA
"162","Pedro Bay Village Council","Pedro Bay","52","57","19","0.91","62","69","11","0.91","25","28","5","0.91","139","153","35","0.91","PCE",NA
"163","Pelican Utility","Pelican","194","318","64","0.61","109","178","7","0.61","173","284","29","0.61","476","780","100","0.61","PCE",NA
"164","Petersburg, City of","Petersburg","1972","20323","1361","0.1","1026","8977","684","0.11","2366","21896","38","0.11","5365","51196","2083","0.1","EIA",NA
"165","Pilot Point Electric Utility","Pilot Point","74","148","35","0.5","64","129","15","0.5","47","95","14","0.5","186","371","65","0.5","PCE",NA
"166","Port Heiden Utilities","Port Heiden","143","191","52","0.75","92","123","20","0.75","194","259","14","0.75","429","572","86","0.75","PCE",NA
"167","Puvurnaq Power Company","Kongiganak","399","614","103","0.65","219","337","13","0.65","61","94","9","0.65","679","1045","125","0.65","PCE",NA
"168","Ruby, City of","Ruby","232","276","122","0.84","195","232","20","0.84","90","107","21","0.84","518","616","163","0.84","PCE",NA
"169","Saint George, City of","Saint George","159","161","41","0.99","128","129","14","0.99","270","273","21","0.99","556","564","75","0.99","PCE",NA
"170","Saint Paul Municipal Electric","Saint Paul","422","795","149","0.53","718","1355","33","0.53","821","1549","48","0.53","1961","3700","230","0.53","PCE",NA
"171","Seward, City of","Seward","3182","15611","2074","0.2","1814","8392","507","0.22","5912","33947","125","0.17","10908","57950","2706","0.19","EIA","The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"172","Sitka, City & Borough of","Sitka","4875","45559","3685","0.11","6349","57230","1588","0.11","766","6776","21","0.11","11990","109565","5294","0.11","EIA",NA
"173","Takotna Community Assoc Inc","Takotna","68","67","23","1.02","71","69","9","1.02","49","48","9","1.02","188","184","41","1.02","PCE",NA
"174","Tanalian Electric Cooperative","Port Alsworth","190","277","69","0.68","238","348","36","0.68","62","91","18","0.68","490","716","123","0.68","PCE",NA
"175","Tanana Power Company Inc","Tanana","224","314","110","0.71","272","381","30","0.71","239","335","18","0.71","735","1030","157","0.71","PCE",NA
"176","Tatitlek Village Ira Council","Tatitlek","111","125","58","0.88","75","85","13","0.88","168","190","10","0.88","353","399","81","0.88","PCE",NA
"177","TDX Adak Generating LLC","Adak","436","377","133","1.1599999999999999","773","668","86","1.1599999999999999","674","582","25","1.1599999999999999","1883","1627","244","1.1599999999999999","PCE",NA
"178","TDX Corporation","Sand Point","834","1429","287","0.57999999999999996","912","1563","141","0.57999999999999996","397","681","44","0.57999999999999996","2143","3673","472","0.57999999999999996","PCE",NA
"179","TDX Manley Generating LLC","Manley Hot Springs","170","182","89","0.93","153","163","16","0.93","28","30","4","0.93","350","375","109","0.93","PCE",NA
"180","Tenakee Springs, City of","Tenakee Springs","177","241","128","0.73","55","75","21","0.73","22","31","14","0.73","254","347","163","0.73","PCE",NA
"181","Tuluksak Traditional","Tuluksak","216","315","95","0.69","103","151","9","0.69","51","75","9","0.69","371","540","113","0.69","PCE",NA
"182","Tuntutuliak Community","Tuntutuliak","328","504","95","0.65","249","383","21","0.65","48","74","13","0.65","625","961","129","0.65","PCE",NA
"183","Twin Hills Village Council","Twin Hills","88","105","28","0.84","81","96","4","0.84","46","55","8","0.84","215","255","41","0.84","PCE",NA
"184","Umnak Power Company","Nikolski","33","55","14","0.6","37","61","7","0.6","36","60","6","0.6","106","176","28","0.6","PCE",NA
"185","Unalakleet Valley Electric Cooperative","Unalakleet","625","1487","284","0.42","829","1975","45","0.42","283","673","30","0.42","1737","4135","360","0.42","PCE",NA
"186","Unalaska, City of","Unalaska","1896","3994","696","0.47","18703","39394","182","0.47","1748","3681","75","0.47","22348","47070","954","0.47","PCE",NA
"187","Ungusraq Power Company","Newtok","224","280","67","0.8","90","113","17","0.8","38","47","6","0.8","352","440","90","0.8","PCE",NA
"188","Venetie Village Electric","Venetie","192","214","91","0.9","211","234","9","0.9","81","90","8","0.9","484","537","107","0.9","PCE",NA
"189","White Mountain, City of","White Mountain","156","251","67","0.62","197","318","22","0.62","80","129","13","0.62","433","698","101","0.62","PCE",NA
"190","Wrangell, City of","Wrangell","1525","14362","1174","0.11","2255","21096","814","0.11","0","0","0",NA,"3780","35458","1988","0.11","EIA",NA
"191","Yakutat Power Inc","Yakutat","747","1435","292","0.52","1568","3013","92","0.52","577","1108","59","0.52","2892","5556","443","0.52","PCE",NA
