"","Utility Name","Community Name","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","source","Notes"
"2","Akhiok, City of","Akhiok","5500","2500","0.45","22000","10000","0.45","11000","5000","0.45","PCE",NA
"3","Akiachak Native Community","Akiachak","3746","2249","0.6","8947","5368","0.6","26781","16063","0.6","PCE",NA
"4","Akiak City Council","Akiak","3289","2072","0.63","34071","21429","0.63","15833","10000","0.63","PCE",NA
"5","Akutan, City of","Akutan","4675","1500","0.32","11688","3750","0.32","9286","3000","0.32","PCE",NA
"6","Alaska Electric Light & Power Company","Juneau","10111","1294","0.13","58712","6193","0.11","1109208","107927","0.1","EIA",NA
"7","Alaska Power & Telephone Company","Allakaket","2958","2563","0.87","12941","11235","0.87","13176","11412","0.87","PCE","Provides power to Alatna via intertie. Includes Alatna's data."
"8","Alaska Power & Telephone Company","Bettles","3970","2848","0.72","6091","4364","0.72","15714","11286","0.72","PCE","Provides power to Evansville via intertie. Includes Evansville's data."
"9","Alaska Power & Telephone Company","Chistochina","4184","2980","0.71","7250","5188","0.71","0","0","0.71","PCE","Receives power from Slana via intertie. Refer to Slana for fuel use and cost data."
"10","Alaska Power & Telephone Company","Coffman Cove","4075","1020","0.25","4636","1152","0.25","8375","2125","0.25","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data."
"11","Alaska Power & Telephone Company","Craig","5481","1379","0.25","21282","5357","0.25","30420","7652","0.25","PCE","Provides power to Hollis, Klawock, Thorne Bay, Kasaan and Hydaburg via intertie. Includes data for all communities."
"12","Alaska Power & Telephone Company","Dot Lake Village","3962","1923","0.48","9714","4714","0.48","20000","9667","0.48","PCE","Receives power from Tok via intertie. Refer to Tok for fuel use and cost data."
"13","Alaska Power & Telephone Company","Eagle","2595","1740","0.67","6850","4600","0.67","7318","4909","0.67","PCE","Provides power to Eagle Village via intertie. Includes Eagle Village's data."
"14","Alaska Power & Telephone Company","Haines","5215","1317","0.25","14931","3773","0.25","39547","9981","0.25","PCE","Part of the Alaska Power Company's grid in the Upper Lynn Canal service area."
"15","Alaska Power & Telephone Company","Healy Lake","3250","5750","1.81","12000","21000","1.81",NA,NA,"1.81","PCE",NA
"16","Alaska Power & Telephone Company","Hollis","4664","1176","0.25","18400","4667","0.25","6375","1625","0.25","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data."
"17","Alaska Power & Telephone Company","Hydaburg","5563","1389","0.25","6917","1722","0.25","23000","5733","0.25","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data."
"18","Alaska Power & Telephone Company","Klawock","6159","1549","0.25","47481","11954","0.25","29543","7429","0.25","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost data."
"19","Alaska Power & Telephone Company","Mentasta Lake","3039","2176","0.71","9250","6583","0.71","11875","8500","0.71","PCE",NA
"20","Alaska Power & Telephone Company","Naukati Bay","4452","2597","0.57999999999999996","8889","5111","0.57999999999999996","0","0","0.57999999999999996","PCE",NA
"21","Alaska Power & Telephone Company","Northway Village","4276","3034","0.71","21211","15053","0.71","17810","12667","0.71","PCE","Receives power from Northway via intertie. Refer to Northway for fuel use and cost data."
"22","Alaska Power & Telephone Company","Skagway","5357","1355","0.25","14937","3781","0.25","22737","5758","0.25","PCE","Part of the Alaska Power Company's grid in the Upper Lynn Canal service area."
"23","Alaska Power & Telephone Company","Slana","3897","2769","0.71","6167","4417","0.71","18667","13167","0.71","PCE","Provides power to Chistochina via intertie. Includes Chistochina's data."
"24","Alaska Power & Telephone Company","Tetlin","3783","1826","0.49","4600","2200","0.49","22714","11000","0.49","PCE","Receives power from Tok via intertie. Refer to Tok for fuel use and cost data."
"25","Alaska Power & Telephone Company","Thorne Bay","4687","1177","0.25","9856","2481","0.25","16473","4145","0.25","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for Thorne Bay and Kaasan fuel use and cost data."
"26","Alaska Power & Telephone Company","Tok","5207","2520","0.48","17401","8426","0.48","27520","13320","0.48","PCE","Provides power to Tanacross, Tetlin, Dot Lake, and Dot Lake Village via intertie. Includes data for all communities."
"27","Alaska Power & Telephone Company","Whale Pass","2873","1714","0.59","9000","5375","0.59","6250","3750","0.59","PCE",NA
"28","Alaska Village Electric Cooperative","Alakanuk","4925","3044","0.62","18955","11682","0.62","57824","35706","0.62","PCE",NA
"29","Alaska Village Electric Cooperative","Ambler","5651","3735","0.66","13000","8556","0.66","31950","21100","0.66","PCE",NA
"30","Alaska Village Electric Cooperative","Anvik","3775","2450","0.65","9750","6250","0.65","8500","5500","0.65","PCE",NA
"31","Alaska Village Electric Cooperative","Brevig Mission","5298","3074","0.57999999999999996","13636","7909","0.57999999999999996","27813","16125","0.57999999999999996","PCE",NA
"32","Alaska Village Electric Cooperative","Chevak","4981","2626","0.53","21778","11500","0.53","46667","24619","0.53","PCE",NA
"33","Alaska Village Electric Cooperative","Eek","3505","2214","0.63","12333","7833","0.63","15889","10056","0.63","PCE",NA
"34","Alaska Village Electric Cooperative","Ekwok","4767","3349","0.7","9609","6739","0.7","5625","3875","0.7","PCE",NA
"35","Alaska Village Electric Cooperative","Elim","4806","2898","0.6","20000","12000","0.6","21619","13048","0.6","PCE",NA
"36","Alaska Village Electric Cooperative","Emmonak","5202","2968","0.56999999999999995","29643","16905","0.56999999999999995","43250","24679","0.56999999999999995","PCE",NA
"37","Alaska Village Electric Cooperative","Gambell","4723","2538","0.54","20667","11133","0.54","34810","18714","0.54","PCE",NA
"38","Alaska Village Electric Cooperative","Goodnews Bay","4627","2904","0.63","13286","8286","0.63","16071","10071","0.63","PCE",NA
"39","Alaska Village Electric Cooperative","Grayling","3557","2262","0.63","16000","10125","0.63","14786","9357","0.63","PCE",NA
"40","Alaska Village Electric Cooperative","Holy Cross","3974","2372","0.6","10429","6286","0.6","14529","8706","0.6","PCE",NA
"41","Alaska Village Electric Cooperative","Hooper Bay","4211","2366","0.56000000000000005","28136","15818","0.56000000000000005","48321","27143","0.56000000000000005","PCE",NA
"42","Alaska Village Electric Cooperative","Huslia","5215","3112","0.6","3900","2300","0.6","17429","10429","0.6","PCE",NA
"43","Alaska Village Electric Cooperative","Kalskag","5077","3077","0.61","12000","7308","0.61","19438","11813","0.61","PCE","Provides power to Lower Kalskag via intertie. Includes Lower Kalskag's data."
