"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"Net Generation by Prime Mover by Operators/Utilities (MWh), 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK PLANT ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Net Generation,Data source,Number of monthly records,Communities connected to plant,Notes
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0,285.17199999999997,2.1419999999999999,0,0,0,0,287.31399999999996,PCE,8,Akutan,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,0,141.86500000000004,371.32000000000005,0,0,0,0,513.18500000000006,PCE,24,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,0,647.11200000000008,0,0,0,0,0,647.11200000000008,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,0,2436.21,0,0,0,0,0,2436.21,PCE,12,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,0,1711.3208412796898,2760,0,0,0,0,4471.3208412796894,PCE,24,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,0,327.58199999999999,0,0,0,0,0,327.58199999999999,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,0,604.59100000000001,0,0,0,0,0,604.59100000000001,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0,0,0,0,707.20500000000015,0,0,707.20500000000015,PCE,12,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,0,2017.68,0,0,0,0,0,2017.68,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,0,751.32999999999993,0,0,742.24699999999984,0,0,1493.5769999999998,PCE,12,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,0,201.31,0,0,0,0,0,201.31,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,0,39395,0,0,0,0,0,39395,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,0,726,0,0,0,0,0,726,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,0,31335.999999999996,0,0,0,0,0,31335.999999999996,EIA923,24,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,0,19096,0,0,0,0,0,19096,EIA923,12,Unalaska,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,Unalaska,NA
P287,0,Peter Pan Seafoods,King Cove,King Cove_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,King Cove,NA
P135,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,0,0,0,0,0,0,0,0,0,0,Diomede,NA
P153,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,0,941.40800000000002,0,0,0,0,0,941.40800000000002,PCE,12,Golovin,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,0,29764.067000000003,0,0,1813.8009999999999,0,0,31577.867999999999,PCE,24,Nome,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,0,3634.779,0,0,986.5229999999998,0,0,4621.3020000000006,PCE,24,Unalakleet,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,0,767.3,0,0,0,0,0,767.3,PCE,12,NA,NA
P48,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,0,1143.2059999999999,0,0,0,0,0,1143.2059999999999,PCE,12,Brevig Mission,NA
P50,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,0,1263.8249999999998,0,0,0,0,0,1263.8249999999998,PCE,12,Elim,NA
P52,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,0,1415.8040000000001,0,0,535.70500000000004,0,0,1951.509,PCE,24,Gambell,NA
P58,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,0,1252.9859999999999,0,0,0,0,0,1252.9859999999999,PCE,12,Koyuk,NA
P68,169,Alaska Village Electric Cooperative,Savoonga,Savoonga_grid,Bering Straits,0,1920.836,0,0,258.53800000000001,0,0,2179.3739999999993,PCE,22,Savoonga,NA
P71,169,Alaska Village Electric Cooperative,Shishmaref,Shishmaref_grid,Bering Straits,0,1671.3360000000002,0,0,0,0,0,1671.3360000000002,PCE,12,Shishmaref,NA
P74,169,Alaska Village Electric Cooperative,Stebbins,Stebbins_grid,Bering Straits,0,2219.982,0,0,0,0,0,2219.982,PCE,12,Stebbins,NA
P95,169,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik_grid,Bering Straits,0,794.51,0,0,329.26900000000001,0,0,1123.779,PCE,24,Shaktoolik,NA
P96,169,Alaska Village Electric Cooperative,Teller,Teller_grid,Bering Straits,0,851.04700000000003,0,0,0,0,0,851.04700000000003,PCE,12,Teller,NA
P98,169,Alaska Village Electric Cooperative,Wales,Wales_grid,Bering Straits,0,622.39099999999996,0,0,0,0,0,622.39099999999996,PCE,12,Wales,NA
P73,169,Alaska Village Electric Cooperative,Saint Michael,SaintMichael_grid,Bering Straits,0,1130.4499999999998,0,0,0,0,0,1130.4499999999998,PCE,8,Saint Michael,NA
P116,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,0,80.819000000000003,561.99400000000003,0,0,0,0,642.81299999999999,PCE,20,Chignik Lagoon,NA
P117,437,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake_grid,Bristol Bay,0,370.63599999999997,0,0,0,0,0,370.63599999999997,PCE,12,Chignik Lake,NA
P118,297,"Chignik, City of",Chignik,Chignik_grid,Bristol Bay,0,898.57,0,0,0,0,0,898.57,PCE,12,Chignik,NA
