"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Revenue by  Operators/Utilities ($000) by AEA Energy Regions, 2015",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercialb,Otherb,Region Totala,Percent of Statewide Total
Aleutians,3767.5074717333337,18876.187680650008,4819.6125872666671,27463.307739649998,2.5016859277960473
Bering Straits,7954.851737983332,7553.7511951166643,7382.514803383332,22891.117736483331,2.0851962791868957
Bristol Bay,7730.2129147333335,15583.651319175,5857.8254414666671,29171.689675374997,2.6573057492836778
Copper River/Chugach,6086.607836733333,19917.454672783329,1895.7324125666667,27899.794922083336,2.5414463911862719
Kodiak,6438.3686348833335,4168.1061728333325,14152.084938675001,24758.559746391667,2.2553051911013204
Lower Yukon-Kuskokwim,18041.529631068945,17917.397205118185,13985.976106213635,49944.90294240076,4.5495780057022266
North Slope,2449.3984120416667,25304.561232849999,211.5799731583333,27965.539618049999,2.5474352029596465
Northwest Arctic,6921.3205201320488,6068.3523681903835,4750.5971119538463,17740.270000276279,1.6159955761963563
Railbelt,299559.59999999998,306946.20000000007,140627.29999999999,747133.1,68.057802074662149
Southeast,41702.492181391666,38560.042372083328,23472.292374091667,103734.82692756667,9.449406430106853
Yukon-Koyukuk/Upper Tanana,7197.3737773749999,6282.4193929500007,5609.0878950583328,19088.881065383339,1.7388431718185493
Total,407849.26311807596,467178.12361175037,222764.60364383413,1097791.9903736603,99.999999999999986
Percent of Total,37.15177981752759,42.556160703334598,20.292059479137823,100,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
