"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Operators/Utilities Net Generation and Total Disposition (MWh), 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK sales reporting ID,PCE ID,RCA CPCN,Utility Name,Index Community,Intertie name,Energy Region,Net Generation,Purchased Power,Net Wheeled Power,Total Disposition,Sales to Consumers,Sales for Resale,Furnished without Payment,Used by facility,Unaccountable / Energy Loss,Source,Communities reported,Number of monthly records,Notes
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,2017.68,0,0,2017.68,1258.4580000000001,0,0,0,664.02199999999993,PCE,Adak,0,NA
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,327.58199999999999,0,0,327.58199999999999,262.983,0,0,0,43.240999999999985,PCE,Nelson Lagoon,0,NA
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,201.31,0,0,201.31,170.81200000000001,0,0,0,12.74799999999999,PCE,Nikolski,0,NA
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,287.31400000000002,0,0,287.31400000000002,248.572,0,0,0,30.408999999999992,PCE,Akutan,0,NA
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,604.59100000000001,0,0,604.59100000000001,469.529,0,7.8129999999999997,0,92.63900000000001,PCE,Saint George,0,NA
SR-155,332560,339,Saint Paul Public Electric Utility Electric,Saint Paul,Saint Paul_grid,Aleutians,3357.0889999999999,707.20500000000004,0,3357.0889999999999,3532.7289999999998,0,0,0,361.23100000000022,PCE,Saint Paul,0,NA
SR-156,332540,230,"SAND POINT GENERATING, LLC",Sand Point,Sand Point_grid,Aleutians,2936.279,961.18100000000004,0,2936.279,3418.7910000000002,0,0,0,383.14899999999989,PCE,Sand Point,0,NA
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,47976.249000000003,0,0,47976.249000000003,45988.362999999998,0,0,0,998.70000000000437,PCE/EIA861,Unalaska,0,NA
SR-24,331750,291,"Atka, City of",Atka,Atka_grid,Aleutians,513.18499999999995,0,0,513.18499999999995,400.48599999999999,0,1.0269999999999999,0,68.734999999999957,PCE,Atka,0,NA
