"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Operators/Utilities Net Generation by Fuel Type (MWh), 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage (MWH),Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Number of monthly records,Communities connected to plant,Notes
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,141.86500000000004,0,0,371.32000000000005,0,0,0,0,18372,0,0,PCE,24,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,647.11200000000008,0,0,0,0,0,0,0,53694,0,0,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,2436.21,0,0,0,0,0,0,0,183133,0,0,PCE,12,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,1711.3208412796898,0,0,2760,0,0,0,0,121352,0,0,PCE,24,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,327.58199999999999,0,0,0,0,0,0,0,28230,0,0,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,604.59100000000001,0,0,0,0,0,0,0,50156,0,0,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0,0,0,0,707.20500000000015,0,0,0,0,0,0,PCE,12,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,2017.68,0,0,0,0,0,0,0,160299,0,0,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,751.32999999999993,0,0,0,742.24699999999984,0,0,0,53866,0,0,PCE,12,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,201.31,0,0,0,0,0,0,0,17056,0,0,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,39395,0,0,0,0,0,0,0,2608704,0,0,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,726,0,0,0,0,0,0,0,53760,0,0,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,26575.321999999996,0,0,0,0,0,0,4760.6780000000008,2063544,0,0,EIA923,24,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,19096,0,0,0,0,0,0,0,1241016,0,0,EIA923,12,Unalaska,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,285.17199999999997,0,0,2.1419999999999999,0,0,0,0,22149,0,0,PCE,8,Akutan,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,0,0,0,Unalaska,NA
P135,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,Diomede,NA
P153,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,941.40800000000002,0,0,0,0,0,0,0,68757,0,0,PCE,12,Golovin,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,29764.067000000003,0,0,0,1813.8009999999999,0,0,0,1895055,0,0,PCE,24,Nome,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,3634.779,0,0,0,986.5229999999998,0,0,0,238674,0,0,PCE,24,Unalakleet,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,767.3,0,0,0,0,0,0,0,60465,0,0,PCE,12,0,NA
P48,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,1143.2059999999999,0,0,0,0,0,0,0,80068,0,0,PCE,12,Brevig Mission,NA
P50,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,1263.8249999999998,0,0,0,0,0,0,0,88554,0,0,PCE,12,Elim,NA
P52,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,1415.8040000000001,0,0,0,535.70500000000004,0,0,0,104865,0,0,PCE,24,Gambell,NA
P58,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,1252.9859999999999,0,0,0,0,0,0,0,85473,0,0,PCE,12,Koyuk,NA
