"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Greenhouse Gas Emissions by Fuel Type by Operators/Utilities (Tons) by AEA Energy Regions, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,68297.44178400001,0,0,0,0,0,0,68297.44178400001,2.236114831535985E-2
Bering Straits,33472.423225999999,0,0,0,0,0,0,33472.423225999999,1.0959148698398657E-2
Bristol Bay,38165.114526000005,0,0,0,0,0,0,38165.114526000005,1.2495574711094228E-2
Copper River/Chugach,34783.429896000001,0,0,0,0,0,0,34783.429896000001,1.1388383144441464E-2
Kodiak,1644.3362319999999,0,0,0,0,0,0,1644.3362319999999,5.3836930642819285E-4
Lower Yukon-Kuskokwim,70410.995247999992,0,0,0,0,0,0,70410.995247999992,2.3053143231222397E-2
North Slope,22651.623500000002,112562.95622000001,0,0,0,0,0,135214.57972000001,4.4270373714441147E-2
Northwest Arctic,23434.230512000002,0,0,0,0,0,0,23434.230512000002,7.6725612328560769E-3
Railbelt,259042.56640666665,1549198.7063900002,797228.91200333321,0,0,0,0,2605470.1847999999,0.85305252600558856
Southeast,16196.943201999999,0,0,0,0,0,0,16196.943201999999,5.3030134033545838E-3
Yukon-Koyukuk/Upper Tanana,27200.772345999994,0,0,0,0,0,0,27200.772345999994,8.905758236814906E-3
Total,595299.87687866658,1661761.6626100002,797228.91200333321,0,0,0,0,3054290.4514919999,1
Percent of Total,0.1949061120195254,0.54407453678750206,0.26101935119297259,0,0,0,0,1,NA
