"Early Release, Subject to Revision",...2,...3,...4
"Fuel Use for Power Generation by Operators/Utilities by AEA Energy Regions, 2015",NA,NA,NA
NA,Oil,Gas,Coal
AEA Energy Region,(Gallons),(Mcf),(Short Tons)
Aleutians,7075465,0,0
Bering Straits,3271562,0,0
Bristol Bay,3730219,0,0
Copper River/Chugach,3839624,0,0
Kodiak,160713,0,0
Lower Yukon-Kuskokwim,6881903,0,0
North Slope,2213945,2173731,0
Northwest Arctic,2290442,0,0
Railbelt,27842808,29810568,555683
Southeast,1583070,0,0
Yukon-Koyukuk/Upper Tanana,2658574,0,0
Total (Physical Units),61548325,31984299,555683
Conversion Factor,0.13900000000000001,1.0249999999999999,19.536000000000001
Total MMBtu,8555217.1750000007,32783906.474999998,10855823.088000001
Percent ot Statewide MMBtu Total,0.16390891666092003,0.62810498954167937,0.20798609379740071
