"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Customers by Operators/Utilities (Accounts) by AEA Energy Regions, 2015",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,1679,684,376,2715,0.81058810182061369
Bering Straits,3266,636,528,4301,1.2841029193114033
Bristol Bay,3111,1113,599,4763,1.4220372482399939
Copper River/Chugach,4224,1526,158,5897,1.7606033283374436
Kodiak,5045,1134,156,6333,1.8907751192743818
Lower Yukon-Kuskokwim,6819,1597,920,9318,2.7819741925467696
North Slope,2247,1029,46,3315,0.98972359393566645
Northwest Arctic,2044,283,299,2607,0.77834371323990426
Railbelt,217647,30257,534,248438,74.173438983465786
Southeast,33052,8763,847,42589,12.715335789479971
Yukon-Koyukuk/Upper Tanana,3346,736,644,4666,1.3930770103480603
Total,282480,47758,5107,334942,99.999999999999986
Percent of Total,84.336989687766845,14.258588054051149,1.5247415970526239,100,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
