"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
"Table 2.5c  Average Residential Rates and PCE Payments ($/kWh), 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reporter ID,PCE ID,CPCN,Utility Name,Community Name,Intertie,AEA Energy Region,Residential Rate ($/kWh),PCE Residential Reimbursement Rate ($/kWh),Residential Rate after PCE ($/kWh),Percent of Residential Rate Covered by PCE Reimbursement,"PCE Community
(Y/N)",Source,Number of monthly records,Communities reported,Notes
SR-89,332070,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,0.29999999999999993,5.5100000000000454E-2,0.24489999999999948,0.18366666666666823,Yes,PCE,12,King Cove,NA
SR-156,332540,749,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,0.52897500000000008,0.31987500000000069,0.20909999999999937,0.60470721678718398,Yes,PCE,12,Sand Point,NA
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,0.75066666666666659,0.5968,0.15386666666666662,0.79502664298401426,Yes,PCE,12,Nikolski,NA
SR-24,331750,291,Andreanof Electric Corp,Atka,Atka_grid,Aleutians,0.72791666666666677,0.40740000000000087,0.32051666666666589,0.55967945048654943,Yes,PCE,12,Atka,NA
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0.32300000000000001,0.1648,0.15820000000000001,0.51021671826625381,Yes,PCE,12,Akutan,NA
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,0.84,0.6391666666666671,0.20083333333333289,0.76091269841269893,Yes,PCE,12,Nelson Lagoon,NA
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0.39832500000000004,0.15106666666666704,0.247258333333333,0.37925479612544288,Yes,PCE,12,Unalaska,NA
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,1,0.65715833333333351,0.34284166666666654,0.65715833333333351,Yes,PCE,12,Saint George,NA
SR-155,332560,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0.46666666666666662,0.30392500000000011,0.16274166666666648,0.6512678571428574,Yes,PCE,12,Saint Paul,NA
SR-48,331980,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,0.73280000000000001,0.51610833333333361,0.21669166666666637,0.70429630640465835,Yes,PCE,12,Cold Bay,NA
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1.2531999999999996,0.63152499999999956,0.62167500000000009,0.50392993935525032,Yes,PCE,3,Adak,NA
SR-63,331970,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,0.42472500000000002,0.26680000000000004,0.15792499999999998,0.62817116958031671,Yes,PCE,12,False Pass,NA
SR-184,332850,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,0.4493333333333332,0.24231666666666671,0.20701666666666649,0.53928041543026728,Yes,PCE,12,Unalakleet,NA
SR-190,332890,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,0.62,0.3075250000000006,0.31247499999999939,0.49600806451613,Yes,PCE,12,White Mountain,NA
SR-100,331420,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,0.62726666666666675,0.40901666666666714,0.21824999999999964,0.65206185567010377,Yes,PCE,12,Koyuk,NA
SR-154,331670,169,Alaska Village Electric Cooperative,Saint Michael,Stebbins_grid,Bering Straits,0.618425,0.40063333333333373,0.21779166666666627,0.64782848903801382,Yes,PCE,12,Saint Michael,NA
SR-157,331590,169,Alaska Village Electric Cooperative,Savoonga,Savoonga_grid,Bering Straits,0.57790833333333336,0.35340000000000094,0.22450833333333242,0.61151566713290906,Yes,PCE,12,Savoonga,NA
SR-161,331630,169,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik_grid,Bering Straits,0.55879166666666669,0.32899166666666668,0.2298,0.58875549921706061,Yes,PCE,12,Shaktoolik,NA
SR-162,331640,169,Alaska Village Electric Cooperative,Shishmaref,Shishmaref_grid,Bering Straits,0.66022499999999995,0.44031666666666702,0.21990833333333293,0.6669191058603765,Yes,PCE,12,Shishmaref,NA
SR-167,331680,169,Alaska Village Electric Cooperative,Stebbins,Stebbins_grid,Bering Straits,0.60345833333333332,0.38640833333333369,0.21704999999999963,0.64032313747151892,Yes,PCE,12,Stebbins,NA
SR-188,331730,169,Alaska Village Electric Cooperative,Wales,Wales_grid,Bering Straits,0.70720833333333333,0.48498333333333343,0.22222499999999992,0.68577151947210291,Yes,PCE,12,Wales,NA
SR-31,331270,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,0.60623333333333329,0.38902499999999995,0.21720833333333334,0.6417083631165118,Yes,PCE,12,Brevig Mission,NA
SR-61,331300,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,0.62329999999999997,0.40522500000000028,0.21807499999999966,0.65012834910957851,Yes,PCE,12,Elim,NA
SR-66,331320,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,0.57153333333333312,0.34265833333333362,0.22887499999999947,0.59954216726933474,Yes,PCE,1,Gambell,NA
SR-54,331930,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,0,0,0,0,Yes,0,0,Diomede,NA
SR-173,331685,61,Teller Power Company,Teller,Teller_grid,Bering Straits,0.66933333333333334,0.44900833333333434,0.22032499999999902,0.67082918326693375,Yes,PCE,12,Teller,NA
SR-127,332340,150,Nome Joint Utility Systems,Nome,Nome_grid,Bering Straits,0.40176666666666661,0.17558333333333367,0.22618333333333293,0.43702812577781558,Yes,PCE,12,Nome,NA
SR-67,332000,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,0.51666666666666672,0.31022500000000008,0.20644166666666663,0.60043548387096779,Yes,PCE,3,Golovin,NA
SR-109,332210,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,0.54999999999999993,0.24564166666666654,0.3043583333333334,0.44662121212121192,Yes,PCE,12,Manokotak,NA
SR-183,332730,729,Twin Hills Village Council,Twin Hills,Twin Hills_grid,Bristol Bay,0.94049999999999978,0.33810833333333312,0.60239166666666666,0.35949849370901987,Yes,PCE,12,Twin Hills,NA
SR-145,332590,447,Tanalian Electric Cooperative,Port Alsworth,Port Alsworth_grid,Bristol Bay,0.59114166666666679,0.40436666666666687,0.18677499999999991,0.68404358797242648,Yes,PCE,12,Port Alsworth,NA
SR-138,332470,659,Native Village of Perryville,Perryville,Perryville_grid,Bristol Bay,0.95000000000000007,0.31600000000000106,0.63399999999999901,0.3326315789473695,Yes,PCE,12,Perryville,NA
SR-39,331870,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,0.6082833333333334,0.35447500000000026,0.25380833333333314,0.58274652711181774,Yes,PCE,12,Chignik Lagoon,NA
SR-80,332040,681,Igiugig Electric Company,Igiugig,Igiugig_grid,Bristol Bay,0.81300000000000006,0.52828333333333388,0.28471666666666612,0.64979499794998008,Yes,PCE,12,Igiugig,NA
