"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Table 2.5b  Average Annual Energy Use and Rates by Customer Type by Operators/Utilities, (kWh/Customer, $/Customer, $/kWh), 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Reporting ID,PCE ID,CPCN,Utility Name,Community Name,Intertie,AEA Energy Region,Residential kWh Use Per Customer,Residential Revenue Per Customer,Residential $/kWh,Commercial kWh Use Per Customer,Commercial Revenue Per Customer,Commercial $/kWh,Other kWh Use Per Customer,Other Revenue Per Customer,Other $/kWh,Source,Number of monthly records,Communities reported,Notes
SR-89,332070,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,5197.1794871794873,1559.153846153846,0.29999999999999993,7867.3951219512182,2360.2185365853652,0.29999999999999993,32926.342105263153,9877.9026315789451,375.36029999999988,PCE,12,King Cove,NA
SR-156,332540,749,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,4481.7333333333336,2370.7248900000004,0.52897500000000008,14254.142857142857,7540.0852178571431,0.52897500000000008,22694.08695652174,12004.604647826091,552.21181380000019,PCE,12,Sand Point,PCE revenue assumes all kWh are at residential rate
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,3172.5999999999995,2381.5650666666661,0.75066666666666659,11237.000000000002,8435.2413333333334,0.75066666666666659,9300.1666666666697,6981.3251111111122,41.887950666666676,PCE,12,Nikolski,PCE revenue assumes all kWh are at residential rate
SR-24,331750,291,Andreanof Electric Corp,Atka,Atka_grid,Aleutians,4854.3666666666668,3533.5744027777782,0.72791666666666677,16099.777777777774,11719.296574074071,0.72791666666666677,4581.5416666666661,3334.9805381944448,80.039532916666673,PCE,12,Atka,PCE revenue assumes all kWh are at residential rate
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,2353.2972972972975,760.11502702702705,0.32300000000000001,4732.7272727272721,1528.6709090909089,0.32300000000000001,4781.666666666667,1544.4783333333335,18.533740000000002,PCE,12,Akutan,PCE revenue assumes all kWh are at residential rate
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,3855.9375,3238.9874999999997,0.84,5036.6842105263167,4230.814736842106,0.84,6270.8571428571431,5267.5199999999995,36.872639999999997,PCE,12,Nelson Lagoon,PCE revenue assumes all kWh are at residential rate
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,5217.2939560439554,2078.1786150412095,0.39832500000000004,211320.8633879782,84174.382909016436,0.39832500000000004,45694.220779220777,18201.15049188312,1401.4885878750001,PCE,12,Unalaska,PCE revenue assumes all kWh are at residential rate
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,3623.3333333333326,3623.3333333333326,1,7610.076923076922,7610.076923076922,1,10918.476190476191,10918.476190476191,229.28800000000001,PCE,12,Saint George,PCE revenue assumes all kWh are at residential rate
