"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Net Generation by Fuel Type by Operators/Utilities (MWh) by AEA Energy Regions, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,94916.494841279695,0,0,3133.462,1449.452,0,0,4760.6780000000008,104260.0868412797,1.6416936465700128E-2
Bering Straits,49393.926999999996,0,0,0,3923.8359999999993,0,0,0,53317.762999999992,8.3954881890400818E-3
Bristol Bay,53410.576835941349,0,0,4308.9900000000007,7.1679999999999993,0.30600000000000005,0,0,57727.040835941341,9.089779132826336E-3
Copper River/Chugach,42426.068911865463,0,0,76844,0,0,0,0,119270.06891186547,1.8780428857369039E-2
Kodiak,1672.367068027309,0,0,129779.118,29106.999999999996,0,0,0,160558.48506802731,2.5281759571173151E-2
Lower Yukon-Kuskokwim,93742.252185997626,0,0,0,4371.08,0,0,0,98113.332185997628,1.5449060035675338E-2
North Slope,30138.543305718405,137082.15599999999,0,0,0,0,0,0,167220.69930571839,2.6330800974980549E-2
Northwest Arctic,32947.548820701901,0,0,0,3498.415,0,0,0,36445.963820701902,5.7388315183981922E-3
Railbelt,359597.35700000002,2985702.318,667549.30499999993,580373,127346,0,0,0,4720567.9799999995,0.74330711739820732
Southeast,19808.835639999994,0,0,778430.647,0,0,0,0,798239.48263999994,0.12569188524525279
Yukon-Koyukuk/Upper Tanana,35026.008009421501,0,0,0,0,16.951999999999998,0,0,35042.960009421498,5.5179126113768526E-3
Total,813079.97961895319,3122784.4739999999,667549.30499999993,1572869.2170000002,169702.951,17.257999999999999,0,4760.6780000000008,6350763.8626189539,1
Percent of Total,0.128028690281621,0.49171793213426351,0.10511323038307918,0.24766614710051177,2.6721659735907295E-2,2.7174683822810372E-6,0,7.4962289623484331E-4,1,NA
