ACEP Energy Region,Sector,Year,avg_price,weighted_price
Rural Remote,Commercial,2011,68.94584988686141,57.38569149979678
Rural Remote,Commercial,2012,73.88133857225297,60.22319112299291
Rural Remote,Commercial,2013,71.73600008721189,58.7588035085806
Rural Remote,Commercial,2014,70.05540359467076,59.30332201655371
Rural Remote,Commercial,2015,70.24156146454742,56.390675639718765
Rural Remote,Commercial,2016,64.76857751927305,51.77276866475599
Rural Remote,Commercial,2017,61.072465005587226,45.6894305542141
Rural Remote,Commercial,2018,65.72138088381428,51.09268269843216
Rural Remote,Commercial,2019,60.169096243043626,50.04731139995594
Rural Remote,Commercial,2020,67.7055086989389,53.86091854436291
Rural Remote,Commercial,2021,62.6921185384906,47.9659478686531
Rural Remote,Other,2011,69.35747951087974,60.4074525473155
Rural Remote,Other,2012,74.42269576121774,63.77428575799771
Rural Remote,Other,2013,72.15276483178765,61.80704486329967
Rural Remote,Other,2014,71.43617722683103,62.47635677430352
Rural Remote,Other,2015,70.73474906301085,59.376025000348626
Rural Remote,Other,2016,66.29605978388554,54.17887948354121
Rural Remote,Other,2017,65.06525057288265,52.152687423143256
Rural Remote,Other,2018,65.80835072308977,53.94264677910087
Rural Remote,Other,2019,66.03363391310661,54.355838056731145
Rural Remote,Other,2020,66.97855925263887,53.95155903967777
Rural Remote,Other,2021,62.55805765993266,50.620490228839955
Rural Remote,Residential,2011,27.05082555956285,23.95204649239433
Rural Remote,Residential,2012,27.53701318538684,23.85289962065794
Rural Remote,Residential,2013,26.72953405663872,22.92716948163981
Rural Remote,Residential,2014,26.897967707891745,23.681435296363333
Rural Remote,Residential,2015,29.63345651848063,24.773921584099195
Rural Remote,Residential,2016,30.503686325281425,25.87699815896222
Rural Remote,Residential,2017,30.821872000067238,26.56113230513107
Rural Remote,Residential,2018,30.50212760655572,27.015428351539665
Rural Remote,Residential,2019,28.53112483021023,26.11211119993354
Rural Remote,Residential,2020,31.75054876458508,28.499537473603343
Rural Remote,Residential,2021,30.140935092302335,27.291059500097038
